Original Description,Charge Class,Confidence Score,Matches
EA ADD MINUTE O/R ROOM,Laboratory,0.72,D DIMER
RECOVERY RM ADDTL TIME,OR / Anesthesia / Recovery Room,0.85,RECOVERY ROOM ADD'L 30MIN
RECOVERY ROOM SERVICES,OR / Anesthesia / Recovery Room,0.84,RECOVERY ROOM 1ST HR
GOWN BAIRPAW WARMING 84003,Pharmacy,0.68,GABAPENTIN 400 MG CAP
URINE CULTURE & COLONY COUNT,Laboratory,0.97,URINE CULTURE/COLONY COUNT
PT THERAPEUTIC ACTIVITIES MIN,PT / OT / Speech Therapy,0.91,PT-THERAPEUTIC ACTIVITY 15 MIN
PULSE OX SINGLE,Monitoring,1,PULSE OX SINGLE
SOLUTION NACL MINIBAG 100CC,Respiratory Therapy,0.74,SUCTIONING
METHYLPREDNISOLONE 125 MG INJ,Pharmacy,0.85,METHYLPREDNISOLONE 2.5 MG/ML SOLN 200 ML
ZOSYN 2.25 GM IN 50 ML,Respiratory Therapy,0.71,O2
DIOVAN 80MG CAP,Pharmacy,0.75,DOCUSATE 100MG CAP
REMERON 15MG TABS,Pharmacy,0.84,CODEINE 15 MG TABS
PERIDEX 15 ML SOLN (ORAL SOLN),Pharmacy,0.83,FER-IN-SOL 15MG/ML ORAL SOLN
HEPARIN 100 UNITS/ML 10ML VIAL,Diluent / Flush / Irrigant,0.89,HEPARIN 100 UNIT/ML INJ (10ML)
NICODERM 21 MG PATCH,Plan Benefit,0.79,NICOTINE PATCH 21 MG
SALINE FLUSH 5ML SYRINGE,Diluent / Flush / Irrigant,0.79,SALINE FLUSH 0.45% 10ML
LIDODERM PATCH (PCKT OF 5),Pharmacy,0.72,LIDOCAINE 5% TOP PATCH
NORVASC 10 MG,Diluent / Flush / Irrigant,0.73,NS
LORAZEPAM 2 MG PER 2 ML,Pharmacy,0.88,LORAZEPAM PER 2 MG
IPRATRIPTIUM NEB U/D,Laboratory,0.72,PTT
PROTONIX 40 MG INJ,Pharmacy,0.8,PANTOPRAZOLE 40 MG INJ
VANCOMYCIN 1 GM INJ,Pharmacy,1,VANCOMYCIN 1GM INJ
DIPRIVAN 10 MG/ML 100 ML VIAL,Pharmacy,0.75,PROCAINAMIDE 100 MG/ML SOLN 10 ML VIAL
GREER'S GOO 1OZ,Pharmacy,0.66,HYDROGEN PEROXIDE 4OZ.
SOLUTION IV .9% NACL 1000ML,Diluent / Flush / Irrigant,0.83,SOLN .9% NACL
XOPENEX 1.25/3ML INHALER,Respiratory Therapy,0.7,O2
US CAROTID BIL,Radiology,0.72,US ABDOMEN LIMITED
FENTANYL 100MCG/2ML AMP,Pharmacy,0.9,FENTANYL 100 MCG/2 ML INJ
VENT ASSIST & MGT SUBSQ DAYS,Respiratory Therapy,0.8,VENT MGMT INPAT SUBQ DAY
LORAZEPAM 0.5 TABS,Pharmacy,0.85,CLONAZEPAM 0.5 MG TABLET
SALINE/HEPARIN LOCK FLUSH,Nursing Services,0.77,HC CENTRAL LINE PAC FLUSH
HAND NEBULIZER TX,Supply,0.8,NEUBLIZER KIT
OT FL SELF-CARE POS CURRENT,Nursing Services,0.73,COLLECT BLD SPEC FROM ART LINE
SUCRALFATE 1GM/10ML LIQUID,Pharmacy,0.79,SUCRALFATE 1000MG/10
METOPROLOL 50 MG TABS,Pharmacy,0.94,METOPROLOL 25MG TAB
STREP PNEUMONIAE ANTIGEN,Respiratory Therapy,0.74,CPAP VENT INIT & MANAGEMENT
CO2 DETERMINATION,Monitoring,0.77,CO2 EXPIRED GAS DETERMINATION
CEFEPIME 1GM IN 50 ML D5W,Pharmacy,0.82,CEFEPIME 500MG-1GM INJ
ROOM ICU INTENSIVE CARE(I); ROOM,Room and Board,0.77,CORONARY INTENSIVE CARE
"PANEL, INFLUENZAE A",Laboratory,0.73,INFLUENZA A  AG  IF
CYCLOBENZAPRINE 10MG TAB,Pharmacy,1,CYCLOBENZAPRINE 10 MG TAB
DOXYCYCLINE 100 MG INJ,Pharmacy,0.77,ACETAMINO 10MG INJ
HEPARIN REDI-MIX 25000U,Pharmacy,0.85,HEPARIN (PORCINE) 25 000 U
"TROPONIN I, PLASMA",Laboratory,0.87,TROPONIN I
CEFTRIAXONE 1GM ADV.,Pharmacy,0.83,CEFTRIAXONE 10 GRAM SOLR
ALBUTEROL U/D NEB SOLN,Pharmacy,0.75,ALBUTEROL 0.08 3 % NEBU
CRESTOR 10MG TAB,Pharmacy,0.78,CETIRIZINE 10 MG TAB
CBC W/AUTO DIFF,Laboratory,0.97,*CBC W AUTO DIFF
BLOOD GAS ANALYSIS,Laboratory,1,BLOOD GAS ANALYSIS
OXYGEN DAILY CHARGE,Respiratory Therapy,1,OXYGEN DAILY CHARGE
XR CHEST PA/AP ONLY,Radiology,0.81,XR CHEST PA & LAT
MAC,Room and Board,0.78,ROOM ACUTE
ROOM STEP STEPDOWN (N); ROOM 204/SD,Room and Board,0.72,HC CCU ROOM - STEP DOWN
GRAM STAIN (BACTERIA & FUNGUS),Laboratory,0.79,GRAM STAIN
HYDROCODONE 5/ACET. 325,Pharmacy,0.79,HYDROCODONE-ACETAMINOPHEN 5-325 MG TABS
ZITHROMAX 500 MG IN 250 ML NS,Room and Board,0.73,ROOM 5005
METOPROLOL 5 MG INJ,Pharmacy,0.86,METOPROLOL 25MG TAB
ACTIVATED PARTIAL (APTT),Laboratory,0.91,ACTIVATED PARTIAL THR
EPI SOL 1:1000 1CC,Diluent / Flush / Irrigant,0.77,SOL N/S 100 CC
PROPOFOL 20 ML INJ,Pharmacy,0.91,PROPOFOL 10MG INJ
PREVACID 30 MG CAPS,Pharmacy,0.77,CEPHALEXIN 500 MG CAPS
"PANEL, INFLUENZAE B",Laboratory,0.7,INFLUENZA B  AG  IF
"PANEL,H. PYLORI IgA",Pharmacy,0.68,PHENYLEPHRINE INJ
SOLUTION IV D5W 1000CC,Diluent / Flush / Irrigant,0.76,SOL N/S 100 CC
PREDNISONE TABS 20 MG,Pharmacy,0.92,PREDNISONE 20 MG TAB
OCCULT BLOOD,Laboratory,0.87,HC CULTURE BLOOD
CBC W/O DIFF,Laboratory,0.9,CBC NO DIFF
SOLUTION IRRIGATION WATER 1500,Diluent / Flush / Irrigant,0.76,STERILE WATER IRRIGATION 50
MAGNESIUM SULFATE 1GM/100 D5W,Pharmacy,0.89,MAGNESIUM SULFATE 500 MG/M
SOLUTION IV .9% NACL 250CC,Diluent / Flush / Irrigant,0.83,SOLN .9% NACL
LEGIONELLA URINARY ANTIGEN,Laboratory,0.72,UREA NITROGEN QUANTITATIVE
BACTERIAL IDENTIFICATION URINE,Laboratory,0.74,CARNITINE TOTAL AND FREE
CATHETER FOLEY 903316A,Supply,0.76,CATHETER I&O
LABETOLOL 5 MG/ML 20ML VIAL,Pharmacy,0.81,LABETALOL 5 MG/ML INJ 4 ML
"VANCOMYCIN,QUANT.",Laboratory,0.98,VANCOMYCIN QUANT
KIT ENDO 100802,Supply,0.74,KIT  NEEDLE GUIDE 18GAG001C021
KETAMINE 50MG/5ML SYRINGE,Pharmacy,0.88,KETAMINE 500MG/5ML
TRANSESOPHAGEAL ECHO,Cardiology,0.76,HC TRANSESOPHAGEAL ECHO ENDO
PREDNISONE TABS 10 MG,Pharmacy,0.88,PREDNISONE 20 MG TAB
IMMUNOPEROXIDASE STAIN,Plan Benefit,0.74,INHALED ILOPROST/VENTAVIS
NASAL TRACH SUCTIONING,Laboratory,0.78,HEPATIC FUNCTION PAN
US DUP SCAN EXT VEINS COMP BI,Radiology,0.8,HC DUP-SCAN XTR VEINS COMPL BI STD
KCL ELIXIR 15CC,Room and Board,0.68,HC LEVEL-1 ICU
PT GAIT/TRANSFER TRAINING 15MN,PT / OT / Speech Therapy,0.77,PT GAIT TRAIN 1 OR > AREAS EA 15M
BNP,Supply,0.77,TUBING PUMP
"PANEL,H. PYLORI IgG",Pharmacy,0.68,PHENYLEPHRINE INJ
"RBC, LEUKOCYTE REDUCED EA UNIT",Blood Products,0.99,RBC LEUKOCYTES REDUCED EA UNIT
SED RATE (ESR) WESTERGREN,Pharmacy,0.69,FEEDING SUPPLEMENT (PRO-STAT SUGAR FREE 64) LIQD
XR CHEST 2V AP LAT,Radiology,0.9,XR CHEST PA & LAT
ER IV HYDRATION EA ADDL HR,Nursing Services,0.77,IV HYDRAT EA ADD HR
VANCOMYCIN 1GM ADV.,Pharmacy,0.88,VANCOMYCIN 1
MAG-OX 400MG TAB,Pharmacy,0.76,DAPSONE 100 MG TAB
C.T. THORAX W/O CONTRAST,Radiology,0.76,XR COLON WITH CONTRAST
US VENOUS LIMITED-EXTREMITY,Monitoring,0.75,PULSE OXIMETRY SINGLE DETERMINATE
KCL 20 MEQ/100 ML BAG,Diluent / Flush / Irrigant,0.72,SOD CHL 0.9% 100ML BAG
SPECIAL STAIN - OTHER,Laboratory,0.84,SPECIAL STAIN GROUP II (ST
C.T. ABD & PELVIS W/O CONTRAST,Radiology,0.95,CT ABD & PELVIS W/O CONTRA
"BACTERIAL IDENT., OTHER SOURCE",Laboratory,0.82,CREATININE  OTHER SOURCE (
BLOOD GROUP (ABO),Laboratory,0.87,62001000 - BLOOD GROUP ABO
C.T. HEAD W/O CONTRAST,Radiology,0.95,CT HEAD WO CONTRAST
OR-VERSED 2 MG,Pharmacy,0.71,FERROUS SULFATE 325 MG TOT
PT THER EXERCISE EA 15 MIN,PT / OT / Speech Therapy,0.97,THER EXERCISE EA 15 MIN
LEVEL IV-SURG PATH GROSS&MICRO,Laboratory,0.97,LEVEL IV-SURG PATH GROSS/MICRO
RECOVERY ROOM 30 MINUTES,OR / Anesthesia / Recovery Room,0.9,RECOVERY ROOM 1ST 30MIN
KCL 20 MEQ TABS,Pharmacy,0.83,KCL 20MEQ ST H 2O
SUSCEPTIBILITY ANY SOURCE 1MIC,Laboratory,0.8,SUSCEPTIBILITY MICRODILUTI
"PANEL,H. PYLORI IgM",Pharmacy,0.68,PHENYLEPHRINE INJ
"CROSSMATCH,IMM SPIN,EA UNIT",Laboratory,0.89,CROSSMATCH IMMEDIATE SPIN
ER IV INFUSE MED INITIAL 1HR,Nursing Services,0.76,IV INFUSION  ADDL SEQ UP TO 1 HR
"CULTURE, BACTERIAL AEROBIC",Laboratory,0.88,CULTURE BACTERIAL BLOOD AE
UPPER ENDOSCOPY-O.R. PROCEDURE,Respiratory Therapy,0.74,PULMONARY SERVICE/PROCEDURE
D5 0.45% NS W/KCL 20 MEQ,Diluent / Flush / Irrigant,0.73,D5W/0.45%NACL 1000ML
PT FL MOBILITY CURRENT,PT / OT / Speech Therapy,0.76,HC MOBILITY CURRENT
EKG,Cardiology,1,EKG
OT ADL TRAINING EA 15 MINS,PT / OT / Speech Therapy,0.76,GAIT TRAINING EA 15 MIN
FOLLOW UP OR LIMITED DOPPLER,Cardiology,0.7,COLOR FLOW DOPPLER
APAP 325 MG TABS,Pharmacy,0.84,ASPIRIN 325 MG TABS
XYLOCAINE-MPF,Pharmacy,0.73,LIDOCAINE MPF1% 30ML
TSH THYROID STIM HORMONE,Laboratory,1,TSH-THYROID STIM HORMONE
VENT ASSIST & MGT 1ST DAY,Respiratory Therapy,0.73,VENT MGMT INPAT SUBQ DAY
EPHEDRINE AMPS 50MG/CC,Pharmacy,0.86,EPHEDRINE 50MG
ER IV PUSH EA ADDL NEW MED,Diluent / Flush / Irrigant,0.77,IV PUSH
FLU A & B BY PCR,Supply,0.74,FLORA BABY
MYOGLOBIN QUANT. SERUM,Laboratory,0.78,MYLOGOBIN
OR-FENTANYL 2 ML AMP,Pharmacy,0.77,FENTANYL 12MCG/HR PT
ER IV INFUSE ADDL SEQ UP TO 1H,Nursing Services,0.87,IV INFUSION  ADDL SEQ UP TO 1 HR
ER CRITICAL CARE 30-74 MIN,Other,0.85,CRITICAL CARE 30 74 MIN 25
OT THER EXERCISE PER 15 MIN,PT / OT / Speech Therapy,0.92,THER EXERCISE EA 15 MIN
FORCEP RADIAL JAW M00513332,Supply,0.68,DRAPE C ARM
TRAZADONE 50 MG TAB,Pharmacy,0.94,TRAZODONE 50 MG TAB
PT FL MOBILITY GOAL,PT / OT / Speech Therapy,0.67,HC MOBILITY GOAL STATUS
"CLO TEST UREASE DETECT,H PYLOR",Laboratory,0.75,CULTURE OTHER RESPIRATORY CULTURE
OT FL SELF-CARE POS GOAL,PT / OT / Speech Therapy,0.72,SELF CARE
"CK-MB, PLASMA",Laboratory,0.8,CKMB
URINALYSIS WITH MICROSCOPY,Laboratory,0.83,URINALYSIS WITHOUT MICRO  AUTO
US CAROTID UNILATERAL OR LMTD,Monitoring,0.72,O2 SATURATION DIRECT
HB-CLINIC VISIT LEVEL 1 RETURN - T1,Nursing Services,0.71,HC IV INF THER INIT 1ST HR
HB-MAGNESIUM,Laboratory,1,HB - MAGNESIUM
MEDIUM CHAIN TRIGLYCERIDES OIL 15 ML,Plan Benefit,0.72,DAILY NITRIC OXIDE
FERROUS SULFATE 325 (65 FE) MG TABS,Pharmacy,0.9,FERROUS SULFATE 324MG EC TAB
"HB-THROMBOPLASTIN TIME, PARTIAL",Laboratory,0.94,HC THROMBOPLASTIN TIME PARTIAL
HB-URINALYSIS AUTO W MICRO,Laboratory,0.97,HC URINALYSIS AUTO W MICRO
HB-FLR AB CYTOPL * ANTINEUTRO AB,Supply,0.73,TRACH TIE
HB-DIALYSIS CCPD INPATIENT,Dialysis,0.78,HC HEMODIALYSIS INPATIENT
ACETYLCYSTEINE 20 % SOLN 4 ML ORAL SYRINGE,Pharmacy,0.78,ACETYLCYSTEINE 200MG/ML 4ML
"HB-GLUCOSE, POC",Monitoring,1,HB-GLUCOSE  POC
BUDESONIDE 3 MG CP24,Pharmacy,0.76,BUDESONIDE 0.5 MG/2 ML NBSP 2 ML
HB-PROTHROMBIN TIME,Laboratory,0.96,HC PROTHROMBIN TIME
HB-PLATELET COUNT AUTO,Laboratory,0.89,PLATELET COUNT
INSULIN LISPRO (HUMAN) 100 UNIT/ML SOLN 10 UNIT,Pharmacy,0.84,INSULIN LISPRO 50U-100U/ML 1U
HB-SOLN 1.5% DELFLEX 2000ML,Diluent / Flush / Irrigant,0.7,HC SOL IV 0.9% NACL 500ML LC LF
FUROSEMIDE 10 MG/ML SOLN 4 ML SYRINGE,Pharmacy,0.89,FUROSEMIDE 10 MG/ML SOLN
HYDRALAZINE 25 MG TABS,Pharmacy,0.96,HYDRALAZINE 50 MG TABS
HB-EKG + RHYTHM STRIP,Cardiology,0.73,EKG
INSULIN LISPRO (HUMAN) 100 UNIT/ML SOLN 30 UNIT,Pharmacy,0.82,INSULIN LISPRO 100 UNIT/
SIMVASTATIN 40 MG TABS,Pharmacy,0.95,SIMVASTATIN 20MG TAB
CEFTRIAXONE 1 MG SOLR 1 EACH VIAL,Pharmacy,0.92,CEFTRIAXONE 2 G SOLR 1 EACH VIAL
"HB-GUIDE WIRE, DIAGNOSTIC",Supply,0.81,GUIDE WIRE
HB-VENIPUNCTURE,Nursing Services,1,HB VENIPUNCTURE
CARVEDILOL 3.125 MG TABS,Pharmacy,0.98,CARVEDILOL 3.125 MG TAB
HEPARIN IN DEXTROSE 5% 50-5 UNIT/ML-% SOLN 500,Pharmacy,0.76,HEPARIN (PORCINE) 50-0.45 UNIT/ML-% SOLN
PHARMACY ROOM AND BED ICU,Room and Board,0.71,HC PRIVATE ROOM AND CARE
HB-CBC WITH DIFFERENTIAL,Laboratory,0.95,HC CBC WITH DIFFERENTIAL
INSULIN LISPRO (HUMAN) 100 UNIT/ML SOLN 5 UNITS,Pharmacy,0.82,INSULIN LISPRO 100 UNIT/
HB-IMMFLUOR DIRECT,Laboratory,0.79,HC BILIRUBIN; DIRECT
"HB-R & L HEART CATH, CONGENITAL",Laboratory,0.74,HC HEPATITIS B CORE AB TOTAL
"HB-BLOOD TYPING, ABO",Laboratory,0.96,HC BLOOD TYPING ABO
WARFARIN 5 MG TABS,Pharmacy,1,WARFARIN 5 MG TABS
HB-SOLN 1.5-4.25% DEXTROSE DELF5L,Respiratory Therapy,0.69,O2
HB-PHOSPHORUS SERUM,Laboratory,0.89,PHOSPHORUS SERUM
HB-THERAPEUTIC EXERCISE PER 15 MIN BY PT,PT / OT / Speech Therapy,0.83,OT THERAPEUTIC EXERCISE 15 MIN
"HB-ULTRASOUND KIDNEY, AORTA",Laboratory,0.75,HB ADDITIONAL KARYOTYPE
INSULIN LISPRO (HUMAN) 100 UNIT/ML SOLN 6 UNITS,Pharmacy,0.82,INSULIN LISPRO 100 UNIT/
"HB-BLOOD TYPING, RH (D)",Laboratory,0.96,HC BLOOD TYPING RH D
HB-CROSSMATCH U ELECTRONIC,Laboratory,0.89,CROSSMATCH ELECTRONIC
ALBUMIN HUMAN 25% 25 % SOLN 100 ML VIAL,Pharmacy,0.87,ALBUMIN HUMAN 25 % SOLN
HB-HEPATITIS B SURFACB AB,Laboratory,0.79,HEPATITIS B SURFACE AB
MAGNESIUM SULFATE 2 G IN SODIUM CHLORIDE 0.9% 1,Pharmacy,0.78,MAGNESIUM SULFATE 2 GM/50ML SOLN
HB-IRON BIND CAP * IRON&IRON BNDG,Laboratory,0.67,HB IONIZED CALCIUM
HB-FERRITIN,Laboratory,0.93,FERRITIN
HB-SOLN 2.5% DELFLEX 2000ML,Respiratory Therapy,0.7,O2
HB-IRON,Laboratory,0.89,HC IRON
HB-COMPREHENSIVE METAB PANEL,Laboratory,0.9,HC COMPREHENSIVE METABOLIC PANEL
HB-MRI-CARD FUNC W OR MO MRPH-CMP,Room and Board,0.72,MICU
INSULIN GLARGINE 100 UNIT/ML SOLN 22 UNITS SYRI,Pharmacy,0.84,INSULIN GLARGINE 100 UNI
"HB-CREATININE, OTHER SOURCE",Laboratory,0.97,CREATININE  OTHER SOURCE (
HB-SOLN .9% NACL INJ 250ML,Diluent / Flush / Irrigant,0.84,SOLN .9% NACL
HYDRALAZINE 10 MG TABS,Pharmacy,0.98,HYDRALAZINE 100 MG TABS
HB-IP PERIT DIAL CONSULT/1 HR,Plan Benefit,0.73,HB NITRIC OXIDE - 1 HOUR
"HB-MODERATE SEDATION >=5YRS, 1ST 30 MIN",OR / Anesthesia / Recovery Room,0.77,HC MOD SEDATION > 5 YRS OLD 1ST 30 MINS
FENTANYL 0.05 MG/ML SOLN 2 ML SYRINGE,Pharmacy,0.93,FENTANYL 1:10 5 MCG/ML SOLN 1 ML SYRINGE
HB-DAILY CARE LEVEL 1,Supply,0.74,HC RT SUPPLIES LEVEL 1
"HB-ALBUMIN, SERUM",Laboratory,0.92,*ALBUMIN SERUM
MILRINONE 20MG IN DEXTROSE 5% 100 ML 200-5 MCG/,Pharmacy,0.72,MILRINONE 1 MG/ML SOLN 20 ML
"HB-PROTIEN, URINE",Laboratory,0.82,HB PROTIME
HB-IP PERIT DIAL CONSULT/15 MIN,Diluent / Flush / Irrigant,0.73,HEPARIN SODIUM 50
HB-COMPLEMENT 23,Laboratory,0.81,COMP MET PNL
MORPHINE PF 2 MG/ML SOLN 1 ML CRTRDG-NDL,Pharmacy,0.85,MORPHINE 2 MG/ML SOLN
INSULIN GLARGINE 100 UNIT/ML SOLN 20 UNITS SYRI,Pharmacy,0.84,INSULIN GLARGINE 100 UNI
HB-EKG ROUTINE TRACING ONLY>=12 LEADS,Cardiology,0.76,HB EKG TRACING ONLY
INSULIN LISPRO (HUMAN) 100 UNIT/ML SOLN 4 UNITS,Pharmacy,0.82,INSULIN LISPRO 100 UNIT/
HB-HAPTOGLOBIN,Laboratory,0.87,HB HEMOGLOBIN
HB-IMMFL IND PER * ANTINEUTRO AB,Laboratory,0.74,HC INDIRECT ANTI-GLOB
HB-CLINIC VISIT LEVEL 4 RETURN - T1,Nursing Services,0.73,HC IV INF THER INIT 1ST HR
HEPARIN PF 5000 UNIT/0.5ML SOLN 0.5 ML SYRINGE,Diluent / Flush / Irrigant,0.85,HEPARIN 5000 UNIT/ML SOLN
HB-TROPONIN QN,Laboratory,0.91,TROPONIN QNT
HB-SOLN .9% NACL INJ 500ML,Diluent / Flush / Irrigant,0.84,SOLN .9% NACL
HB-CHEST XRAY 1 VIEW,Radiology,0.92,HB CHEST 1 VIEW
HB-HEMOGLOBIN,Laboratory,1,HB HEMOGLOBIN
HB-SOLN .9% NACL INJ VIAF 1000ML,Diluent / Flush / Irrigant,0.81,SOLN .9% NACL
"HB-HEALTH & BEHAVIOR, INTRVNTN PER 15MIN (NLP)",OR / Anesthesia / Recovery Room,0.71,GENERAL ANES INIT 15MIN
POLYETHYLENE GLYCOL POWD 17 G BOTTLE,Pharmacy,0.92,POLYETHYLENE GLYCOL PWD 17G
HB-DAILY CARE INTERMEDIATE,Room and Board,0.89,HC DAILY CARE INTERMEDIATE ICU
SPIRONOLACTONE 25 MG TABS,Pharmacy,0.98,SPIRONOLACTONE 25 MG TAB
INSULIN GLARGINE 100 UNIT/ML SOLN 16 UNITS SYRI,Pharmacy,0.84,INSULIN GLARGINE 100 UNI
HB-CBC WITHOUT DIFFERENTIAL,Laboratory,0.92,86400892-HB CBC WITHOUT DIFFERENTIAL
HB-RECOVERY ROOM PER MIN ACUITY 3,OR / Anesthesia / Recovery Room,0.79,RECOVERY ROOM 1ST 30MIN
HB-URIC ACID SERUM,Laboratory,0.84,FOLIC ACID SERUM
"HB-DOPP PULSED'CONT WAVE W/SPICTRL,COMPL",Cardiology,0.72,DOPPLER SPECTRAL COMPLETE
HB-ADL TRAINING PER 15 MIN BY OT,Pharmacy,0.74,HB RANITIDINE/ZANTAC 15MG/ML SYR
LIDOCAINE 1 % SOLN 10 ML VIAL,Pharmacy,0.88,LIDOCAINE 1 % SOLN
SENNA-DOCUSATE 8.6-50 MG TABS,Pharmacy,1,SENNA-DOCUSATE 8.6-50 MG TABS
"HB-CALCIUM, IONIZED",Laboratory,1,HB CALCIUM IONIZED
HB-LACTIC ACID,Laboratory,1,HB LACTIC ACID
HB-VOLUME MEASUREMENT,Laboratory,0.73,VOLUME REDUCED
PHARMACY ROOM AND BED ROUTINE,Laboratory,0.74,CHLORIDE RANDOM URINE
HB-CULTURE URINE COLONY COUNT,Laboratory,0.9,CULTURE URINE COL COUNT
PROMETHAZINE 25 MG/ML SOLN 0.5 ML SYRINGE,Pharmacy,0.81,PROMETHAZINE 25 MG/1
INSULIN GLARGINE 100 UNIT/ML SOLN 18 UNITS SYRI,Pharmacy,0.84,INSULIN GLARGINE 100 UNI
HB-BLD GAS O2 SAT ONLY,Laboratory,0.91,HC BLD GASES O2 SAT ONLY
"HB-GUIDE WIRE, GLIDE",Supply,0.85,GUIDE WIRE
HB-CATHETER DIAGNOSTIC,Supply,0.79,HB CATHETER INNERVISION VENTRIC S
"HB-ULTRASOUND GUIDANCE, NEEDLE PLACEMENT",Radiology,0.74,HB US GUIDE NEEDLE PLCMT
HB-CT HEAD WO IV CONTRAST,Radiology,0.97,HB CT HEAD WO CONTRAST
POTASSIUM CHLORIDE 10 MEQ CPCR,Pharmacy,0.94,POTASSIUM CHLORIDE 10 ME
HB-IP PERIT DIAL CONSULT/2 HR,Plan Benefit,0.72,HB NITRIC OXIDE - 1 HOUR
"HB-ANESTHESIA LEVEL A, PER MIN",OR / Anesthesia / Recovery Room,0.81,ANESTHESIA EA MIN
HB-BASIC METABOLIC PANEL,Laboratory,1,HB BASIC METABOLIC PANEL
HB-MANUAL THERAPY PER 15 MIN BY OT,PT / OT / Speech Therapy,0.8,MANUAL THERAPY 15 MIN PT
HB-ASSAY OF CRYOGLOBULIN,Laboratory,0.79,ASSAY OF PREALBUMIN
POTASSIUM CHLORIDE 20 MEQ CPCR,Pharmacy,0.93,POTASSIUM CHLORIDE SA 20 MEQ TBCR
HB-INJECTION OF AIR/CONTRAST INTO PERITONEAL CA,Pharmacy,0.76,HC INJECTION HEP - B INITIAL
CEFAZOLLIN 1 G SOLR 1 EACH VIAL,Pharmacy,0.92,CEFAZOLIN 100 MG/ML SOLR 1 EACH VIAL
CARVEDILOL 6.25 MG TABS,Pharmacy,0.97,CARVEDILOL 6.25MG TB
HB-GAIT TRAINING PER 15 MINUTES BY PT,PT / OT / Speech Therapy,0.86,GAIT TRAINING-15 MIN
HB-FIBRINOGEN ACTIVITY,Laboratory,0.95,FIBRINOGEN ACTIVITY
SIMVASTATIN 20 MG TABS,Pharmacy,0.98,SIMVASTATIN 20MG TAB
HB-DOPPER COLOR FLOW VELOCITY MAPPING,Cardiology,0.83,ECHO COLOR FLOW VELOCITY MAP
AMLODIPINE 5 MG TABS,Pharmacy,0.98,AMLODIPINE 5MG TAB
ALBUMIN HUMAN 25% 25 % SOLN 50 ML VIAL,Pharmacy,0.88,ALBUMIN HUMAN 25 % SOLN
HB-IOHEXOL 50OZ,Laboratory,0.66,HB SODIUM WHOLE BLOOD
HB-US GD ASIL/INJ/BX,Diluent / Flush / Irrigant,0.65,HB WATER STERILE INJ
HB-THERAPEUTIC EXERCISE PER 15 MIN BY OT,PT / OT / Speech Therapy,0.83,OT THERAPEUTIC EXERCISE 15 MIN
HB-GROSS & MICRO LEVEL IV,Laboratory,0.8,GROSS/MICRO II
INSULIN GLARGINE 100 UNIT/ML SOLN 14 UNITS SYRI,Pharmacy,0.84,INSULIN GLARGINE 100 UNI
"HB-CLOSURE DEVICE, VASCULAR, IMPLNT/INSRT",Pharmacy,0.73,HAEMOPHILUS B/TETANUS VACCINE (PRP-T) VL W/DIL
SODIUM POLYSTYRENE SULFONATE 15 GM/60ML SUSP 60,Pharmacy,0.79,SODIUM POLYSTYRENE 30 GRAM
HB-ULTRASOUND-ABDOMBN LMTD,Laboratory,0.71,BUN
WARFARIN 2.5 MG TABS,Pharmacy,0.96,WARFARIN 2 MG TABS
HB-HEPATITIS C AB TEST,Laboratory,0.84,HC HEPATITIS B CORE AB TOTAL
HB-DUPLEX SCAN EXTREMITY VEINS UNI/LTD,Radiology,0.72,US DPLER EXTREM VEIN UNILAT
ONDANSETRON 2 MG/ML SOLN 2 ML SYRINGE,Pharmacy,0.89,ONDANSETRON 2 MG/ML SOLN
HB-PRIMARY IV INFUSION TPD 1ST HOUR,Supply,0.72,PRAFO
HB-UREA NITROGEN URINE,Laboratory,0.89,UREA NITROGEN  URINE OR FLD
HB-OCCULT BLOOD DIAGNOSTIC,Supply,0.76,HB GLUCOSE  BLOOD  REAG ST
"HB-TROCOR, TUMNELING",Room and Board,0.77,HB ROOM RATE ICU
HB-NEUROMUSCULAR RE-ED PER 15 MIN BY PT,PT / OT / Speech Therapy,0.84,HB PT NEUROMUSC RE-EDU EA 15 MIN
HB-SPECIAL STAINS,Laboratory,0.92,HB SPECIAL STAINS GRP II
"HB-HERNIOGRAM, PERITONEOGRAM",Room and Board,0.74,HCHRG ROOM AND BOARD-INTERMEDIATE
HB-PHYSICAL THERAPY EVAL; 60 MIN,PT / OT / Speech Therapy,0.83,HB - PHYSICAL THERAPY EVAL; PEDIATRIC (MOD GP)
"HB-GLUCOSE, WB",Laboratory,0.88,GLUCOSE
.PROBE ARGON 23MM X 220MM 7FR 10/BX,Respiratory Therapy,0.69,O2
FUROSEMIDE 10 MG/ML SOLN 12 ML BAG,Pharmacy,0.93,FUROSEMIDE 10 MG/ML SOLN 1
FUROSEMIDE 10 MG/ML SOLN 2 ML SYRINGE,Pharmacy,0.89,FUROSEMIDE 10 MG/ML SOLN
MIDAZOLAM 2 MG/2ML SOLN 2 ML SYRINGE,Pharmacy,0.9,MIDAZOLAM 1:10 0.5 MG/ML SOLN 1 ML SYRINGE
IRON SUCROSE 20 MG/ML SOLN,Pharmacy,1,IRON SUCROSE 20 MG/ML SOLN
HB-NATRIULETIC PEPTIDE,Laboratory,0.93,HC NATRIURETIC PEPTIDE
