Original Description,Charge Class,Confidence Score,Matches,Counts
"HB-GUIDE WIRE, GLIDE",Supply,0.85,"GUIDE WIRE, GUIDEWIRE",2
HB-CATHETER DIAGNOSTIC,,,,0
"HB-ULTRASOUND GUIDANCE, NEEDLE PLACEMENT",,,,0
HB-CT HEAD WO IV CONTRAST,Radiology,0.94,"CT HEAD WO CONTRAST, HB CT HEAD WO CONTRAST",2
POTASSIUM CHLORIDE 10 MEQ CPCR,"OR / Anesthesia / Recovery Room, Diluent / Flush / Irrigant, Pharmacy",,"SODIUM CHLORIDE 0, SODIUM CHLORIDE 10 ML SYR, POTASSIUM CHLOR 10 MEQ/50 ML I, POTASSIUM CHLORIDE 10 % 1.33 MEQ/ML LIQD, POTASSIUM CHLORIDE 10 % 1.33 MEQ/ML LIQD 10 MEQ, POTASSIUM CHLORIDE 10 % 1.33 MEQ/ML LIQD 473 ML, POTASSIUM CHLORIDE 10 MEQ/100 ML PGBK, POTASSIUM CHLORIDE 10 MEQ/100ML SOLN, POTASSIUM CHLORIDE 10% 30ML LI, POTASSIUM CHLORIDE 2 MEQ/M, POTASSIUM CHLORIDE 2 MEQ/ML SOLP, POTASSIUM CHLORIDE PREMIXE, POTASSIUM CHLORIDE SA 20 MEQ TBCR, POTASSIUM CHLORIDE SR 20MEQ TA, POTASSIUM CHLOR 20 MEQ PO, POTASSIUM CHLORIDE 20MEQ/15ML, POTASSIUM CHLORIDE LIQ 1.33MEQ, POTASSIUM CHLORIDE 10 ME, POTASSIUM CHLORIDE SA 20, POTASSIUM CHLORIDE 10 MEQ TABLET SUSTAINED RELE, POTASSIUM CHLORIDE 20MEQ TAB S, POTASSIUM CHLOR 20 MEQ SR, POTASSIUM CHLOR 20 MEQ/100, POTASSIUM CHLOR 20 MEQ/50, POTASSIUM CHLORIDE 2 MEQ INJ, POTASSIUM CHLORIDE 20 MEQ/15ML (10%), POTASSIUM CHLORIDE 20 MEQ/15ML (10%) SOLN, POTASSIUM CHLORIDE INJECTION PER 2 MEQ, POTASSIUM CHLORIDE PER 2 MEQ, POTASSIUM CHLORIDE 20 MEQ/50 ML INTRAVENOUS PIGGYBACK",30
HB-IP PERIT DIAL CONSULT/2 HR,,,,0
"HB-ANESTHESIA LEVEL A, PER MIN",OR / Anesthesia / Recovery Room,0.81,ANESTHESIA EA MIN,1
HB-BASIC METABOLIC PANEL,"Laboratory, OR / Anesthesia / Recovery Room",,"HC BASIC METABOLIC PANEL TOTAL CA, BASIC METABOLIC P, BASIC METABOLIC PANEL (CA TOTAL), BASIC METABOLIC PANEL, HC BASIC METABOLIC PANEL, BASIC MET PANEL CA TOTL, 63527001 - BASIC METABOLIC PANEL, BASIC METABOLIC PANEL (BMP, HB BASIC METABOLIC PANEL, HCHG BASIC METABOLIC PANEL",10
HB-MANUAL THERAPY PER 15 MIN BY OT,PT / OT / Speech Therapy,0.8,MANUAL THERAPY 15 MIN PT,1
HB-ASSAY OF CRYOGLOBULIN,,,,0
POTASSIUM CHLORIDE 20 MEQ CPCR,"OR / Anesthesia / Recovery Room, Diluent / Flush / Irrigant, Pharmacy",,"SODIUM CHLORIDE 0, POTASSIUM CHLOR 10 MEQ/50 ML I, POTASSIUM CHLORIDE 10 % 1.33 MEQ/ML LIQD, POTASSIUM CHLORIDE 10 MEQ/100 ML PGBK, POTASSIUM CHLORIDE 10 MEQ/100ML SOLN, POTASSIUM CHLORIDE 10% 30ML LI, POTASSIUM CHLORIDE 2 MEQ/M, POTASSIUM CHLORIDE 2 MEQ/ML SOLP, POTASSIUM CHLORIDE 2 MEQ/ML SOLP 20 ML VIAL, POTASSIUM CHLORIDE PREMIXE, POTASSIUM CHLORIDE PREMIXED 20 MEQ/50 ML BAG PG, POTASSIUM CHLORIDE SA 20 MEQ TBCR, POTASSIUM CHLORIDE SR 20MEQ TA, POTASSIUM CHLOR 20 MEQ PO, POTASSIUM CHLORIDE 20MEQ/15ML, POTASSIUM CHLORIDE LIQ 1.33MEQ, POTASSIUM CHLORIDE 2MEQ/ML INJ (ADDITIVE), POTASSIUM CHLORIDE 10 ME, POTASSIUM CHLORIDE SA 20, POTASSIUM CHLORIDE 20MEQ TAB S, POTASSIUM CHLOR 20 MEQ SR, POTASSIUM CHLOR 20 MEQ/100, POTASSIUM CHLOR 20 MEQ/50, POTASSIUM CHLORIDE 2 MEQ INJ, POTASSIUM CHLORIDE 20 MEQ/15ML (10%), POTASSIUM CHLORIDE 20 MEQ/15ML (10%) SOLN, POTASSIUM CHLORIDE INJECTION PER 2 MEQ, POTASSIUM CHLORIDE PER 2 MEQ, POTASSIUM CHLORIDE 20 MEQ/50 ML INTRAVENOUS PIGGYBACK",29
HB-INJECTION OF AIR/CONTRAST INTO PERITONEAL CA,,,,0
CEFAZOLLIN 1 G SOLR 1 EACH VIAL,Pharmacy,0.92,CEFAZOLIN 100 MG/ML SOLR 1 EACH VIAL,1
CARVEDILOL 6.25 MG TABS,Pharmacy,0.9025000000000001,"CARVEDILOL 3.125 MG TAB, CARVEDILOL TABLET 6.25MG, CARVEDILOL TABLET 25MG, CARVEDILOL 6.25MG TB",4
HB-GAIT TRAINING PER 15 MINUTES BY PT,PT / OT / Speech Therapy,0.8366666666666668,"HC GAIT TRAINING THERAPY EA 15 MIN, GAIT TRAINING 15 MIN P, GAIT TRAINING 15 MIN PT, GAIT TRAINING 5 MIN, GAIT TRAINING EA 15 MIN, GAIT TRAINING-15 MIN",6
HB-FIBRINOGEN ACTIVITY,Laboratory,0.8666666666666666,"HC FIBRINOGEN ACT, FIBRINOGEN, FIBRINOGEN ACTIVITY",3
SIMVASTATIN 20 MG TABS,Pharmacy,0.905,"SIMVASTATIN 20MG TAB, PRAVASTATIN 20 MG TABS",2
HB-DOPPER COLOR FLOW VELOCITY MAPPING,Cardiology,0.83,ECHO COLOR FLOW VELOCITY MAP,1
AMLODIPINE 5 MG TABS,"OR / Anesthesia / Recovery Room, Pharmacy",,"FAMOTIDINE 20 MG TAB, AMLODIPINE 10 MG TABS, AMLODIPINE 5MG TAB, CODEINE 15 MG TABS, MIDODRINE 5 MG TAB, FAMOTIDINE 20 MG TABS, AMLODIPINE 2.5 MG TABLET, AMLODIPINE 5 MG TABLET",8
ALBUMIN HUMAN 25% 25 % SOLN 50 ML VIAL,Pharmacy,0.8499999999999999,"ALBUMIN (HUMAN)  25%  50ML, ALBUMIN (HUMAN) 25% 50ML, ALBUMIN HUMAN 25% 100ML INJE, ALBUMIN HUMAN 25 % SOLN, ALBUMIN HUMAN 5% SOLN, ALBUMIN HUMAN 25% SOLP, ALBUMIN HUMAN 5% 250ML IV, ALBUMIN HUMAN 5% 500 ML IV",8
HB-IOHEXOL 50OZ,,,,0
HB-US GD ASIL/INJ/BX,,,,0
HB-THERAPEUTIC EXERCISE PER 15 MIN BY OT,PT / OT / Speech Therapy,0.83,OT THERAPEUTIC EXERCISE 15 MIN,1
HB-GROSS & MICRO LEVEL IV,Laboratory,0.8,GROSS/MICRO II,1
INSULIN GLARGINE 100 UNIT/ML SOLN 14 UNITS SYRI,Pharmacy,0.835,"INSULIN GLARGINE 100 UNI, INSULIN GLARGINE 1UNIT",2
"HB-CLOSURE DEVICE, VASCULAR, IMPLNT/INSRT",,,,0
SODIUM POLYSTYRENE SULFONATE 15 GM/60ML SUSP 60,,,,0
HB-ULTRASOUND-ABDOMBN LMTD,,,,0
WARFARIN 2.5 MG TABS,Pharmacy,0.9162499999999999,"WARFARIN 3 MG TABS 1 EAC, WARFARIN 10 MG TABS 1 EA, WARFARIN 10 MG TABS, WARFARIN 2 MG TABS, WARFARIN 2.5 MG TABS 1 E, WARFARIN 7.5 MG TABS, WARFARIN 5 MG TABS, WARFARIN 5 MG TABS 1 EAC",8
HB-HEPATITIS C AB TEST,Laboratory,0.8200000000000001,"HC HEPATITIS B CORE AB TOTAL, HC HEPATITIS B SURFACE ANTIBODY",2
HB-DUPLEX SCAN EXTREMITY VEINS UNI/LTD,,,,0
ONDANSETRON 2 MG/ML SOLN 2 ML SYRINGE,Pharmacy,0.8625,"ONDANSETRON 2 MG/ML SOLN, ONDANSETRON 4 MG/2 ML SOLN 2 ML VIAL, ONDANSETRON 4 MG/2ML SOLN, ONDANSETRON 4 MG/2 ML SOLN",4
HB-PRIMARY IV INFUSION TPD 1ST HOUR,,,,0
HB-UREA NITROGEN URINE,Laboratory,0.835,"UREA NITROGEN BLOOD BUN, UREA NITROGEN QUANTITATIVE, UREA NITROGEN  URINE OR FLD, UREA NITROGEN UR (UUN/RUUN",4
HB-OCCULT BLOOD DIAGNOSTIC,,,,0
"HB-TROCOR, TUMNELING",,,,0
HB-NEUROMUSCULAR RE-ED PER 15 MIN BY PT,PT / OT / Speech Therapy,0.84,HB PT NEUROMUSC RE-EDU EA 15 MIN,1
HB-SPECIAL STAINS,"Laboratory, Professional Fee",,"SPECIAL STAIN GROUP II (ST, HB SPECIAL STAINS GRP II, PF-SPECIAL STAINS GRP II",3
"HB-HERNIOGRAM, PERITONEOGRAM",,,,0
HB-PHYSICAL THERAPY EVAL; 60 MIN,PT / OT / Speech Therapy,0.8224999999999999,"HC PHYSICAL THERAPY EVAL TIER I, HB - PHYSICAL THERAPY EVAL; PEDIATRIC (MOD GP), HB - PHYSICAL THERAPY RE-EVAL; PEDIATRIC (MOD GP), PHYSICAL THERAPY EVAL",4
"HB-GLUCOSE, WB","Laboratory, Monitoring, Supply",,"GLUCOSE - BLD BY, GLUCOSE QUAN B, HB GLUCOSE BLD QUANT, HBOL WB GLUCOSE, GLUCOSE BY GMD, HB GLUCOSE  BLOOD  REAG ST, HB GLUCOSE BY METER, HB GLUCOSE METER BLOOD, HB-GLUCOSE  POC, GLUCOSE BLD QN, GLUCOSE BLOOD, GLUCOS, GLUCOSE, GLUCOSE  BLOOD, GLUCOSE BLD, GLUCOSE RP, HB GLUCOSE BLOOD TEST, HB-GLUCOSE BLOOD TEST, HB GLUCOSE BLOOD, HB GLUCOSE CSF",20
.PROBE ARGON 23MM X 220MM 7FR 10/BX,,,,0
FUROSEMIDE 10 MG/ML SOLN 12 ML BAG,Pharmacy,0.8540000000000001,"FUROSEMIDE 10 MG/ML SOLN, FUROSEMIDE 10 MG/ML SOLN 10 ML VIAL, FUROSEMIDE 10 MG/ML SOLN 1, FUROSEMIDE 10 MG/ML INJ 2ML, FUROSEMIDE 10 MG/ML SOLN 2 0409-6102-02, FUROSEMIDE 40MG TABS, HB FUROSEMIDE 10MG/ML VIAL, FUROSEMIDE 100MG/1, FUROSEMIDE ORAL SOLN 10MG/ 1ML, FUROSEMIDE 80 MG TABS",10
FUROSEMIDE 10 MG/ML SOLN 2 ML SYRINGE,Pharmacy,0.8516666666666667,"FUROSEMIDE 10 MG/ML SOLN, FUROSEMIDE 10 MG/ML SOLN 10 ML VIAL, FUROSEMIDE 10 MG/ML SOLN 1, FUROSEMIDE 10 MG/ML INJ 2ML, FUROSEMIDE 10 MG/ML SOLN 2 0409-6102-02, HB FUROSEMIDE 10MG/ML VIAL",6
MIDAZOLAM 2 MG/2ML SOLN 2 ML SYRINGE,Pharmacy,0.8391666666666667,"MIDAZOLAM 1 MG/ML SOLN, MIDAZOLAM 1:10 0.5 MG/ML SOLN 1 ML SYRINGE, MIDAZOLAM 10 MG/2ML SOLN, MIDAZOLAM 2 MG/2 ML INJECTION, MIDAZOLAM 2 MG/2ML SOLN, MIDAZOLAM 5 MG/5ML SOLN, MIDAZOLAM 5 MG/ML SOLN, MIDAZOLAM 5 MG/ML SOLN 1 ML VIAL, MIDAZOLAM 5 MG/ML SOLN 10, MIDAZOLAM 5 MG/ML SOLN 10 ML VIAL, MIDAZOLAM 2MG/2ML VIAL, MIDAZOLAM 2MG/2ML INJ",12
IRON SUCROSE 20 MG/ML SOLN,Pharmacy,0.9,"IRON SUCROSE 20 MG/ML SOLN, ROCURONIUM 10 MG/ML SOLN",2
HB-NATRIULETIC PEPTIDE,Laboratory,0.905,"HC NATRIURETIC PEPTIDE, NATRIURETIC PEPTI, NATRIURETIC PEPTIDE, 63025212 - B-NATRIURETIC PEPTIDE",4
"G.I. LAVAGE 236 G SOLR 4,000 ML BOTTLE",,,,0
HB-ELECTRON MICROSCOPY DIAG,Laboratory,0.8,HB ELECTRONIC CROSSMATCH C16,1
HB-HOVER MATT - DISPOSABLE,Supply,0.8,HB TROCAR DISPOSABLE SPLIT,1
HB-CORE NEEDLE,,,,0
"HB-PREGNANCY TEST, VISUAL, COLOR COMPARE",,,,0
INSULIN REGULAR (HUMAN) 100 UNIT/ML SOLN,Pharmacy,0.8875000000000001,"INSULIN REGULAR 100UN/ML INJ 3, INSULIN REGULAR HUMAN 100, INSULIN REGULAR HUMAN 100 UNIT/ML SOLN, INSULIN REGULAR 100 UNIT",4
"MIDAZOLAM 1 MG, ML SOLN 3 ML SYRINGE",Pharmacy,0.845,"MIDAZOLAM 1 MG/ML SOLN, MIDAZOLAM 1:10 0.5 MG/ML SOLN 1 ML SYRINGE, MIDAZOLAM 10 MG/2ML SOLN, MIDAZOLAM 2 MG/2ML SOLN, MIDAZOLAM 5 MG/5ML SOLN, MIDAZOLAM 5 MG/ML SOLN, MIDAZOLAM 5 MG/ML SOLN 2 M, MIDAZOLAM 1 MG/ML SOLN 2 ML VIAL",8
HB-IP PERIT DIAL CONSULT/3 HR,,,,0
HB-ANTIBODY SCREEN,Laboratory,0.8966666666666666,"HC ANTIBODY SCREEN RBC EA SERUM, RBC ANTIBODY SCREEN, ANTIBODY SCR, HC ANTIBODY SCREEN, ANTIBODY SCREEN, HB ANTIBODY SCREEN C32",6
HB-LIPID PANEL,Laboratory,0.94,"HC LIPID PANEL, LIPID PANEL",2
HB-GLYCOSYLATED HEMOGLOBIN TEST,Laboratory,0.9,HC GLYCOSYLATED HEMOGLOBIN,1
HB-IOHEXOL 100CC,,,,0
HB-DAILY CARE ICU,,,,0
"HB-POTASSIUM, URINE","Laboratory, Monitoring",,"POTASSIUM I, POTASSIUM RANDOM URINE, HB POTASSIUM, HC POTASSIUM, POTASSIUM, POTASSIUM ONLY, POTASSIUM SERU, POTASSIUM SERUM, POTASSIUM; SERUM, HB POC POTASSIUM, HC POTASSIUM  SERUM, HB PROTIME, 63102002 - POTASSIUM URINE, POTASSIUM  SERUM, POTASSIUM  URINE, SODIUM  URINE",16
HB-COMPLEMENT (CH50),,,,0
LABETALOL 5 MG/ML SOLN 4 ML SYRINGE,Pharmacy,0.86,"LABETALOL 5 MG/ML INJ 4 ML, LABETALOL 5MG/ML 4ML INJ SYR",2
HB-BLOOD GAS ADD O2 SATURATION,Laboratory,0.835,"BLOOD GASES W/O2 SATURATION, BLOOD GASES W O2 SATURATION",2
GADOBENATE DIMEGLUMINE 529 MG/ML SOLN 20 ML VIA,,,,0
HB-INSERT CATH INTRAPERITONEAL PERMANENT,,,,0
HB-GAMMAGLOBULIN IGA,Laboratory,0.83,GAMMAGLOBULIN IGG,1
HB-GAMMAGLOBULIN IGM,Laboratory,0.83,GAMMAGLOBULIN IGG,1
"HB-CULTURE TYPING, AGGLUTINATIN GROUPING",,,,0
HB-SOLN 1.5-4 25% DELFLEX 2500ML,,,,0
HB-DUFLEX SCAN ABD/PELVTC COMPLETE,,,,0
"HB-SODIUM, URINE","Laboratory, Monitoring",,"SODIUM I, HC SODIUM, SODIUM SERUM, SODIUM, 63101001 - SODIUM URINE, SODIUM  URINE, SODIUM UR SODIUM URINE",7
PROCHLORPERAZINE 5 MG/ML SOLN 2 ML SYRINGE,Pharmacy,0.82,PROCHLORPERAZINE 10MG/2ML INJ,1
"HB-HEPATITIS B SURFACE AG, EIA",Laboratory,0.83,HC HEPATITIS B SURFACE ANTIGEN,1
HB-POTASSIUM,"Laboratory, Monitoring",,"POTASSIUM I, C POTASSIUM ADD-ON, CHG POTASSIUM PLASMA/WB, HB POTASSIUM, HB POTASSIUM BLOOD, HB POTASSIUM WHOLE BLOOD, HC POTASSIUM, HCHG POTASSIUM WB ASSAY, POTASSIUM, POTASSIUM (K) POCT, POTASSIUM BLD, POTASSIUM ONLY, POTASSIUM PLASMA, POTASSIUM SERU, POTASSIUM SERUM, POTASSIUM/K  B, POTASSIUM; SERUM, WHOLE BLOOD POTASSIUM, HB POC POTASSIUM, HB POC SODIUM, HC POTASSIUM  POC, HCHG POC POTASSIUM, POCT POTASSIUM, POTASSIUM  POC, POTASSIUM POC, RT POTASSIUM, POTASSIUM ISTAT, POTASSIUM BLOOD, HC POTASSIUM  SERUM, HB PROTIME, POTASSIUM  SERUM, POTASSIUM  URINE",32
HEPARIN 1000 UNIT/ML SOLN,"OR / Anesthesia / Recovery Room, Diluent / Flush / Irrigant, Pharmacy",,"HEPARIN 10 UNIT/ML INJ, HEPARIN 10 UNIT/ML SOLN, HEPARIN 10 UNIT/ML SOLN 3, HEPARIN 10 UNITS/ML INJ (10ML), HEPARIN 10 UNITS/ML SOLN 3, HEPARIN 100 U INJ, HEPARIN 100 U ML IN, HEPARIN 100 UNIT/ML INJ (10ML), HEPARIN 100 UNIT/ML SOLN, HEPARIN 100 UNITS/ML INJ, HEPARIN 10UNIT ML 3ML 3, HEPARIN 12.5 UNITS, HEPARIN 2 UNIT/2ML FLUSH, HEPARIN 50 UNITS/5 ML LO, HEPARIN FLUSH 100 UNIT/ML, HEPARIN FLUSH 100UNITS/ML INJ, HEPARIN 1 000 UNIT/ML SOLN, HEPARIN 1 000 UNIT/ML SOLN 10 ML VIAL, HEPARIN 1 000 UNIT/ML SOLN 2 ML VIAL, HEPARIN 1 000 UNIT/ML SOLN 30 ML VIAL, HEPARIN 1000 UNIT/ML INJ 10ML, HEPARIN 5000 UNIT/ML SOLN, HEPARIN 1000 UNIT (25, HEPARIN 1000 UNIT (50, HEPARIN 2000 UNIT/2ML, HEPARIN 5000UNITS/0.5ML INJ SY, HEPARIN 10000 UNTS/10ML V, HEPARIN PER 1000 UNITS PREMIX, HEPARIN 100 UNIT/ML SYRG, HEPARIN 100 UNIT/ML SOLN 10 ML VIAL, HEPARIN 100 UNIT/ML SOLN 30 ML EXTEMP, HEPARIN 5 000UNITS/ML INJ, HEPARIN 2 UNIT/ML INJ",33
HB-HEMATOCRIT NON SPUN,"Laboratory, Monitoring, OR / Anesthesia / Recovery Room",,"HEMATOCRIT POC I, HB HEMATOCRIT, HEMATOCRIT POC, HEMATOCRIT, HCHG HEMATOCRIT NON SPUN",5
"HB-HEALTH & BEHAVIOR, ASSMNT PER 15MIN (NLP)",,,,0
PHYTOMADIONE 5 MG TABS,Pharmacy,0.8,AMLODIPINE 5MG TAB,1
FUROSEMIDE 10 MG/ML SOLN 10 ML BAG,Pharmacy,0.8530000000000001,"FUROSEMIDE 10 MG/ML SOLN, FUROSEMIDE 10 MG/ML SOLN 10 ML VIAL, FUROSEMIDE 10 MG/ML SOLN 1, FUROSEMIDE 10 MG/ML INJ 2ML, FUROSEMIDE 10 MG/ML SOLN 2 0409-6102-02, FUROSEMIDE 40MG TABS, HB FUROSEMIDE 10MG/ML VIAL, FUROSEMIDE 100MG/1, FUROSEMIDE ORAL SOLN 10MG/ 1ML, FUROSEMIDE 80 MG TABS",10
HB-CATHETER RIGHT HEART,Cardiology,0.81,HEART CATH RIGHT,1
HB-RBC LEUKOCYTES REDUCED L2,Blood Products,0.8633333333333334,"RBC LEUKOCYTES REDUCED, RBC LEUKOREDUCED, RBC LEUKOCYTES REDUCED EA UNIT",3
HB-NEUROBEHAVIORAL STATUS EXAM PER HR (NLP0,,,,0
HB-F2T-PLSM FZN24/FTP-THAW PLSM L1,,,,0
HB-EGD W/ BIOPHY,,,,0
HB-CATHETER GUIDE,,,,0
INSULIN REGULAR (HUMAN) 100 UNIT/ML SOLN 3 ML V,Pharmacy,0.8624999999999999,"INSULIN REGULAR 100UN/ML INJ 3, INSULIN REGULAR HUMAN 100, INSULIN REGULAR HUMAN 100 UNIT/ML SOLN, INSULIN REGULAR 100 UNIT",4
LOSARTAN 25 MG TABS,Plan Benefit,0.81,BOSENTAN 125 MG TAB,1
HB-BLD COUNT RHTICULOCYTE,,,,0
HB-ASSAY OF CERULOPLASMIN,Laboratory,0.84,"ASSAY OF PROLACTIN, ASSAY OF PREALBUMIN",2
"MIDAZOLAM 1 MG, ML SOLN 2 ML SYRINGE",Pharmacy,0.8487499999999999,"MIDAZOLAM 1 MG/ML SOLN, MIDAZOLAM 1:10 0.5 MG/ML SOLN 1 ML SYRINGE, MIDAZOLAM 10 MG/2ML SOLN, MIDAZOLAM 5 MG/5ML SOLN, MIDAZOLAM 5 MG/ML SOLN, MIDAZOLAM 5 MG/ML SOLN 2 M, MIDAZOLAM 1 MG/ML SOLN 2 ML VIAL, MIDAZOLAM 1MG-MG/ML 2ML VL",8
HB-MODERATE SEDATION EACH ADDNL 15 MIN,,,,0
HB-RECOVERY LEVEL 2 PER MINUTE,,,,0
HB-EGD W/ CONTROL OF BLEEDING,,,,0
"HB-CULTURE, URINE PRESUM ID","Laboratory, OR / Anesthesia / Recovery Room",,"HC CULTURE URINE, CULTURE URINE, HCHG CULTURE URINE",3
"HB-CATHETER KIT, PERITONEAL",Supply,0.81,HB CATHETER BACTISEAL KIT,1
HB-CLINIC VISIT LEVEL 3 RETURN - T1,,,,0
HB-OCCUPATIONAL THERAPY EYAL; 60 MIN,PT / OT / Speech Therapy,0.8533333333333334,"HC OCCUPATIONAL THERAPY EVAL TIER I, HB OCCUPATIONAL THERAPY EV, OCCUPATIONAL THERAPY EVAL",3
HB-BIOPSY GUIDE KIT,,,,0
"HB-BLOOD GASES PH, PO2 & PCO2","Laboratory, Monitoring",,"BLOOD GASES POC, HB BLOOD GASES",2
HB-BILIRUBIN TOTAL,Laboratory,0.87,"BILIRUBIN TOT, BILIRUBIN TOTA, HC BILIRUBIN; TOTAL, HCHG BILIRUBIN TOTAL, BILIRUBIN  TOTAL, BILIRUBIN TOTAL",6
HB-SHEATH STANDARD (SHORT/LONG),,,,0
DESMOPRESSIN DDAVP) 4 MCG/ML SOLN 4.5 ML BAG,,,,0
HB-COMPLEMENT C4,Laboratory,0.81,COMP MET PNL,1
HB-ACTIVATED CLOTTING TIME POC,,,,0
HB-IMMUNOGLOBULIN E,,,,0
HB-MRA-CHEST WITH OR W/O CONTRAST,,,,0
HB-ECHO 2D W/ OR W/O M-MODE F/U OR LTD,Cardiology,0.82,ECHO 2D W/W/O M MODE LTD,1
HB-TRANSFERRIN,Laboratory,0.84,TRANSFERRIN SERUM,1
HB-ABDOMEN XRAY AP VIEW (KUB),Radiology,0.81,XRAY ABDOMEN AP 1 VIEW,1
HB-ASO,Laboratory,0.82,HB LAB SODIUM*,1
HB-ANTINUCLEAR ANTIBODIES,,,,0
"HB-INJ DURING CARDIAC CATH, PULMONARY AMGIOGRAP",,,,0
ENALAPRIL 5 MG TABS,Pharmacy,0.81,"ALLOPURINOL 100 MG TABS, HYDRALAZINE 50 MG TABS, SERTRALINE 50 MG TABS",3
HB-ECHO TRANSHORACIC CONGENITL COMPLETE,,,,0
.FORCEPS RADIAN JAW 4 LARGE CAPACITY,,,,0
HB-LACTATE (LI) (LDH) EMEYME,,,,0
HB-BIILIRUBIN DIRECT,Laboratory,0.84,"HC BILIRUBIN; DIRECT, HCHG BILIRUBIN DIRECT, BILIRUBIN DIRECT, BILIRUBIN  DIRECT (DBIL)",4
"HB-ALPHA-1-ANTITRYPSIN, TOTAL",Laboratory,0.8799999999999999,"ALPHA-1-ANTITRYPSIN PHENO, ALPHA-1-ANTITRYPSIN TOTAL",2
HB-CANE ALUMINUM ADJUSTABLE,,,,0
HB-MICROPUNCTURE INTRODUCTION SET,,,,0
HB-EXERCISE BALL,,,,0
FENTANYL IV BAG 5MG/100ML,,,,0
SOLUTION NACL .9% IRRIGAT_2619,,,,0
PROPOFOL INJ 1000 MG/100 ML,Pharmacy,0.8379999999999999,"PROPOFOL 10 MG/ML EMUL, PROPOFOL 200MG/20ML INJ, PROPOFOL 1000 MG INJ, PROPOFOL 10MG (50ML), PROPOFOL 1000MG/100ML, PROPOFOL 10MG INJ, PROPOFOL 500 MG INJ, PROPOFOL 10 MG INJ, PROPOFOL 10 MG/ML INJ, PROPOFOL 100ML VL",10
WARFARIN TAB 1 MG,Pharmacy,0.8574999999999999,"WARFARIN 3 MG TABS 1 EAC, WARFARIN 10 MG TABS 1 EA, WARFARIN 10 MG TABS, WARFARIN 2 MG TABS, WARFARIN 2.5 MG TABS 1 E, WARFARIN 7.5 MG TABS, WARFARIN 5 MG TABS, WARFARIN 5 MG TABS 1 EAC",8
DIPYRIDAMOLE TAB 75 MG,,,,0
LISINOPRIL TAB 2.5MG,Pharmacy,0.86,"LISINOPRL20MGTB+, LISINOPRIL 5 MG TAB, LISINOPRIL 2.5MG/TAB UDT, LISINOPRIL 40 MG TABS, LISINOPRIL 10MG UD, LISINOPRIL 5MG TAB",6
CANISTER SUCTION 2500CC C_324279,,,,0
CONIVAPTAN/D5W INJ BK 20MG/100ML,,,,0
PHOSPHATE,"Laboratory, Supply",,"PHOSPHATE, PHOSPHATASE ALKALINE, PHOSPHATES ENEMA ADULT",3
LEUKOCYTE POOR BLOOD EA UNIT,,,,0
OXYCODONE TAB 5 MG,Pharmacy,0.8883333333333333,"OXYCODONE 5 MG TABS, ROXICODONE 5MG TABLET, OXYCODONE 5 MG TAB, OXYCODONE 5MG TAB, OXYCODONE 20MG SR TAB, OXYCODONE 5 MG TABLET",6
HEMOSTAT SURGICEL ABSORBA_9692,,,,0
DEXTROSE IV BAG 5% 250 ML,"Diluent / Flush / Irrigant, Pharmacy",,"DEXTROSE 5%, DEXTROSE 5% 100ML, DEXTROSE 5% 250ML, DEXTROSE 5% 50ML, DEXTROSE 5% IN WATER 250ML, DEXTROSE 5% IN WATER 50ML, DEXTROSE, DEXTROSE 5% SOLP 250 ML BA, DEXTROSE 5 % SOLP 250 ML BAG, DEXTROSE-50ML 50%, DEXTROSE 5% INJ 250 ML, DEXTROSE 5% SOLP 250 ML BAG, DEXTROSE 5% SOLP 50 ML BAG, DEXTROSE 5% SOLP 500 ML BAG",14
PROPOFOL INJ 200MG/20ML,Pharmacy,0.8233333333333334,"PROPOFOL 10 MG/ML EMUL, PROPOFOL 200MG/20ML INJ, PROPOFOL 1000 MG INJ, PROPOFOL 10MG (50ML), PROPOFOL 1000MG/100ML, PROPOFOL 10MG INJ, PROPOFOL 500 MG INJ, PROPOFOL 10 MG INJ, PROPOFOL 10 MG/ML INJ",9
UNIQUE PATIENT ENCOUNTER,,,,0
CLOT LYSIS TIME WB DILUTION,,,,0
AMIODARONE INJ 150 MG/3 ML,Pharmacy,0.82,AMIODARONE 50 MG/ML SOLN,1
MAGNESIUM OXIDE TB 400MG(20 MEQ),,,,0
UNDILUTED,,,,0
OXYCODONE/ACETAMINOPHENTB5/325MG,Pharmacy,0.8757142857142857,"HYDROCODONE-ACETAMINOPHEN 5-325 MG TABS, OXYCODONE-ACETAMINOPHEN 10-325 MG TABS, OXYCODONE-ACETAMINOPHEN 5-325 MG TABS, OXYCODONE - ACETAMINOPHEN, OXYCODONE/APAP 5/325 T, OXYCODONE-ACETAMINOPHEN 10-325 MG TABLET, OXYCODONE-ACETAMINOPHEN 5-325 MG TABLET",7
MULTI VITAMINS THERAP UDCUP 5ML,Pharmacy,0.8133333333333334,"MULTIVITAMIN DROP, MULTIVITAMIN WITH MINERALS, MULTIVITAMIN FE 0.5ML",3
FERROUS SULFATE TAB 325 MG,Pharmacy,0.8683333333333333,"FERROUS SULFATE 324MG EC TAB, FERROUS SULFATE 325 MG TOT, FERROUS SULFATE OS, FERROUS SULFATE 325 (65, FERROUS SULFATE 325 MG (65 MG IRON) TABLET, FERROUS SULFATE 15 MG/ML (",6
HEPARIN-PROTAMINE TOLERANCE TEST,,,,0
