descrip	Rev_Code_Name	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS
MIDAZOLAM 1MG-MG/ML 2ML VL	Drugs Requiring Specific Identification	1.0	16.5	16.5	midazolam 1_mg mg/ml 2_ml vial	Pharmacy
MIDAZOLAM 1MG/ML 2ML VIAL	Drugs Requiring Specific Identification	1.0	37.6	37.6	midazolam 1 mg/ml 2 ml vial	Pharmacy
MIDAZOLAM 1MG/ML 2ML VIAL	Pharmacy	1.0	82.9	82.9	midazolam 1 mg/ml 2 ml vial	Pharmacy
MIDAZOLAM 2 MG INJ	Cast/Recovery/Labor Room	1.0	5.17	5.17	midazolam 2_mg injection	Pharmacy
MIDAZOLAM 2 MG INJ	Drugs Requiring Specific Identification	1.0	82.42	81.75	midazolam 2_mg injection	Pharmacy
MIDAZOLAM 2 MG INJ	Pharmacy	1.0	148.0	148.0	midazolam 2_mg injection	Pharmacy
MIDAZOLAM 2 MG/2 ML INJECTION	Drugs Requiring Specific Identification	1.0	9.0	9.0	midazolam 2_mg/2_ml injection	Pharmacy
MIDAZOLAM 2 MG/2 ML INJECTION	EKG/ECG/EEG	1.0	9.0	9.0	midazolam 2_mg/2_ml injection	Pharmacy
MIDAZOLAM 2 MG/2 ML INJECTION	Pharmacy	1.0	17.25	17.25	midazolam 2_mg/2_ml injection	Pharmacy
MIDAZOLAM 2 MG/2ML SOLN	Drugs Requiring Specific Identification	2.0	26.7	16.75	midazolam 2_mg/2_ml solution	Pharmacy
MIDAZOLAM 2 MG/2ML SOLN	Pharmacy	2.0	18.09	9.045	midazolam 2_mg/2_ml solution	Pharmacy
MIDAZOLAM 2MG/2ML INJ	Drugs Requiring Specific Identification	1.0	28.0	28.0	midazolam 2_mg/2_ml injection	Pharmacy
MIDAZOLAM 2MG/2ML INJ	Pharmacy	1.0	87.92	84.43	midazolam 2_mg/2_ml injection	Pharmacy
MIDAZOLAM 2MG/2ML VIAL	Cardiology	2.0	150.0	75.0	midazolam 2_mg/2_ml vial	Pharmacy
MIDAZOLAM 2MG/2ML VIAL	Drugs Requiring Specific Identification	2.0	150.0	75.0	midazolam 2_mg/2_ml vial	Pharmacy
MIDAZOLAM 2MG/2ML VIAL	Pharmacy	2.0	150.0	75.0	midazolam 2_mg/2_ml vial	Pharmacy
MIDAZOLAM 5 MG/5ML SOLN	Drugs Requiring Specific Identification	3.0	41.45	10.2125	midazolam 5_mg/5_ml solution	Pharmacy
MIDAZOLAM 5 MG/5ML SOLN	Pharmacy	5.0	5.0	1.0	midazolam 5_mg/5_ml solution	Pharmacy
MIDAZOLAM 5 MG/ML INJECTION SOLUTION	Pharmacy	100.0	151.0	1.9725	midazolam 5_mg/ml injection solution	Pharmacy
MIDAZOLAM 5 MG/ML SOLN	Drugs Requiring Specific Identification	50.0	99.8	1.996	midazolam 5_mg/ml solution	Pharmacy
MIDAZOLAM 5 MG/ML SOLN	Pharmacy	1.0	159.08	79.775	midazolam 5_mg/ml solution	Pharmacy
MIDAZOLAM 5 MG/ML SOLN 1 ML VIAL	Drugs Requiring Specific Identification	25.0	29.7	1.188	midazolam 5_mg/ml solution 1_ml vial	Pharmacy
MIDAZOLAM 5 MG/ML SOLN 1 ML VIAL	Pharmacy	3.0	150.47	50.2533333333	midazolam 5_mg/ml solution 1_ml vial	Pharmacy
MIDAZOLAM 5 MG/ML SOLN 10	Drugs Requiring Specific Identification	50.0	1733.0	34.66	midazolam 5_mg/ml solution 10	Pharmacy
MIDAZOLAM 5 MG/ML SOLN 10	Pharmacy	50.0	17.61	0.3522	midazolam 5_mg/ml solution 10	Pharmacy
MIDAZOLAM 5 MG/ML SOLN 10 ML VIAL	Drugs Requiring Specific Identification	50.0	112.5	1.25	midazolam 5_mg/ml solution 10_ml vial	Pharmacy
MIDAZOLAM 5 MG/ML SOLN 10 ML VIAL	Pharmacy	50.0	218.62	4.2475	midazolam 5_mg/ml solution 10_ml vial	Pharmacy
MIDAZOLAM 5 MG/ML SOLN 2 M	Pharmacy	10.0	251.11	26.507	midazolam 5_mg/ml solution 2 m	Pharmacy
MIDAZOLAM 5MG/1ML INJ	Pharmacy	10.0	158.7	25.875	midazolam 5 mg/1 ml injection	Pharmacy
MIDAZOLAM 5MG/5ML INJ	Drugs Requiring Specific Identification	1.0	17.97	17.97	midazolam 5_mg/5_ml injection	Pharmacy
MIDAZOLAM 5MG/5ML INJ	EKG/ECG/EEG	1.0	9.0	9.0	midazolam 5_mg/5_ml injection	Pharmacy
MIDAZOLAM 5MG/5ML INJ	Pharmacy	1.0	85.83	84.73	midazolam 5_mg/5_ml injection	Pharmacy
MIDAZOLAM HCL 1 MG INJ	Drugs Requiring Specific Identification	5.0	20.0	4.738	midazolam hcl 1_mg injection	Pharmacy
MIDAZOLAM HCL 1 MG INJ	Pharmacy	2.5	27.7	8.5	midazolam hcl 1_mg injection	Pharmacy
MIDAZOLAM HCL 10MG/2ML INJ	Pharmacy	1.0	25.0	25.0	midazolam hcl 10_mg/2_ml injection	Pharmacy
MIDAZOLAM HCL 2 MG/2ML IJ SOLN	Drugs Requiring Specific Identification	1.0	5.0	5.0	midazolam hydrochloride 2 mg/2 ml injection solution	Pharmacy
MIDAZOLAM HCL 2 MG/2ML IJ SOLN	Pharmacy	1.5	2.615	1.6725	midazolam hydrochloride 2 mg/2 ml injection solution	Pharmacy
MIDODRINE 5 MG TAB	Drugs Requiring Specific Identification	1.0	5.45	3.08333333333	midodrine 5_mg tablet	Pharmacy
MIDODRINE 5 MG TAB	Patient Conv Items	2.0	11.34	11.09	midodrine 5_mg tablet	Pharmacy
MIDODRINE 5 MG TAB	Pharmacy	2.0	13.0	10.4	midodrine 5_mg tablet	Pharmacy
MIDODRINE HCL TAB 5MG	Drugs Requiring Specific Identification	6.0	7.08	1.18	midodrine hcl tablet 5_mg	Pharmacy
MIDODRINE HCL TAB 5MG	Pharmacy	6.0	17.37	2.895	midodrine hcl tablet 5_mg	Pharmacy
MILRINONE 1 MG/ML SOLN 10 ML VIAL	Drugs Requiring Specific Identification	1.0	131.25	131.25	milrinone 1_mg/ml solution 10_ml vial	Pharmacy
MILRINONE 1 MG/ML SOLN 10 ML VIAL	Pharmacy	1.0	150.5	146.25	milrinone 1_mg/ml solution 10_ml vial	Pharmacy
MILRINONE 1 MG/ML SOLN 10 ML VIAL	Radiology	1.0	47.12	47.12	milrinone 1_mg/ml solution 10_ml vial	Pharmacy
MILRINONE 1 MG/ML SOLN 20 ML	Pharmacy	1.0	252.62	252.62	milrinone 1_mg/ml solution 20_ml	Pharmacy
MILRINONE 1 MG/ML SOLN 50 ML VIAL	Drugs Requiring Specific Identification	1.0	399.0	399.0	milrinone 1_mg/ml solution 50_ml vial	Pharmacy
MILRINONE 1 MG/ML SOLN 50 ML VIAL	Pharmacy	1.0	249.34	249.34	milrinone 1_mg/ml solution 50_ml vial	Pharmacy
MILRINONE 20MG/100ML BAG	Drugs Requiring Specific Identification	1.0	280.1	280.1	milrinone 20 mg/100 ml bag	Pharmacy
MILRINONE 40MG/200ML IV BAG	Drugs Requiring Specific Identification	1.0	933.45	933.45	milrinone 40 mg/200 ml intravenous bag	Pharmacy
MINI BAL	Respiratory Services	1.0	1211.0	1211.0	mini ball	Supply
MIRALAX 17GM PACKET	Pharmacy	1.0	15.9	15.9	miralax 17 gm packet	Pharmacy
MIRALAX PACKET	Drugs Requiring Specific Identification	1.0	8.27	8.27	miralax packet	Pharmacy
MIRALAX PACKET	Pharmacy	1.0	8.1	8.1	miralax packet	Pharmacy
MIRALAX PWD. 17GM PKT.	Pharmacy	1.0	46.0	46.0	miralax powder 17_gm packet	Pharmacy
MIROSENIDE 10MG/1ML ORAL SOLN	Pharmacy	1.0	55.05	55.05	mirosenide 10 mg/1 ml oral solution	Pharmacy
MISC NITRIC OXIDE PER HR	Anesthesia	8.0	6160.0	770.0	misc nitric oxide per hour	Plan Benefit
MONITORING LINE	Implant/Supply	1.0	182.0	182.0	monitoring line	Supply
MONUMENT 25 X 31 8 DEGREE	Implant/Supply	1.0	18626.0	18626.0	monument 25 x 31 8 degree	Implant
MORPH SULF 10MG-2MG CARPUJECT	Drugs Requiring Specific Identification	1.0	16.5	16.5	morph sulfate 10_mg 2_mg carpuject	Pharmacy
MORPHINE (PF) IN 0.9 % NACL 2 MG/2 ML (1 MG/ML)	Pharmacy	1.0	154.28	154.28	morphine preservative_free in 0.9% sodium_chloride 2_mg/2_ml 1_mg/ml	Pharmacy
MORPHINE 1 MG/ML SOLN	Drugs Requiring Specific Identification	1.0	84.0	84.0	morphine 1_mg/ml solution	Pharmacy
MORPHINE 1 MG/ML SOLN	Pharmacy	1.0	162.62	162.47	morphine 1_mg/ml solution	Pharmacy
MORPHINE 10MG/5ML ORAL LIQUID UD	Pharmacy	1.0	83.25	83.25	morphine 10 mg/5 ml oral liquid unit dose	Pharmacy
MORPHINE 15 MG TABLET SUSTAINED RELEASE	Pharmacy	1.0	10.1	5.0	morphine 15_mg tablet sustained release	Pharmacy
MORPHINE 15 MG/ML INJECTION SOLUTION	Pharmacy	30.0	153.0	5.1	morphine 15_mg/ml injection solution	Pharmacy
MORPHINE 15 MG/ML SOLN 20	Pharmacy	1.0	254.48	249.85	morphine 15_mg/ml solution 20	Pharmacy
MORPHINE 15 MG/ML SOLN 20 ML VIAL	Pharmacy	1.0	49.78	29.24	morphine 15_mg/ml solution 20_ml vial	Pharmacy
MORPHINE 2 MG INJ	Drugs Requiring Specific Identification	1.0	5.42	5.42	morphine 2_mg injection	Pharmacy
MORPHINE 2 MG INJ	PT/OT/Speech	2.0	33.4	16.7	morphine 2_mg injection	Pharmacy
MORPHINE 2 MG INJ	Pharmacy	1.0	25.0	25.0	morphine 2_mg injection	Pharmacy
MORPHINE 2 MG/ML SOLN	Drugs Requiring Specific Identification	1.0	34.95	34.95	morphine 2_mg/ml solution	Pharmacy
MORPHINE 2 MG/ML SOLN	Outpatient or Home	1.0	16.0	16.0	morphine 2_mg/ml solution	Pharmacy
MORPHINE 2 MG/ML SOLN	Pharmacy	1.0	30.04	30.04	morphine 2_mg/ml solution	Pharmacy
MORPHINE 2 MG/ML SYRG	Drugs Requiring Specific Identification	1.0	44.0	44.0	morphine 2_mg/ml syringe	Pharmacy
MORPHINE 2 MG/ML SYRG	IV Therapy	1.0	39.74	39.74	morphine 2_mg/ml syringe	Pharmacy
MORPHINE 2 MG/ML SYRG	Pharmacy	1.0	39.74	39.74	morphine 2_mg/ml syringe	Pharmacy
MORPHINE 25 MG/ML SOLN 10	Pharmacy	4.0	265.34	66.335	morphine 25_mg/ml solution 10	Pharmacy
MORPHINE 25MG/1ML INJ	Pharmacy	10.0	158.45	15.845	morphine 25 mg/1 ml injection	Pharmacy
MORPHINE 2MG/ML INJ	Drugs Requiring Specific Identification	2.0	18.08	9.04	morphine 2_mg/ml injection	Pharmacy
MORPHINE 2MG/ML INJ	Pharmacy	2.0	43.78	9.04	morphine 2_mg/ml injection	Pharmacy
MORPHINE 30 MG TABLET SUSTAINED RELEASE	Pharmacy	2.0	10.1	5.05	morphine 30_mg tablet sustained release	Pharmacy
MORPHINE 30 MG/30 ML (1 MG/ML) INTRAVENOUS PCA SYRINGE	Pharmacy	3.0	102.25	34.0833333333	morphine 30_mg/30_ml 1_mg/ml intravenous patient_controlled_analgesia syringe	Pharmacy
MORPHINE 4MG/ML INJ	Drugs Requiring Specific Identification	1.0	40.0	40.0	morphine 4_mg/ml injection	Pharmacy
MORPHINE 4MG/ML INJ	Pharmacy	1.0	18.0	18.0	morphine 4_mg/ml injection	Pharmacy
MORPHINE 60 MG TABLET SUSTAINED RELEASE	Pharmacy	1.0	22.48	22.48	morphine 60_mg tablet sustained release	Pharmacy
MORPHINE CARPUJECT 2MG/1ML	Pharmacy	1.0	83.6	83.6	morphine carpuject 2 mg/1 ml	Pharmacy
MORPHINE PF 10MG INJ	Pharmacy	1.0	181.74	181.74	morphine partial_fill 10_mg injection	Pharmacy
MORPHINE SULF 10MG/ML 1ML INJ	Drugs Requiring Specific Identification	1.0	14.25	13.5	morphine sulfate 10_mg/ml 1_ml injection	Pharmacy
MORPHINE SULF 30MG INJ	Drugs Requiring Specific Identification	1.0	192.68	192.68	morphine sulfate 30_mg injection	Pharmacy
MORPHINE SULF 30MG INJ	Pharmacy	1.0	212.0	212.0	morphine sulfate 30_mg injection	Pharmacy
MORPHINE SULFATE 1 MG/ML I	Drugs Requiring Specific Identification	1.0	12.0	12.0	morphine sulfate 1_mg/ml i	Pharmacy
MORPHINE SULFATE 1 MG/ML I	Pharmacy	1.0	11.0	11.0	morphine sulfate 1_mg/ml i	Pharmacy
MORPHINE SULFATE 10 MG INJ	Drugs Requiring Specific Identification	15.0	213.68	14.2453333333	morphine_sulfate 10_mg injection	Pharmacy
MORPHINE SULFATE UP TO 10 MG INJ	Drugs Requiring Specific Identification	1.0	20.0	20.0	morphine_sulfate up to 10_mg injection	Pharmacy
MORPHINE SULFATE UP TO 10 MG INJ	Pharmacy	1.0	27.45	27.45	morphine_sulfate up to 10_mg injection	Pharmacy
MORPHINE UP TO 10MG	Drugs Requiring Specific Identification	4.0	129.64	32.41	morphine up to 10_mg	Pharmacy
MORPHINE UP TO 10MG	Pharmacy	1.0	18.02	18.02	morphine up to 10_mg	Pharmacy
MOUTHCARE KIT ICU CHG	Implant/Supply	1.0	67.0	61.0	mouthcare kit intensive_care_unit charge	Supply
MOUTHWASH BLM COMP KIT	Pharmacy	1.0	108.9	108.9	mouthwash balm component kit	Supply
MOXIFLOXACIN 0.5% OPTH 3ML	Pharmacy	1.0	168.35	168.35	moxifloxacin 0.5% ophthalmic 3 ml	Pharmacy
MR BRAIN WO CONTRAST	MRI	1.0	3358.0	3358.0	magnetic_resonance brain without contrast	Radiology
MR DOTAREM CONTRAST	Drugs Requiring Specific Identification	1.0	102.0	102.0	magnetic resonance dotarem contrast	Pharmacy
MR MRA ABDOMEN W AND WO CONTRAST	MRI	1.0	3483.0	3483.0	mr magnetic_resonance_angiography abdomen with and without contrast	Radiology
MR MRA LOW EXTREM W AND WO CONTRAST	MRI	1.0	1977.0	1977.0	mr magnetic_resonance_angiography lower extremity with and without contrast	Radiology
MR MRA PELVIS W AND WO CONTRAST	MRI	1.0	3534.0	3534.0	mr magnetic_resonance_angiography pelvis with and without contrast	Radiology
MR MRS	MRI	1.0	1476.0	1476.0	magnetic_resonance magnetic_resonance_spectroscopy	Radiology
MR STAPH DNA AMP PROBE	Laboratory	1.0	367.0	367.0	methicillin resistant staphylococcus deoxyribonucleic_acid ampule probe	Laboratory
MRI ABDOMEN NON CONTRAST	MRI	1.0	2614.0	2614.0	magnetic_resonance_imaging abdomen non contrast	Radiology
MRI BRAIN NO CONTRAST	MRI	1.0	1944.0	1944.0	magnetic resonance imaging brain no contrast	Radiology
MRI BRAIN W AND W/O CONTRAST	MRI	1.0	7752.0	7752.0	magnetic resonance imaging brain with and without contrast	Radiology
MRI BRAIN W/O CONTRAST	EKG/ECG/EEG	1.0	2203.23	2203.23	magnetic_resonance_imaging brain without contrast	Radiology
MRI BRAIN W/O CONTRAST	MRI	1.0	3952.0	3952.0	magnetic_resonance_imaging brain without contrast	Radiology
MRI BRAIN W/WO CONTRAST	MRI	1.0	4992.49	4992.49	magnetic resonance imaging brain with or without contrast	Radiology
MRI C SPINE W+W/O CONTRAST	MRI	1.0	5693.0	5693.0	magnetic resonance imaging cervical spine with and without contrast	Radiology
MRI KIT	Implant/Supply	1.0	640.95	640.95	magnetic resonance imaging kit	Supply
MRI KITS	Implant/Supply	1.0	640.95	640.95	magnetic resonance imaging kits	Supply
MRI L SPINE W+W/O CONTRAST	MRI	1.0	4679.0	4679.0	magnetic resonance imaging lumbar spine with and without contrast	Radiology
MRI PELVIS NON CONTRAST	MRI	1.0	2886.0	2886.0	magnetic_resonance_imaging pelvis non contrast	Radiology
MRI T SPINE W+W/O CONTRAST	MRI	1.0	5028.0	5028.0	magnetic resonance imaging thoracic spine with and without contrast	Radiology
MRI-BRAIN W/O CNTRST	MRI	1.0	1240.0	1240.0	magnetic_resonance_imagery brain without contrast	Radiology
MS CLOTH 2% GLUCO CHLOR 2P	Implant/Supply	2.0	76.0	38.0	med_surg cloth 2% glucose chloride 2_pack	Pharmacy
MS CONTIN 100MG SR TABLET	Drugs Requiring Specific Identification	1.0	20.75	20.75	med_surg continuous 100_mg slow_release tablet	Pharmacy
MS MS/MS ANALY NOT SPEC; Q	Laboratory	1.0	319.0	319.0	mass spectrometry analysis, not specific	Laboratory
MUD BIT DRILL QUICK COUPLING GOL	Implant/Supply	1.0	240.14	240.14	mud bit drill quick coupling gold	Supply
MULTI-FLOW ADAPTER	Implant/Supply	1.0	11.4	11.4	multiple flow adapter	Supply
MULTIPLE PULSE OXIMETRY	Pulmonary Function	1.0	150.0	150.0	multiple pulse oximetry	Monitoring
MULTIPLE PULSE OXIMETRY	Respiratory Services	1.0	155.0	155.0	multiple pulse oximetry	Monitoring
MULTIVIT ORAL DROPS PER 0.5ML	Pharmacy	1.0	0.06	0.06	multivit oral drops per 0.5_ml	Pharmacy
MULTIVITAMIN DROP	Pharmacy	1.0	0.46	0.46	multivitamin drop	Pharmacy
MULTIVITAMIN FE 0.5ML	Drugs Requiring Specific Identification	1.0	3.0	3.0	multivitamin fe 0.5_ml	Pharmacy
MULTIVITAMIN WITH IRON 0.25 ML LIQD 0.25 ML SYRINGE	Drugs Requiring Specific Identification	1.0	3.6	3.6	multivitamin with iron 0.25_ml liquid 0.25_ml syringe	Pharmacy
MULTIVITAMIN WITH IRON 0.5 ML LIQD 0.5 ML SYRINGE	Drugs Requiring Specific Identification	1.0	3.6	3.6	multivitamin with iron 0.5_ml liquid 0.5_ml syringe	Pharmacy
MULTIVITAMIN WITH IRON 0.5 ML LIQD 0.5 ML SYRINGE	Outpatient or Home	1.0	3.5	3.5	multivitamin with iron 0.5_ml liquid 0.5_ml syringe	Pharmacy
MULTIVITAMIN WITH IRON 0.5 ML LIQD 0.5 ML SYRINGE	Pharmacy	1.0	3.5	3.5	multivitamin with iron 0.5_ml liquid 0.5_ml syringe	Pharmacy
MULTIVITAMIN WITH MINERALS	Pharmacy	1.0	12.54	6.27	multivitamin with minerals	Pharmacy
MULTIVITAMIN WITH MINERALS TABS	Drugs Requiring Specific Identification	1.0	1.0	1.0	multivitamin with minerals tablets	Pharmacy
MULTIVITAMIN WITH MINERALS TABS	Pharmacy	1.0	1.0	1.0	multivitamin with minerals tablets	Pharmacy
MULTIVITAMIN-IRON DROP	Pharmacy	1.0	0.56	0.56	multivitamin iron drop	Pharmacy
MULTIVITAMIN-ZINC-COENZYME	Pharmacy	1.0	95.04	95.04	multivitamin zinc coenzyme	Pharmacy
MULTIVITAMINS-12 INJ PER 10ML	Pharmacy	1.0	35.69	35.69	multivitamins 12 injection per 10_ml	Pharmacy
MUPIROCIN OINT 22GM TUBE	Pharmacy	1.0	127.75	127.75	mupirocin ointment 22_gram tube	Pharmacy
MVI/IRON PED	Drugs Requiring Specific Identification	1.0	80.0	80.0	multivitamin/iron pediatric	Pharmacy
MVI/IRON PED	Pharmacy	1.0	80.0	80.0	multivitamin/iron pediatric	Pharmacy
MYCOPHENALATE 250 MG PO S	Pharmacy	2.0	55.13	27.565	mycophenalate 250_mg by_mouth sigma	Pharmacy
MYCOPHENOLATE 500 MG INJ	Pharmacy	2.0	554.11	277.055	mycophenolate 500_mg injection	Pharmacy
MYCOPHENOLATE 500 MG SOLR	Drugs Requiring Specific Identification	1.0	264.76	264.76	mycophenolate 500_mg solution	Pharmacy
MYCOPHENOLATE 500 MG SOLR	Pharmacy	2.0	866.98	508.745	mycophenolate 500_mg solution	Pharmacy
MYCOPHENOLATE SOD 360 MG T	Pharmacy	2.0	18.9	9.45	mycophenolate sodium 360_mg tab	Pharmacy
MYLOGOBIN	Laboratory	1.0	121.0	121.0	myoglobin	Laboratory
Magnesium	Laboratory	1.0	79.1	79.1	magnesium	Laboratory
Mic Sensitivity	Laboratory	1.0	147.46	147.46	minimal inhibitory concentration sensitivity	Laboratory
Morphine 2Mg/Ml Inj	Pharmacy	1.0	87.78	87.78	morphine 2_mg/ml injection	Pharmacy
N AUTOM URINALYSIS WITH OUT MICR	Laboratory	1.0	48.0	48.0	non automated urinalysis with out microscopy	Laboratory
N-G TUBE VERIFICATION	Radiology	1.0	392.0	392.0	nasogastric_tube verification	Radiology
NA CHLORIDE 1MEQ/ML ORAL SOL	Pharmacy	2.0	55.05	27.525	sodium_chloride 1 meq/ml oral solution	Pharmacy
NA CL 0.9% FLUSH 5ML	Pharmacy	1.0	44.78	44.78	sodium chloride 0.9% flush 5_ml	Diluent / Flush / Irrigant
NA QUANT NOS AGENT	Laboratory	1.0	783.0	783.0	na quantitative not otherwise specified agent	Laboratory
NA QUANT NOS AGENT X00345	Laboratory	1.0	783.0	783.0	na quantitative not otherwise specified agent x00345	Laboratory
NACL .9 100 IVF	Drugs Requiring Specific Identification	3.0	449.82	149.94	sodium_chloride 0.9 100 intravenous_fluid	Diluent / Flush / Irrigant
NACL .9 100 IVF	Pharmacy	4.0	915.48	237.45	sodium_chloride 0.9 100 intravenous_fluid	Diluent / Flush / Irrigant
NACL .9 100IVF	Drugs Requiring Specific Identification	1.0	127.25	127.25	sodium_chloride 0.9 100ivf	Diluent / Flush / Irrigant
NACL .9 100IVF	Pharmacy	2.0	234.64	127.25	sodium_chloride 0.9 100ivf	Diluent / Flush / Irrigant
NACL .9 100ML	Drugs Requiring Specific Identification	1.0	60.05	60.05	sodium_chloride 0.9 100_ml	Diluent / Flush / Irrigant
NACL .9 100ML	Pharmacy	1.0	140.0	140.0	sodium_chloride 0.9 100_ml	Diluent / Flush / Irrigant
NACL .9 1L IRR	Implant/Supply	1.0	232.68	143.83	sodium_chloride 0.9 1l irrigation	Diluent / Flush / Irrigant
NACL .9 1L IRR	Pharmacy	1.0	98.65	98.65	sodium_chloride 0.9 1l irrigation	Diluent / Flush / Irrigant
NACL .9 250ML	Drugs Requiring Specific Identification	1.0	71.82	71.82	sodium_chloride 0.9 250_ml	Diluent / Flush / Irrigant
NACL .9 250ML	Pharmacy	1.0	140.0	140.0	sodium_chloride 0.9 250_ml	Diluent / Flush / Irrigant
NACL .9 50ML	Drugs Requiring Specific Identification	1.0	63.67	63.67	sodium_chloride 0.9 50_ml	Diluent / Flush / Irrigant
NACL .9 50ML	Pharmacy	2.0	191.01	63.67	sodium_chloride 0.9 50_ml	Diluent / Flush / Irrigant
NACL 0.45% SOLN	Pharmacy	2.0	25.0	12.5	sodium_chloride 0.45% solution	Pharmacy
NACL 0.9 % PGBK 100 ML BAG	Pharmacy	1.0	12.75	12.75	sodium_chloride 0.9% pgbk 100_ml bag	Diluent / Flush / Irrigant
NACL 0.9 % PGBK 50 ML BAG	Pharmacy	1.0	12.63	12.63	sodium_chloride 0.9% pgbk 50_ml bag	Diluent / Flush / Irrigant
NACL 0.9 % SOLP 100 ML BAG	Pharmacy	1.0	3.83	3.83	sodium_chloride 0.9% solution 100_ml bag	Diluent / Flush / Irrigant
NACL 0.9% *MBP* INJ 100 ML	Pharmacy	1.0	88.0	88.0	sodium_chloride 0.9% mini-bag_plus injection 100_ml	Diluent / Flush / Irrigant
NACL 0.9% *MBP* INJ 100ML	Pharmacy	1.0	18.67	18.67	sodium_chloride 0.9% mini-bag_plus injection 100_ml	Diluent / Flush / Irrigant
NACL 0.9% *MBP* INJ 50 ML	Drugs Requiring Specific Identification	1.0	18.78	18.78	sodium_chloride 0.9% mini-bag_plus injection 50_ml	Diluent / Flush / Irrigant
NACL 0.9% *MBP* INJ 50 ML	Pharmacy	1.0	88.0	88.0	sodium_chloride 0.9% mini-bag_plus injection 50_ml	Diluent / Flush / Irrigant
NACL 0.9% *PF* INJ	Pharmacy	1.0	3.07	3.07	sodium_chloride 0.9% preservative_free injection	Diluent / Flush / Irrigant
NACL 0.9% 1000ML	Drugs Requiring Specific Identification	1.0	130.75	96.95	sodium_chloride 0.9% 1000_ml	Diluent / Flush / Irrigant
NACL 0.9% 1000ML	Pharmacy	1.0	130.75	76.1785714286	sodium_chloride 0.9% 1000_ml	Diluent / Flush / Irrigant
NACL 0.9% 100ML	Drugs Requiring Specific Identification	1.0	112.2	112.2	sodium_chloride 0.9% 100_ml	Diluent / Flush / Irrigant
NACL 0.9% 100ML	Implant/Supply	1.0	66.76	66.76	sodium_chloride 0.9% 100_ml	Diluent / Flush / Irrigant
NACL 0.9% 100ML	Pharmacy	1.0	75.2	75.2	sodium_chloride 0.9% 100_ml	Diluent / Flush / Irrigant
NACL 0.9% 100ML MBP	Pharmacy	2.0	40.0	20.0	sodium_chloride 0.9% 100_ml mini-bag_plus	Diluent / Flush / Irrigant
NACL 0.9% 250ML	Drugs Requiring Specific Identification	1.0	263.5	131.75	sodium_chloride 0.9% 250_ml	Diluent / Flush / Irrigant
NACL 0.9% 250ML	Implant/Supply	1.0	66.76	66.76	sodium_chloride 0.9% 250_ml	Diluent / Flush / Irrigant
NACL 0.9% 250ML	Pharmacy	1.0	66.76	63.0	sodium_chloride 0.9% 250_ml	Diluent / Flush / Irrigant
NACL 0.9% 250ML J	Pharmacy	1.0	31.5	31.5	sodium_chloride 0.9% 250_ml j	Diluent / Flush / Irrigant
NACL 0.9% INJ 10ML	Pharmacy	2.0	50.86	25.43	sodium_chloride 0.9% injection 10_ml	Diluent / Flush / Irrigant
NACL 0.9% INJ 1L	Pharmacy	1.0	5.0	5.0	sodium_chloride 0.9% injection 1 liter	Diluent / Flush / Irrigant
NACL 0.9% INJ 250ML	Drugs Requiring Specific Identification	1.0	17.25	17.25	sodium_chloride 0.9% injection 250_ml	Diluent / Flush / Irrigant
NACL 0.9% INJ 250ML	EKG/ECG/EEG	1.0	88.0	88.0	sodium_chloride 0.9% injection 250_ml	Diluent / Flush / Irrigant
NACL 0.9% INJ 250ML	Pharmacy	1.0	17.25	17.25	sodium_chloride 0.9% injection 250_ml	Diluent / Flush / Irrigant
NACL 0.9% INJ 50 ML	Pharmacy	1.0	5.01	4.8	sodium_chloride 0.9% injection 50_ml	Diluent / Flush / Irrigant
NACL 0.9% INJ 500ML	Drugs Requiring Specific Identification	1.0	33.0	33.0	sodium_chloride 0.9% injection 500 ml	Diluent / Flush / Irrigant
NACL 0.9% INJ 500ML	Pharmacy	1.0	18.5	18.5	sodium_chloride 0.9% injection 500 ml	Diluent / Flush / Irrigant
NACL 0.9% INJ QS TO 250 ML	Pharmacy	1.0	205.51	205.51	sodium_chloride 0.9% injection quantity_sufficient to 250_ml	Diluent / Flush / Irrigant
NACL 0.9% MINI BAG P	Pharmacy	1.0	23.75	23.75	sodium_chloride 0.9% mini bag powder	Diluent / Flush / Irrigant
NACL 0.9% MINI BAG PLUS 100ML	Pharmacy	3.0	71.25	23.75	sodium_chloride 0.9% mini bag plus 100_ml	Diluent / Flush / Irrigant
NACL 0.9RIGATION 250ML BTL	Pharmacy	1.0	14.0	14.0	sodium_chloride 0.9 irrigation 250_ml bottle	Diluent / Flush / Irrigant
NACL 4 MEQ/ML SOLN 30 ML VIAL	Pharmacy	5.0	13.2	2.64	sodium_chloride 4_meq/ml solution 30_ml vial	Pharmacy
NARROW BLADE REDUX HOOK DEPUY	Implant/Supply	1.0	2148.0	2148.0	narrow blade redux hook depuy	Supply
NASAL CANNULA	Anesthesia	1.0	44.0	44.0	nasal_cannula	Supply
NASAL CANNULA	Implant/Supply	1.0	26.0	26.0	nasal_cannula	Supply
NASAL JEJUNAL TUBE	Implant/Supply	1.0	293.0	293.0	nasal jejunal tube	Supply
NASAL/ORAL INTRO LONG GI T	OR Services	1.0	709.0	709.0	nasal/oral intro long gastrointestinal t	Procedure
