Procedure Code,# of desciptions,Unique charge classes,Unique rev codes names
60058870,1,Supply,Implant/Supply
8414S,1,Laboratory,Laboratory
"13073606
2",1,Pharmacy,Pharmacy
4291060,1,Supply,Implant/Supply
&1642,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
82746307,1,Laboratory,Laboratory
00300,1,Monitoring,Laboratory
77961200,1,Supply,Implant/Supply
43604246,1,Nursing Services,Laboratory
H3200093,1,Radiology,Radiology
11504513,1,Supply,Implant/Supply
25810000,1,Pharmacy,Pharmacy
11502716,1,Supply,Implant/Supply
11504045,1,Supply,Implant/Supply
01481958,1,Plan Benefit,Pharmacy
42000027,1,PT / OT / Speech Therapy,PT/OT/Speech
80076.0,1,Laboratory,Laboratory
30016715,1,Monitoring,Laboratory
C37189,1,Laboratory,Laboratory
3213 64,1,Nursing Services,Laboratory
30092,1,Supply,Implant/Supply
4779068,1,Laboratory,Laboratory
344072,1,Laboratory,Laboratory
60020160,1,Laboratory,Laboratory
11504686,1,Supply,Implant/Supply
183735,1,Laboratory,Laboratory
11504680,1,Supply,Implant/Supply
60016210,1,Laboratory,Laboratory
"13062428
7",1,Pharmacy,Pharmacy
86200680,1,Laboratory,Laboratory
1462704,1,Pharmacy,Pharmacy
45450848,1,Respiratory Therapy,Respiratory Services
001446,1,Pharmacy,Pharmacy
G8988-CI-GO,1,PT / OT / Speech Therapy,PT/OT/Speech
85014 048,1,Monitoring,Laboratory
01482825,1,Pharmacy,Pharmacy
11513583,1,Supply,Implant/Supply
4438949,1,Laboratory,Laboratory
82948.0,1,Monitoring,Laboratory
60040470,1,Laboratory,Laboratory
11514674,1,Supply,Implant/Supply
301000061,1,Pharmacy,Laboratory
01024033,1,Monitoring,Laboratory
11504681,1,Supply,Implant/Supply
02429670,1,Pharmacy,Laboratory
13475,1,Pharmacy,Drugs Requiring Specific Identification
43503754,1,Laboratory,Laboratory
LBF 8707,1,Laboratory,Laboratory
46201117,1,PT / OT / Speech Therapy,PT/OT/Speech
LB 8218,1,Laboratory,Laboratory
302000192,1,Laboratory,Laboratory
H3184,1,Room and Board,Intensive Care
01450428,1,Pharmacy,Pharmacy
39209,1,Laboratory,Laboratory
HCLAB13010070,1,Laboratory,Laboratory
11505330,1,Supply,Implant/Supply
30001311,1,Nursing Services,Laboratory
492257,1,Laboratory,Laboratory
4103735,1,Laboratory,Laboratory
11501658,1,Supply,Implant/Supply
11501657,1,Supply,Implant/Supply
462630,1,PT / OT / Speech Therapy,PT/OT/Speech
11501655,1,Supply,Implant/Supply
"12977674
1",1,Diluent / Flush / Irrigant,Pharmacy
30000248,1,Laboratory,Laboratory
84760,1,Monitoring,Pulmonary Function
01472851,1,Pharmacy,Pharmacy
08230,1,Laboratory,Laboratory
08006,1,Laboratory,Laboratory
01481683,1,Pharmacy,Pharmacy
30076,1,Laboratory,Laboratory
J7 060,1,Diluent / Flush / Irrigant,Pharmacy
128113586,1,Supply,Pharmacy
01024587,1,Laboratory,Laboratory
97140,1,PT / OT / Speech Therapy,PT/OT/Speech
25204751,1,Laboratory,Laboratory
300000018,1,Pharmacy,Drugs Requiring Specific Identification
250-0001,1,Pharmacy,Pharmacy
90 25,1,Laboratory,Laboratory
603017,1,Cardiology,EKG/ECG/EEG
"12962130
9",1,Pharmacy,Pharmacy
11501789,1,Supply,Implant/Supply
300000010,1,Nursing Services,Laboratory
30131900,1,Laboratory,Laboratory
300000015,1,Pharmacy,Drugs Requiring Specific Identification
97001CP,1,PT / OT / Speech Therapy,PT/OT/Speech
11501497,1,Supply,Implant/Supply
737009,1,Supply,Implant/Supply
"12965033
4",1,Pharmacy,Pharmacy
060473,1,PT / OT / Speech Therapy,PT/OT/Speech
87848000,1,PT / OT / Speech Therapy,Implant/Supply
76604,1,Radiology,Other Imaging Services
11504274,1,Supply,Implant/Supply
14910784,1,PT / OT / Speech Therapy,PT/OT/Speech
3000068,1,Respiratory Therapy,Implant/Supply
85014C,1,Laboratory,Laboratory
29305,1,Laboratory,Laboratory
3020728,1,Laboratory,Laboratory
85320091,1,Laboratory,Laboratory
555856 0,1,Laboratory,Laboratory
24007525,1,Nursing Services,Laboratory
LB 8190,1,Laboratory,Laboratory
26000523,1,Diluent / Flush / Irrigant,Pharmacy
97530.0,1,PT / OT / Speech Therapy,PT/OT/Speech
MHS5ML,1,Pharmacy,Pharmacy
30585384,1,Laboratory,Laboratory
800000880,1,Laboratory,Laboratory
HCTHR14600004,1,Respiratory Therapy,Pulmonary Function
04724792,1,Laboratory,Laboratory
11501649,1,Supply,Implant/Supply
43409,1,Laboratory,Laboratory
30100263,1,Laboratory,Laboratory
01362,1,Laboratory,Laboratory
1637000002,1,Pharmacy,Pharmacy
82 94 7,1,Laboratory,Laboratory
803155,1,Laboratory,Laboratory
419946,1,Laboratory,Laboratory
30112103,1,Laboratory,Laboratory
13290162,1,Pharmacy,Pharmacy
87210.0,1,Laboratory,Laboratory
01468594,1,Pharmacy,Pharmacy
60011470,1,Laboratory,Laboratory
"12961995
5",1,Diluent / Flush / Irrigant,Pharmacy
"12961995
7",1,Diluent / Flush / Irrigant,Pharmacy
71010TC,1,Radiology,Radiology
60039400,1,Blood Products,Blood
1503512,1,Radiology,Radiology
45000585,1,Other,Emergency Room
01130285,1,Laboratory,Laboratory
30100174,1,Laboratory,Laboratory
800000680,1,Laboratory,Laboratory
15152525,1,Pharmacy,Pharmacy
76705TC,1,Radiology,Other Imaging Services
85BL0,1,Laboratory,Laboratory
818737,1,OR / Anesthesia / Recovery Room,Anesthesia
"12881227
6",1,Diluent / Flush / Irrigant,Pharmacy
81295,1,Laboratory,Laboratory
01484014,1,Pharmacy,Pharmacy
01225,1,Laboratory,Laboratory
34226,1,Laboratory,Laboratory
3259201,1,Radiology,Prof Fees
42010180,1,PT / OT / Speech Therapy,PT/OT/Speech
"13054689
1",1,Pharmacy,Pharmacy
123922380,1,Supply,Pharmacy
08987-CL-GO,1,PT / OT / Speech Therapy,PT/OT/Speech
11514699,1,Supply,Implant/Supply
19013961,1,Laboratory,Laboratory
77000485,1,Supply,Implant/Supply
"12944241
9",1,Pharmacy,Pharmacy
11504466,1,OR / Anesthesia / Recovery Room,Implant/Supply
25310066,1,Laboratory,Laboratory
800000887,1,Laboratory,Laboratory
87252,1,Laboratory,Laboratory
800000886,1,Laboratory,Laboratory
4360004,1,Laboratory,Laboratory
4360002,1,Laboratory,Laboratory
450015,1,Laboratory,Laboratory
4549710,1,Laboratory,Laboratory
300000160,1,Laboratory,Laboratory
77000483,1,Supply,Implant/Supply
300800690,1,Laboratory,Laboratory
30100440,1,Laboratory,Laboratory
4360424B,1,Nursing Services,Laboratory
818735,1,OR / Anesthesia / Recovery Room,Anesthesia
78100142,1,Nursing Services,Treatment/Observation Room
36501005,1,Laboratory,Laboratory
0146C708,1,Diluent / Flush / Irrigant,Pharmacy
00199,1,Pharmacy,Pharmacy
00198,1,Pharmacy,Pharmacy
32010890,1,Radiology,Radiology
86202546,1,Laboratory,Laboratory
30001122,1,Laboratory,Laboratory
3416213,1,Supply,Respiratory Services
83045,1,Laboratory,Laboratory
00587,1,Laboratory,Laboratory
01445238,1,Pharmacy,Pharmacy
82305,1,Laboratory,Laboratory
87300.0,1,Laboratory,Laboratory
HMM 32,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
0101505€·,1,Laboratory,Laboratory
810000,1,Laboratory,Laboratory
41095266,1,Diluent / Flush / Irrigant,Pharmacy
8370ODD1,1,Pharmacy,Pharmacy
338004911,1,Diluent / Flush / Irrigant,Pharmacy
800000544,1,Laboratory,Laboratory
84376,1,Laboratory,Laboratory
800000546,1,Laboratory,Laboratory
9700300,1,PT / OT / Speech Therapy,PT/OT/Speech
01454289,1,Pharmacy,Pharmacy
1410839,1,PT / OT / Speech Therapy,PT/OT/Speech
113490,1,Pharmacy,Pharmacy
3630610,1,Laboratory,Laboratory
140000029,1,Room and Board,Room & Board
30100033,1,Laboratory,Laboratory
03650320,1,Supply,Implant/Supply
11514175,1,Supply,Implant/Supply
811305,1,Respiratory Therapy,Respiratory Services
102019,1,Laboratory,Laboratory
90001495,1,PT / OT / Speech Therapy,PT/OT/Speech
01469964,1,Pharmacy,Pharmacy
11514174,1,Supply,Implant/Supply
01015056,1,Laboratory,Laboratory
801016,1,Laboratory,Laboratory
84132',1,Laboratory,Laboratory
84295000,1,Laboratory,Laboratory
60075030,1,Laboratory,Laboratory
32000188,1,Radiology,Radiology
844430,1,Laboratory,Laboratory
4251807,1,PT / OT / Speech Therapy,PT/OT/Speech
800541,1,Laboratory,Laboratory
01484770,1,Pharmacy,Pharmacy
"13073607
5",1,Pharmacy,Pharmacy
01015189,1,Laboratory,Laboratory
LLGOOL,1,Nursing Services,Blood
11514173,1,Supply,Implant/Supply
63801001,1,Laboratory,Laboratory
62401005·HB,1,Laboratory,Laboratory
82310F,1,Laboratory,Laboratory
LBF 8218,1,Laboratory,Laboratory
01481935,1,Pharmacy,Pharmacy
443618,1,Laboratory,Laboratory
01431600,1,Pharmacy,Pharmacy
333610,1,Laboratory,Laboratory
01482092,1,Pharmacy,Pharmacy
00518,1,Supply,Pharmacy
435932,1,Laboratory,Laboratory
01160,1,PT / OT / Speech Therapy,PT/OT/Speech
93041089,1,Monitoring,EKG/ECG/EEG
JJOIO,1,Pharmacy,Drugs Requiring Specific Identification
60016110,1,Laboratory,Laboratory
01169,1,Laboratory,Laboratory
3108235,1,Laboratory,Laboratory
30100101,1,Laboratory,Laboratory
7.60101846E8,1,Laboratory,Laboratory
J2720,1,Pharmacy,Drugs Requiring Specific Identification
044653,1,Laboratory,Laboratory
3''6012C3,1,Supply,Other Diagnostic Services
86880000,1,PT / OT / Speech Therapy,PT/OT/Speech
30100035,1,Pharmacy,Laboratory
85805,1,Laboratory,Laboratory
43722522,1,PT / OT / Speech Therapy,PT/OT/Speech
30600015,1,Laboratory,Laboratory
J 0131,1,Pharmacy,Pharmacy
30110061,1,Laboratory,Laboratory
J 3490,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
LB 8604,1,Laboratory,Laboratory
65610,1,Laboratory,Laboratory
419919,1,Laboratory,Laboratory
20501301,1,Room and Board,Room & Board
63017004,1,Laboratory,Laboratory
30002783,1,Laboratory,Laboratory
83900000,1,PT / OT / Speech Therapy,Implant/Supply
11505529,1,Supply,Implant/Supply
01467513,1,Pharmacy,Pharmacy
04104,1,Laboratory,Laboratory
03269,1,PT / OT / Speech Therapy,PT/OT/Speech
84132·,1,Monitoring,Laboratory
HMM 34,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
39384003,1,PT / OT / Speech Therapy,PT/OT/Speech
80053010,1,Laboratory,Laboratory
7900,1,Supply,Implant/Supply
11512788,1,Implant,Implant/Supply
60018100,1,Laboratory,Laboratory
PI9270GY,1,Pharmacy,Pharmacy
21205,1,Laboratory,Laboratory
850210,1,Laboratory,Laboratory
00771,1,Pharmacy,Pharmacy
800001366,1,Laboratory,Laboratory
14269212,1,Pharmacy,Pharmacy
A92 7 0GY,1,Pharmacy,Pharmacy
83001055,1,Laboratory,Laboratory
418087,1,PT / OT / Speech Therapy,PT/OT/Speech
8005?,1,Laboratory,Laboratory
8502?,1,Laboratory,Laboratory
L8071305,1,Laboratory,Laboratory
30002285,1,Laboratory,Laboratory
20808098,1,Laboratory,Laboratory
14550,1,Laboratory,Laboratory
454380,1,Laboratory,Laboratory
7150000675,1,Diluent / Flush / Irrigant,Pharmacy
62063938,1,Laboratory,Laboratory
11503031,1,Supply,Implant/Supply
01130236,1,Laboratory,Laboratory
11503033,1,Supply,Implant/Supply
800000882,1,Laboratory,Laboratory
11503034,1,Supply,Implant/Supply
903701,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
102083028,1,Supply,Implant/Supply
831'35,1,Laboratory,Laboratory
77031623,1,Supply,Implant/Supply
84132A,1,Laboratory,Laboratory
"12906892
3",1,Diluent / Flush / Irrigant,Pharmacy
831'33,1,Laboratory,Laboratory
C 9113,1,Pharmacy,Pharmacy
440389,1,Laboratory,Laboratory
037469,1,Laboratory,Laboratory
HMM 35,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
80299,1,Pharmacy,Laboratory
77000477,1,Supply,Implant/Supply
80002507,1,Laboratory,Laboratory
1502220,1,Room and Board,Room & Board
"12984068
4",1,Pharmacy,Pharmacy
3730015,1,Respiratory Therapy,Respiratory Services
30000090,1,Nursing Services,Laboratory
048182,1,OR / Anesthesia / Recovery Room,Anesthesia
128621991,1,Pharmacy,Pharmacy
044603,1,Cardiology,Cardiology
8319475,1,Laboratory,Laboratory
94657,1,Respiratory Therapy,Respiratory Services
11503858,1,Supply,Implant/Supply
02439,1,Diluent / Flush / Irrigant,Pharmacy
03 B318,1,Pharmacy,Drugs Requiring Specific Identification
20808418,1,Laboratory,Laboratory
11500624,1,Supply,Implant/Supply
00083,1,Respiratory Therapy,Respiratory Services
11500623,1,Supply,Implant/Supply
01900042,1,Radiology,MRI
80001794,1,Laboratory,Laboratory
248356,1,Pharmacy,Pharmacy
84100218,1,Laboratory,Laboratory
248355,1,Pharmacy,Pharmacy
11512300,1,Supply,Implant/Supply
2163,1,Pharmacy,Pharmacy
4000612,1,Supply,Implant/Supply
7420000029,1,Nursing Services,Laboratory
11510784,1,Supply,Implant/Supply
2J030001,1,Pharmacy,Pharmacy
01453158,1,Pharmacy,Pharmacy
4228425,1,Laboratory,Laboratory
58858000,1,Respiratory Therapy,Respiratory Services
418069,1,PT / OT / Speech Therapy,PT/OT/Speech
124450037,1,Supply,Pharmacy
7203053,1,Nursing Services,Blood
93000004,1,Nursing Services,Implant/Supply
060717,1,Pharmacy,Pharmacy
H20186,1,Diluent / Flush / Irrigant,Pharmacy
870502,1,Laboratory,Laboratory
83970,1,Laboratory,Laboratory
618,1,Pharmacy,Pharmacy
58836000,1,Respiratory Therapy,Respiratory Services
322970,1,PT / OT / Speech Therapy,PT/OT/Speech
43000017,1,PT / OT / Speech Therapy,PT/OT/Speech
12390242,1,Pharmacy,Pharmacy
43000013,1,PT / OT / Speech Therapy,PT/OT/Speech
30100457,1,Laboratory,Laboratory
7003GO,1,PT / OT / Speech Therapy,PT/OT/Speech
22009103,1,Laboratory,Laboratory
H4500202,1,Respiratory Therapy,OR Services
01434414,1,Pharmacy,Pharmacy
24507378,1,Laboratory,Laboratory
8690I,1,Laboratory,Laboratory
21466000,1,Monitoring,Coronary Care
420043,1,Laboratory,Laboratory
85340404,1,Laboratory,Laboratory
868882,1,Laboratory,Laboratory
344038,1,Laboratory,Laboratory
823 30,1,Laboratory,Laboratory
"12973766
2",1,Pharmacy,Pharmacy
8573 0,1,Laboratory,Laboratory
LB0713O5,1,Laboratory,Laboratory
65016,1,Laboratory,Laboratory
398928,1,Supply,Implant/Supply
4603000,1,Cardiology,EKG/ECG/EEG
11513020,1,Supply,Implant/Supply
33513295,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
07591,1,Pharmacy,Drugs Requiring Specific Identification
39070,1,Supply,Implant/Supply
123713805,1,Pharmacy,Pharmacy
60016060,1,Monitoring,Laboratory
454S0557,1,Monitoring,Respiratory Services
32945,1,Laboratory,Laboratory
130271805,1,Diluent / Flush / Irrigant,Pharmacy
6618603,1,Supply,Implant/Supply
398660,1,Supply,Implant/Supply
600127200,1,Laboratory,Laboratory
3551277,1,Pharmacy,Pharmacy
92728,1,Laboratory,Laboratory
"12963708
6",1,Pharmacy,Pharmacy
30000370,1,Laboratory,Laboratory
01481100,1,Pharmacy,Pharmacy
04720793,1,Laboratory,Laboratory
600510,1,Supply,Implant/Supply
3660U,1,Nursing Services,Pulmonary Function
30100210,1,Laboratory,Laboratory
B2570,1,Laboratory,Laboratory
B0061,1,Laboratory,Laboratory
01482031,1,Diluent / Flush / Irrigant,Pharmacy
80085018,1,Laboratory,Laboratory
K4216,1,Diluent / Flush / Irrigant,Pharmacy
677217,1,Pharmacy,Drugs Requiring Specific Identification
80085014,1,Laboratory,Laboratory
12820462,1,Pharmacy,Pharmacy
LB008015,1,Laboratory,Laboratory
811308,1,Respiratory Therapy,Respiratory Services
420886,1,Supply,Implant/Supply
30186020,1,Laboratory,Laboratory
"12885888
7",1,Diluent / Flush / Irrigant,Pharmacy
4103615,1,Laboratory,Laboratory
11514707,1,Supply,Implant/Supply
30100216,1,Laboratory,Laboratory
85018 (CPT®),1,Laboratory,Laboratory
3003086,1,Monitoring,Pulmonary Function
500001191,1,OR / Anesthesia / Recovery Room,Anesthesia
82330 (CPT®),1,Laboratory,Laboratory
19704530,1,Procedure,OR Services
25604583,1,Pharmacy,Pharmacy
"12954486
6",1,Diluent / Flush / Irrigant,Pharmacy
37500014,1,Laboratory,Laboratory
87271.0,1,Laboratory,Laboratory
42 58,1,Laboratory,Laboratory
63714001,1,Laboratory,Laboratory
903478,1,Pharmacy,Drugs Requiring Specific Identification
833610,1,Laboratory,Laboratory
01461169,1,Pharmacy,Pharmacy
3660062,1,Laboratory,Laboratory
121876092,1,Pharmacy,Pharmacy
60039030,1,Laboratory,Laboratory
16140,1,Laboratory,Laboratory
01459817,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
87205A,1,Laboratory,Laboratory
43S03216,1,Laboratory,Laboratory
97001 (CPT®),1,PT / OT / Speech Therapy,PT/OT/Speech
63762001,1,Laboratory,Laboratory
1111500,1,Room and Board,Room & Board
"12657432
8",1,Pharmacy,Pharmacy
B29B2,1,Monitoring,Laboratory
30000362,1,Laboratory,Laboratory
45460S57,1,Monitoring,Respiratory Services
58895000,1,Professional Fee,Implant/Supply
11504388,1,Supply,Implant/Supply
28602401,1,PT / OT / Speech Therapy,PT/OT/Speech
0101505€,1,Laboratory,Laboratory
11513516,1,Supply,Implant/Supply
0S7640,1,Nursing Services,Laboratory
01190073,1,Laboratory,Laboratory
8294891,1,Monitoring,Laboratory
803938,1,Laboratory,Laboratory
"12698320
1",1,Pharmacy,Pharmacy
4107205,1,Laboratory,Laboratory
87910000,1,Room and Board,Implant/Supply
11501609,1,Supply,Implant/Supply
01481905,1,Pharmacy,Pharmacy
008361,1,Pharmacy,Drugs Requiring Specific Identification
14542212,1,Pharmacy,Pharmacy
689055,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
11513336,1,Supply,Implant/Supply
52560004,1,Respiratory Therapy,Implant/Supply
4102140,1,Laboratory,Laboratory
59692000,1,Diluent / Flush / Irrigant,Pharmacy
11501683,1,Supply,Implant/Supply
M216,1,Diluent / Flush / Irrigant,Pharmacy
811386,1,OR / Anesthesia / Recovery Room,OR Services
JHCLAB13010013,1,Laboratory,Laboratory
301000368,1,Laboratory,Laboratory
122901194,1,Laboratory,Laboratory
62401005,1,Laboratory,Laboratory
01900224,1,Radiology,MRI
8245,1,Laboratory,Laboratory
97530GO,1,PT / OT / Speech Therapy,PT/OT/Speech
760101905,1,Laboratory,Laboratory
"13018926
2",1,Diluent / Flush / Irrigant,Pharmacy
"12852245
2",1,Pharmacy,Pharmacy
J206Q,1,Pharmacy,Drugs Requiring Specific Identification
84100A,1,Laboratory,Laboratory
86480,1,Pharmacy,Laboratory
11679032,1,Pharmacy,Pharmacy
01435720,1,Diluent / Flush / Irrigant,Pharmacy
00011,1,Cardiology,EKG/ECG/EEG
55007,1,Laboratory,Laboratory
01484207,1,Pharmacy,Pharmacy
800530,1,Laboratory,Laboratory
03970001,1,Laboratory,Laboratory
4779210,1,Laboratory,Laboratory
11504790,1,Supply,Implant/Supply
01416809,1,Pharmacy,Pharmacy
117706,1,Laboratory,Laboratory
03330,1,Pharmacy,Pharmacy
01460703,1,Diluent / Flush / Irrigant,Pharmacy
469749,1,Laboratory,Laboratory
1003582,1,Diluent / Flush / Irrigant,Pharmacy
01444009,1,Pharmacy,Pharmacy
32543,1,Pharmacy,Pharmacy
A4333,1,Supply,Implant/Supply
48300005,1,Radiology,Cardiology
70001358,1,Radiology,Radiology
01484202,1,Pharmacy,Pharmacy
00010,1,Pharmacy,Pharmacy
30100186,1,Laboratory,Laboratory
HCLAB 13010013,1,Laboratory,Laboratory
27100038,1,Supply,Implant/Supply
63021001,1,Laboratory,Laboratory
01481585,1,Pharmacy,Pharmacy
H3010320,1,Laboratory,Laboratory
82565.0,1,Laboratory,Laboratory
30600053,1,Laboratory,Laboratory
27100039,1,Respiratory Therapy,Implant/Supply
7.60101663E8,1,Laboratory,Laboratory
7115303,1,Radiology,Radiology
301000211,1,Monitoring,Laboratory
01481617,1,Pharmacy,Pharmacy
HCLAB 13010010,1,Laboratory,Laboratory
01481615,1,Pharmacy,Pharmacy
01481614,1,Pharmacy,Pharmacy
82977.0,1,Laboratory,Laboratory
63528001,1,Laboratory,Laboratory
4102962,1,Monitoring,Laboratory
901887,1,Pharmacy,Pharmacy
8 0053,1,Laboratory,Laboratory
B319475,1,Laboratory,Laboratory
J2050,1,Pharmacy,Pharmacy
80000352,1,Laboratory,Laboratory
04064,1,Laboratory,Laboratory
J0480,1,Pharmacy,Pharmacy
828034,1,Laboratory,Laboratory
01834,1,Pharmacy,Pharmacy
4938650,1,Laboratory,Laboratory
1457795,1,Pharmacy,Pharmacy
11504759,1,Supply,Implant/Supply
01481909,1,Pharmacy,Pharmacy
87071,1,Laboratory,Laboratory
01484167,1,Pharmacy,Pharmacy
644648,1,Pharmacy,Drugs Requiring Specific Identification
24702136,1,Laboratory,Laboratory
27200987,1,Supply,Implant/Supply
400036506,1,Supply,Implant/Supply
33600348,1,Nursing Services,Other Diagnostic Services
4809301,1,Cardiology,EKG/ECG/EEG
80000351,1,Laboratory,Laboratory
800000957,1,Laboratory,Laboratory
017C1093,1,Radiology,Radiology
72157,1,Radiology,MRI
J7603,1,Pharmacy,Pharmacy
33700,1,Laboratory,Laboratory
800484,1,Laboratory,Laboratory
80053 (CPT®),1,Laboratory,Laboratory
43603216,1,Laboratory,Laboratory
36620,1,Procedure,Treatment/Observation Room
419002,1,Laboratory,Laboratory
30585018,1,Laboratory,Laboratory
77033462,1,Supply,Implant/Supply
30100020,1,Laboratory,Laboratory
30100021,1,Monitoring,Laboratory
43504248,1,Nursing Services,Laboratory
RXOO 1,1,Pharmacy,Pharmacy
905786,1,Supply,Implant/Supply
04412816,1,Pharmacy,Pharmacy
00209,1,Laboratory,Laboratory
300000274,1,Laboratory,Laboratory
033490,1,PT / OT / Speech Therapy,PT/OT/Speech
85610.0,1,Laboratory,Laboratory
800482,1,Laboratory,Laboratory
305000007,1,Laboratory,Laboratory
305000005,1,Laboratory,Laboratory
A4550,1,Supply,Implant/Supply
85027·,1,Laboratory,Laboratory
01041060,1,Laboratory,Laboratory
301000374,1,Laboratory,Laboratory
37800905,1,Monitoring,Pulmonary Function
92526.0,1,PT / OT / Speech Therapy,PT/OT/Speech
11514569,1,Supply,Implant/Supply
01024932,1,Laboratory,Laboratory
03751500,1,PT / OT / Speech Therapy,PT/OT/Speech
677332,1,Pharmacy,Drugs Requiring Specific Identification
3001004,1,Nursing Services,Laboratory
76604002,1,Radiology,Other Imaging Services
64053000,1,Laboratory,Laboratory
11505401,1,Supply,Implant/Supply
J 1205,1,Pharmacy,Drugs Requiring Specific Identification
85610201,1,Laboratory,Laboratory
305000006,1,Laboratory,Laboratory
01484187,1,Pharmacy,Pharmacy
45460524,1,Respiratory Therapy,Respiratory Services
01300499,1,Monitoring,Nursing
40690,1,Pharmacy,Pharmacy
439005,1,Laboratory,Laboratory
811120,1,PT / OT / Speech Therapy,PT/OT/Speech
971160P,1,PT / OT / Speech Therapy,PT/OT/Speech
734002124,1,Nursing Services,Laboratory
37880,1,Laboratory,Laboratory
89051,1,Laboratory,Laboratory
66923,1,Laboratory,Blood
02366,1,PT / OT / Speech Therapy,PT/OT/Speech
016415,1,Laboratory,Laboratory
03910008,1,Laboratory,Laboratory
811306,1,Respiratory Therapy,Respiratory Services
10300044,1,Laboratory,Laboratory
XG90,1,Pharmacy,Pharmacy
075663,1,Diluent / Flush / Irrigant,Pharmacy
324000002,1,Radiology,Radiology
01484185,1,Pharmacy,Pharmacy
37086,1,Laboratory,Laboratory
13510432,1,Pharmacy,Pharmacy
104 014,1,Laboratory,Laboratory
301200342,1,Monitoring,Laboratory
12529012,1,Pharmacy,Pharmacy
422585,1,Supply,Implant/Supply
11511840,1,Supply,Implant/Supply
"12992664
9",1,Pharmacy,Pharmacy
"13061353
2",1,Pharmacy,Pharmacy
J1335,1,Pharmacy,Pharmacy
30 2229,1,Laboratory,Laboratory
3113000,1,OR / Anesthesia / Recovery Room,Cast/Recovery/Labor Room
01453380,1,Pharmacy,Pharmacy
83962,1,Monitoring,Laboratory
01416791,1,Pharmacy,Pharmacy
420477,1,Supply,Implant/Supply
36131,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
860048,1,Laboratory,Laboratory
PI000609,1,Pharmacy,Pharmacy
1484597,1,Pharmacy,Pharmacy
1484598,1,Pharmacy,Pharmacy
80000225,1,Laboratory,Laboratory
55482330,1,Laboratory,Laboratory
420183,1,Respiratory Therapy,Respiratory Services
80000229,1,Laboratory,Laboratory
86900.0,1,Laboratory,Laboratory
63018004,1,Laboratory,Laboratory
U2270,1,Pharmacy,Pharmacy
1024066,1,Laboratory,Laboratory
24711699,1,Laboratory,Laboratory
105029,1,Laboratory,Laboratory
"12992668
4",1,Pharmacy,Pharmacy
RS 1402,1,Laboratory,Laboratory
01518083,1,Laboratory,Laboratory
30600044,1,Laboratory,Laboratory
418255,1,Supply,Implant/Supply
25000623,1,Diluent / Flush / Irrigant,Pharmacy
3101451,1,Laboratory,Laboratory
1445LSL,1,Laboratory,Laboratory
01484079,1,Pharmacy,Pharmacy
3110041,1,OR / Anesthesia / Recovery Room,OR Services
"12901796
0",1,Pharmacy,Pharmacy
63029004,1,Laboratory,Laboratory
015709,1,Pharmacy,Pharmacy
27401020,1,Laboratory,Laboratory
S0077,1,Pharmacy,Pharmacy
30000627,1,Laboratory,Laboratory
00352,1,Laboratory,Laboratory
MOF 5416,1,Respiratory Therapy,Implant/Supply
06200349,1,Laboratory,Laboratory
10800001,1,Laboratory,Laboratory
B2607,1,Laboratory,Laboratory
005686,1,Pharmacy,Drugs Requiring Specific Identification
037074,1,Laboratory,Laboratory
J030,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
3233 0,1,Laboratory,Laboratory
J0310,1,Pharmacy,Pharmacy
01091,1,Pharmacy,Pharmacy
36415258,1,Nursing Services,Laboratory
00590,1,Laboratory,Laboratory
82805',1,Laboratory,Laboratory
450790,1,Laboratory,Laboratory
9002263,1,Laboratory,Laboratory
30500001,1,Laboratory,Laboratory
30000649,1,Laboratory,Laboratory
400024082,1,Supply,Implant/Supply
11514183,1,Supply,Implant/Supply
013790,1,Diluent / Flush / Irrigant,Pharmacy
6221000,1,PT / OT / Speech Therapy,PT/OT/Speech
9002865,1,Laboratory,Laboratory
00579,1,Pharmacy,Drugs Requiring Specific Identification
82397,1,Laboratory,Laboratory
80001793,1,Laboratory,Laboratory
1427SML,1,Laboratory,Laboratory
4000287,1,Radiology,CT Scan
11555262,1,Pharmacy,Pharmacy
P37A5,1,Laboratory,Laboratory
8443 9,1,Laboratory,Laboratory
031374,1,Respiratory Therapy,Implant/Supply
01250,1,Laboratory,Laboratory
86100000,1,OR / Anesthesia / Recovery Room,PT/OT/Speech
11514186,1,Supply,Implant/Supply
.,1,Pharmacy,Pharmacy
007583,1,Pharmacy,Pharmacy
J'7030,1,Diluent / Flush / Irrigant,Pharmacy
8 02335,1,Respiratory Therapy,Implant/Supply
34443,1,Laboratory,Laboratory
62052832,1,Laboratory,Laboratory
760100046,1,Laboratory,Laboratory
44969,1,Laboratory,Laboratory
3.3176556E7,1,Supply,Implant/Supply
