descrip	cleaned_descrip	Rev_Code_Name	units	billed_amount	norm_billed_amount	NORM_DESC	CHRG_CLS	billed_categories	units_categories
HB SPIROMETRY	SPIROMETRY	Pulmonary Function	1.0	297.0	297.0	spirometry	Respiratory Therapy	(287, 641]	Units <= 1
HC SPIROMETRY	SPIROMETRY	Respiratory Services	1.0	197.5	197.5	spirometry	Respiratory Therapy	(92, 287]	Units <= 1
HB SPIRONOLACTONE 10 MG/ML SUSP	SPIRONOLACTONE 10 MG/ML SUSP	Pharmacy	1.0	19.9	19.9	spironolactone 10 mg/ml suspension	Pharmacy	(17, 41]	Units <= 1
HB SPIRONOLACTONE 100MG TAB U	SPIRONOLACTONE 100MG TAB U	Pharmacy	1.0	1.67	1.67	spironolactone 100 mg tablet u adapt	Pharmacy	(0, 4]	Units <= 1
SPIRONOLACTONE 25 MG TAB	SPIRONOLACTONE 25 MG TAB	Drugs Requiring Specific Identification	1.0	1.0	1.0	spironolactone 25_mg tablet	Pharmacy	(0, 4]	Units <= 1
SPIRONOLACTONE 25 MG TAB	SPIRONOLACTONE 25 MG TAB	MRI	1.0	9.04	9.04	spironolactone 25_mg tablet	Pharmacy	(4, 17]	Units <= 1
SPIRONOLACTONE 25 MG TAB	SPIRONOLACTONE 25 MG TAB	Outpatient or Home	1.0	9.0	9.0	spironolactone 25_mg tablet	Pharmacy	(4, 17]	Units <= 1
SPIRONOLACTONE 25 MG TAB	SPIRONOLACTONE 25 MG TAB	PT/OT/Speech	1.0	1.15	1.15	spironolactone 25_mg tablet	Pharmacy	(0, 4]	Units <= 1
SPIRONOLACTONE 25 MG TAB	SPIRONOLACTONE 25 MG TAB	Patient Conv Items	2.0	3.0	1.5	spironolactone 25_mg tablet	Pharmacy	(0, 4]	Units > 1
SPIRONOLACTONE 25 MG TAB	SPIRONOLACTONE 25 MG TAB	Pharmacy	1.0	5.2	4.58	spironolactone 25_mg tablet	Pharmacy	(4, 17]	Units <= 1
SPIRONOLACTONE 25 MG TAB 500 EACH BOTTLE	SPIRONOLACTONE 25 MG TAB 500 EACH BOTTLE	Pharmacy	1.0	145.05	145.05	spironolactone 25_mg tablet 500 each bottle	Pharmacy	(92, 287]	Units <= 1
SPIRONOLACTONE 5 MG/ML SUS	SPIRONOLACTONE 5 MG/ML SUS	Drugs Requiring Specific Identification	1.0	24.11	24.11	spironolactone 5_mg/ml suspension	Pharmacy	(17, 41]	Units <= 1
SPIRONOLACTONE 5 MG/ML SUS	SPIRONOLACTONE 5 MG/ML SUS	Pharmacy	1.0	16.0	16.0	spironolactone 5_mg/ml suspension	Pharmacy	(4, 17]	Units <= 1
SPIRONOLACTONE 5 MG/ML SUSP 100 ML BOTTLE	SPIRONOLACTONE 5 MG/ML SUSP 100 ML BOTTLE	Pharmacy	1.0	145.04	145.04	spironolactone 5_mg/ml suspension 100_ml bottle	Pharmacy	(92, 287]	Units <= 1
SPIRONOLACTONE 5MG/1ML ORAL	SPIRONOLACTONE 5MG/1ML ORAL	Pharmacy	1.0	0.18	0.15	spironolactone 5_mg/1_ml oral	Pharmacy	(0, 4]	Units <= 1
SPIRONOLACTONE-HYDROCHLORO	SPIRONOLACTONE HYDROCHLORO	Pharmacy	1.0	94.92	94.92	spironolactone hydrochlorothiazide	Pharmacy	(92, 287]	Units <= 1
SPIRONOLACTONE/HCTZ SUSP 5 WCH00 - 0009 - 71	SPIRONOLACTONE/HCTZ SUSP 5 WCH00 0009 71	Pharmacy	4.0	6.65	1.6625	spironolactone/hctz suspension 5 wch00 0009 71	Pharmacy	(0, 4]	Units > 1
SPLIT ALIQUOT PROCESSING	SPLIT ALIQUOT PROCESSING	Laboratory	1.0	152.0	152.0	split aliquot processing	Blood Products	(92, 287]	Units <= 1
SPLIT LEUKOREDUCED PACK CELLS	SPLIT LEUKOREDUCED PACK CELLS	Blood	1.0	386.5	386.5	split leukoreduced pack cells	Blood Products	(287, 641]	Units <= 1
SPLITTING BLOOD PRODUCT	SPLITTING BLOOD PRODUCT	Blood	1.0	72.0	72.0	splitting blood product	Blood Products	(61, 92]	Units <= 1
HB SPLITTING BLOOD PRODUCT	SPLITTING BLOOD PRODUCT	Laboratory	1.0	103.0	103.0	splitting blood product	Blood Products	(92, 287]	Units <= 1
HB - SPLITTING OF BLOOD, EACH UNIT	SPLITTING OF BLOOD EACH UNIT	Blood	1.0	55.0	55.0	splitting of blood each unit	Blood Products	(41, 61]	Units <= 1
SPNG GZ 2 6X6-3/4 STRL	SPNG GZ 2 6X6 3/4 STRL	Implant/Supply	2.0	12.0	6.0	sponge gauze 2 6x6 3/4 sterile	Supply	(4, 17]	Units > 1
SPNG KTNR 9/16X0.25IN STRL X1	SPNG KTNR 9/16X0.25IN STRL X1	Implant/Supply	1.5	26.58	17.72	sponge ktnr 9/16x0.25 inches sterile x1	Supply	(17, 41]	Units > 1
SPONGE 4X4 STERILE 2/PK	SPONGE 4X4 STERILE 2/PK	Implant/Supply	3.5	3.5	1.0	sponge 4x4 sterile 2/pack	Supply	(0, 4]	Units > 1
SPONGE DRAIN T'SORB	SPONGE DRAIN T SORB	Implant/Supply	2.0	0.0	0.0	sponge drain tsorb	Supply	(-10, 0]	Units > 1
SPONGE GA AVANT 4X4 STERILE	SPONGE GA AVANT 4X4 STERILE	Implant/Supply	1.0	4.0	4.0	sponge ga avant 4x4 sterile	Supply	(0, 4]	Units <= 1
SPONGE GZ 4X4 STRL NON21426	SPONGE GZ 4X4 STRL NON21426	Implant/Supply	1.0	0.34	0.34	sponge gauze 4x4 sterile non21426	Supply	(0, 4]	Units <= 1
SPONGE IV 2X2 STR 6 PLY CA2	SPONGE IV 2X2 STR 6 PLY CA2	Implant/Supply	1.0	4.0	4.0	sponge intravenous 2x2 sterile 6 ply ca2	Supply	(0, 4]	Units <= 1
SPONGE IV 2X2 STR 6 PLY CA7	SPONGE IV 2X2 STR 6 PLY CA7	Implant/Supply	1.0	4.0	4.0	sponge intravenous 2x2 sterile 6 ply ca7	Supply	(0, 4]	Units <= 1
HB SPONGE SUPER DRSG KERLIX 6X6X.	SPONGE SUPER DRSG KERLIX 6X6X.	Implant/Supply	8.0	24.0	3.0	sponge super dressing kerlix 6x6x	Supply	(0, 4]	Units > 1
SPONGE XR DETECTABLE 4X4 CA	SPONGE XR DETECTABLE 4X4 CA	Implant/Supply	1.0	4.0	4.0	sponge x ray detectable 4x4 ca	Supply	(0, 4]	Units <= 1
HB SPP/ALBUMIN	SPP/ALBUMIN	Laboratory	1.0	55.91	55.91	spp/albumin	Laboratory	(41, 61]	Units <= 1
HB SPP/TRANSFERRIN	SPP/TRANSFERRIN	Laboratory	1.0	55.91	55.91	spp/transferrin	Laboratory	(41, 61]	Units <= 1
SPRAY, ZINC DIMETH 2OZ	SPRAY ZINC DIMETH 2OZ	Implant/Supply	1.0	32.0	32.0	spray zinc dimethicone 2oz	Pharmacy	(17, 41]	Units <= 1
SPS SET PWRLOC 20GX.75 0652034	SPS SET PWRLOC 20GX.75 0652034	Implant/Supply	1.0	41.0	41.0	sps set power_loc 20gx.75 0652034	Supply	(17, 41]	Units <= 1
SPSP-INS TUNEL CNTR VEN CTH W/O PRT>5YRS	SPSP INS TUNEL CNTR VEN CTH W/O PRT>5YRS	Others	1.0	6464.0	6464.0	spsp insert tunel cntrl ven catheter without port greater_than 5yrs	Procedure	(2496, 9320]	Units <= 1
SPSP-INS TUNEL CNTR VEN CTH W/O PRT>5YRS	SPSP INS TUNEL CNTR VEN CTH W/O PRT>5YRS	Implant/Supply	1.0	6041.0	6041.0	spsp insert tunel cntrl ven catheter without port greater_than 5yrs	Procedure	(2496, 9320]	Units <= 1
SPSP - SUPPLY USE MAINTA OF DRUG INF CATH	SPSP SUPPLY USE MAINTA OF DRUG INF CATH	Implant/Supply	1.0	17.0	17.0	spsp supply use maintenance of drug infusion catheter	Supply	(4, 17]	Units <= 1
SPSP-SUPPLY USE MAINTA OF DRUG INF CATH	SPSP SUPPLY USE MAINTA OF DRUG INF CATH	Other Implants	1.0	17.0	17.0	spsp supply use maintenance of drug infusion catheter	Supply	(4, 17]	Units <= 1
SPUTUM COLLECTION	SPUTUM COLLECTION	Implant/Supply	1.0	63.32	63.32	sputum collection	Respiratory Therapy	(61, 92]	Units <= 1
HC SPUTUM COLLECTION	SPUTUM COLLECTION	Laboratory	1.0	125.265	125.265	sputum collection	Respiratory Therapy	(92, 287]	Units <= 1
HC SPUTUM COLLECTION	SPUTUM COLLECTION	Pulmonary Function	1.0	38.625	25.75	sputum collection	Respiratory Therapy	(17, 41]	Units <= 1
HC SPUTUM COLLECTION	SPUTUM COLLECTION	Respiratory Services	1.0	18.57	18.57	sputum collection	Respiratory Therapy	(17, 41]	Units <= 1
SPUTUM COLLECTION -	SPUTUM COLLECTION 	Respiratory Services	1.0	155.0	155.0	sputum collection	Respiratory Therapy	(92, 287]	Units <= 1
SPUTUM INDUCTION	SPUTUM INDUCTION	Implant/Supply	1.0	149.825	149.825	sputum induction	Respiratory Therapy	(92, 287]	Units <= 1
HC SPUTUM INDUCTION	SPUTUM INDUCTION	Laboratory	1.0	101.0	101.0	sputum induction	Respiratory Therapy	(92, 287]	Units <= 1
SPUTUM INDUCTION	SPUTUM INDUCTION	Pulmonary Function	1.0	176.0	176.0	sputum induction	Respiratory Therapy	(92, 287]	Units <= 1
HB SPUTUM INDUCTION	SPUTUM INDUCTION	Respiratory Services	1.0	141.36	141.36	sputum induction	Respiratory Therapy	(92, 287]	Units <= 1
SPUTUM INDUCTION INITIAL	SPUTUM INDUCTION INITIAL	Implant/Supply	1.0	205.0	205.0	sputum induction initial	Respiratory Therapy	(92, 287]	Units <= 1
HC SPUTUM INDUCTION INITIAL	SPUTUM INDUCTION INITIAL	Respiratory Services	1.0	205.0	205.0	sputum induction initial	Respiratory Therapy	(92, 287]	Units <= 1
ST EVAL SWALLOW INTERM	ST EVAL SWALLOW INTERM	PT/OT/Speech	1.0	654.0	654.0	speech_therapy evaluation swallow intermediate	PT / OT / Speech Therapy	(641, 997]	Units <= 1
ST IV ADM	ST IV ADM	Implant/Supply	1.0	123.24	114.75	set intravenous admission	Supply	(92, 287]	Units <= 1
ST JUDE MECHANICAL HEART VALVE	ST JUDE MECHANICAL HEART VALVE	Other Implants	1.0	9616.0	9616.0	st jude mechanical heart valve	Implant	(9320, 187611]	Units <= 1
ST - TX SWALLOW/FEEDING FN	ST TX SWALLOW/FEEDING FN	PT/OT/Speech	1.0	385.0	385.0	set treatment swallow/feeding fn	Supply	(287, 641]	Units <= 1
HC STANDARD BED CHARGE	STANDARD BED CHARGE	Room & Board	1.0	1230.0	1230.0	standard bed charge	Capital Equipment	(997, 2496]	Units <= 1
STANDARD COGNITIVE PERF TEST PER HR	STANDARD COGNITIVE PERF TEST PER HR	PT/OT/Speech	1.0	284.0	284.0	standard cognitive performance test per hour	PT / OT / Speech Therapy	(92, 287]	Units <= 1
HB STANDARD TRIFURCATED TUBING	STANDARD TRIFURCATED TUBING	Implant/Supply	1.0	120.97	120.97	standard trifurcated tubing	Supply	(92, 287]	Units <= 1
STAPH SURVEILLANCE CUL	STAPH SURVEILLANCE CUL	Implant/Supply	1.0	67.0	67.0	staphylococcus surveillance culture	Laboratory	(61, 92]	Units <= 1
STAPH SURVEILLANCE CUL	STAPH SURVEILLANCE CUL	Laboratory	1.0	67.0	67.0	staphylococcus surveillance culture	Laboratory	(61, 92]	Units <= 1
STAPLE GUN SKN REG	STAPLE GUN SKN REG	Implant/Supply	1.0	518.0	304.75	staple gun skin regular	Supply	(287, 641]	Units <= 1
STAPLE REMOVER, SKIN 3M	STAPLE REMOVER SKIN 3M	Implant/Supply	1.0	7.0	7.0	staple remover skin 3m	Supply	(4, 17]	Units <= 1
STAPLER CONTOUR CVD GRN CS40G	STAPLER CONTOUR CVD GRN CS40G	Implant/Supply	1.0	3297.5	3297.5	stapler contour cvd grn cs40_gm	Supply	(2496, 9320]	Units <= 1
STAPLER EXTRACTOR	STAPLER EXTRACTOR	Implant/Supply	1.0	14.0	14.0	stapler extractor	Supply	(4, 17]	Units <= 1
STAPLER LINEAR PROX VASC 3	STAPLER LINEAR PROX VASC 3	Implant/Supply	1.0	204.0	204.0	stapler linear proximate vascular 3	Supply	(92, 287]	Units <= 1
STAPLER RELOAD LINEAR PROX	STAPLER RELOAD LINEAR PROX	Implant/Supply	1.0	116.7	116.7	stapler reload linear proximate	Supply	(92, 287]	Units <= 1
STAPLER SKIN	STAPLER SKIN	Implant/Supply	1.0	172.0	123.25	stapler skin	Supply	(92, 287]	Units <= 1
HC STAPLER SKIN	STAPLER SKIN	Other Implants	1.0	35.0	35.0	stapler skin	Supply	(17, 41]	Units <= 1
STAPLER SKIN 35 WIDE	STAPLER SKIN 35 WIDE	Implant/Supply	1.0	22.1	22.1	stapler skin 35 wide	Supply	(17, 41]	Units <= 1
STAPLER SKIN (35 WIDE)	STAPLER SKIN 35 WIDE 	Implant/Supply	1.5	201.0	132.0	stapler skin 35 wide	Supply	(92, 287]	Units > 1
STAPLER SKIN APPMED APPOSE	STAPLER SKIN APPMED APPOSE	Implant/Supply	1.0	33.1	33.1	stapler skin appmed appose	Supply	(17, 41]	Units <= 1
STAPLER SKIN MULTIFIRE 35R	STAPLER SKIN MULTIFIRE 35R	Implant/Supply	1.0	88.0	88.0	stapler skin multifire 35r	Supply	(61, 92]	Units <= 1
STAPLER SKIN PROXIMATE WIDE_E	STAPLER SKIN PROXIMATE WIDE E	Implant/Supply	1.0	172.26	172.26	stapler skin proximate wide e	Supply	(92, 287]	Units <= 1
STAPLER SKIN ULC APPOSE 35W	STAPLER SKIN ULC APPOSE 35W	Implant/Supply	2.0	210.0	105.0	stapler skin ulc appose 35w	Supply	(92, 287]	Units > 1
HB STAPLER SKN MF PREM ROT HD 35	STAPLER SKN MF PREM ROT HD 35	Implant/Supply	1.0	92.0	92.0	stapler skin mf prem root hand 35	Supply	(61, 92]	Units <= 1
STATLOCK-CATHETER SECUREDEVICE	STATLOCK CATHETER SECUREDEVICE	Implant/Supply	1.0	28.82	28.82	statlock catheter securedevice	Supply	(17, 41]	Units <= 1
STATLOCK PICC PLUS DISP	STATLOCK PICC PLUS DISP	Implant/Supply	1.0	78.28	78.28	statlock peripherally_inserted_central_catheter plus disposable	Supply	(61, 92]	Units <= 1
STAY SHARP 5MM LONESTAR RETRAC	STAY SHARP 5MM LONESTAR RETRAC	Implant/Supply	1.0	797.49	797.49	stay sharp 5mm lonestar retract	Supply	(641, 997]	Units <= 1
STE, CK VALVE 20DP	STE CK VALVE 20DP	Implant/Supply	1.0	19.0	19.0	set check valve 20 dp	Supply	(17, 41]	Units <= 1
STENT ICAST COVERED 7X59X80 85405	STENT ICAST COVERED 7X59X80 85405	Other Implants	1.0	6916.41	6916.41	stent icast covered 7x59x80 85405	Implant	(2496, 9320]	Units <= 1
HC STERI STRIP 1/2 IN	STERI STRIP 1/2 IN	Implant/Supply	1.0	6.0	6.0	steri strip 1/2 inch	Supply	(4, 17]	Units <= 1
STERIL WATER INJ 10ML	STERIL WATER INJ 10ML	Drugs Requiring Detailed Coding	1.0	37.84	37.84	sterile water injection 10_ml	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
STERIL WATER INJ 10ML	STERIL WATER INJ 10ML	Pharmacy	1.0	52.32	37.84	sterile water injection 10_ml	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
STERILE H2O IRRIG BTL 1L	STERILE H2O IRRIG BTL 1L	Pharmacy	1.0	6.0	6.0	sterile water irrigation bottle 1 liter	Diluent / Flush / Irrigant	(4, 17]	Units <= 1
STERILE WATER	STERILE WATER	IV Solutions	2.0	118.8	79.2	sterile water	Diluent / Flush / Irrigant	(61, 92]	Units > 1
STERILE WATER	STERILE WATER	Implant/Supply	1.0	4.8	4.8	sterile water	Diluent / Flush / Irrigant	(4, 17]	Units <= 1
STERILE WATER	STERILE WATER	Pharmacy	1.0	26.0	26.0	sterile water	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
STERILE WATER 1000ML	STERILE WATER 1000ML	IV Solutions	1.0	352.27	352.27	sterile water 1000_ml	Diluent / Flush / Irrigant	(287, 641]	Units <= 1
STERILE WATER 1000ML	STERILE WATER 1000ML	Pharmacy	1.0	27.0	27.0	sterile water 1000_ml	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
STERILE WATER (1000ML)	STERILE WATER 1000ML 	IV Solutions	1.0	39.5	39.5	sterile water 1000_ml	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
STERILE WATER 10ML VIAL	STERILE WATER 10ML VIAL	Pharmacy	1.0	53.0	53.0	sterile water 10 ml vial	Diluent / Flush / Irrigant	(41, 61]	Units <= 1
STERILE WATER 20ML	STERILE WATER 20ML	Pharmacy	1.0	14.43	14.43	sterile water 20_ml	Diluent / Flush / Irrigant	(4, 17]	Units <= 1
STERILE WATER FOR COMPOUNDING	STERILE WATER FOR COMPOUNDING	IV Solutions	1.0	2.05	2.05	sterile water for compounding	Diluent / Flush / Irrigant	(0, 4]	Units <= 1
STERILE WATER FOR COMPOUNDING	STERILE WATER FOR COMPOUNDING	Implant/Supply	1.0	2.05	2.05	sterile water for compounding	Diluent / Flush / Irrigant	(0, 4]	Units <= 1
STERILE WATER FOR INJ 1000ML	STERILE WATER FOR INJ 1000ML	IV Solutions	1.0	0.0	0.0	sterile water for injection 1000_ml	Diluent / Flush / Irrigant	(-10, 0]	Units <= 1
STERILE WATER FOR INJ 1000ML	STERILE WATER FOR INJ 1000ML	Pharmacy	1.0	217.0	217.0	sterile water for injection 1000_ml	Diluent / Flush / Irrigant	(92, 287]	Units <= 1
HB STERILE WATER FOR INJ 1L	STERILE WATER FOR INJ 1L	IV Solutions	150.0	3.97	0.024059406	sterile water for injection 1l	Diluent / Flush / Irrigant	(0, 4]	Units > 1
HB STERILE WATER FOR INJ IL	STERILE WATER FOR INJ IL	IV Solutions	159.0	4.09	0.02572327	sterile water for injection il	Diluent / Flush / Irrigant	(0, 4]	Units > 1
STERILE WATER FOR INJ SOLN 0409-4887-10	STERILE WATER FOR INJ SOLN 0409 4887 10	Implant/Supply	1.0	27.5	27.5	sterile water for injection solution 0409 4887 10	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
STERILE WATER FOR INJ SOLN 0409 - 4887 - 10	STERILE WATER FOR INJ SOLN 0409 4887 10	Pharmacy	1.0	28.05	28.05	sterile water for injection solution 0409 4887 10	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
STERILE WATER FOR INJECTION 10	STERILE WATER FOR INJECTION 10	Pharmacy	2.0	169.68	84.84	sterile water for injection 10	Diluent / Flush / Irrigant	(61, 92]	Units > 1
STERILE WATER FOR INJECTION SOLP	STERILE WATER FOR INJECTION SOLP	IV Solutions	1.0	7.0	7.0	sterile water for injection solution	Diluent / Flush / Irrigant	(4, 17]	Units <= 1
STERILE WATER FOR INJECTION SOLP	STERILE WATER FOR INJECTION SOLP	Pharmacy	1.0	24.0	24.0	sterile water for injection solution	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
STERILE WATER FOR IRRIG 250ML	STERILE WATER FOR IRRIG 250ML	Pharmacy	1.0	83.0	77.0	sterile water for irrigation 250_ml	Diluent / Flush / Irrigant	(61, 92]	Units <= 1
STERILE WATER IRRIGATION 50	STERILE WATER IRRIGATION 50	Implant/Supply	1.0	5.0	5.0	sterile water irrigation 50	Diluent / Flush / Irrigant	(4, 17]	Units <= 1
STERILE WATER IRRIGATION 50	STERILE WATER IRRIGATION 50	Pharmacy	1.0	5.0	5.0	sterile water irrigation 50	Diluent / Flush / Irrigant	(4, 17]	Units <= 1
STERILE WATER IV (BAG) SOLN WCH00-0004-93	STERILE WATER IV BAG SOLN WCH00 0004 93	Implant/Supply	871.0	28.05	0.032204363	sterile water intravenous bag solution wch00 0004 93	Diluent / Flush / Irrigant	(0, 4]	Units > 1
STERILE WATER IV (BAG) SOLN WCH00-0004-93	STERILE WATER IV BAG SOLN WCH00 0004 93	Pharmacy	50.0	28.05	0.561	sterile water intravenous bag solution wch00 0004 93	Diluent / Flush / Irrigant	(0, 4]	Units > 1
STERILE WATER QS BASE	STERILE WATER QS BASE	Pharmacy	1.0	57.41	44.0	sterile water quantity_sufficient base	Diluent / Flush / Irrigant	(41, 61]	Units <= 1
STERILE WATER SOLN	STERILE WATER SOLN	IV Solutions	1.0	0.1	0.1	sterile water solution	Diluent / Flush / Irrigant	(0, 4]	Units <= 1
STERILE WATER SOLN	STERILE WATER SOLN	Pharmacy	1.0	3.3	3.3	sterile water solution	Diluent / Flush / Irrigant	(0, 4]	Units <= 1
STERILE WATER SOLN 1,000 ML FLEX CONT	STERILE WATER SOLN 1 000 ML FLEX CONT	Drugs Requiring Detailed Coding	1.0	21.85	21.85	sterile water solution 1 000_ml flex control	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
STERILE WATER SOLN 1,000 ML FLEX CONT	STERILE WATER SOLN 1 000 ML FLEX CONT	IV Solutions	1.0	30.0	30.0	sterile water solution 1 000_ml flex control	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
STERILE WATER SOLN 1,000 ML FLEX CONT	STERILE WATER SOLN 1 000 ML FLEX CONT	Implant/Supply	1.0	21.55	21.55	sterile water solution 1 000_ml flex control	Diluent / Flush / Irrigant	(17, 41]	Units <= 1
STERILE WATER SOLN 1,000 ML FLEX CONT	STERILE WATER SOLN 1 000 ML FLEX CONT	Pharmacy	1.0	73.0	73.0	sterile water solution 1 000_ml flex control	Diluent / Flush / Irrigant	(61, 92]	Units <= 1
STERILE WATER SOLP	STERILE WATER SOLP	IV Solutions	100.0	64.45	0.6445	sterile water solution	Diluent / Flush / Irrigant	(0, 4]	Units > 1
STERILE WATER SOLP	STERILE WATER SOLP	Implant/Supply	2.0	220.0	110.0	sterile water solution	Diluent / Flush / Irrigant	(92, 287]	Units > 1
STERILE WATER SOLP	STERILE WATER SOLP	Pharmacy	1.0	80.0	80.0	sterile water solution	Diluent / Flush / Irrigant	(61, 92]	Units <= 1
STERILE WATER SOLP 1,000 M	STERILE WATER SOLP 1 000 M	Implant/Supply	1.0	0.57	0.57	sterile water solution 1 000 m	Diluent / Flush / Irrigant	(0, 4]	Units <= 1
STERILE WATER SOLP 1 000 M	STERILE WATER SOLP 1 000 M	Pharmacy	1.0	197.915	197.915	sterile water solution 1 000 m	Diluent / Flush / Irrigant	(92, 287]	Units <= 1
STERILE WATER SOLP 1,000 ML BAG	STERILE WATER SOLP 1 000 ML BAG	IV Solutions	1.0	57.25	55.0	sterile water solution 1 000_ml bag	Diluent / Flush / Irrigant	(41, 61]	Units <= 1
STERILE WATER SOLP 1,000 ML BAG	STERILE WATER SOLP 1 000 ML BAG	Implant/Supply	2.0	220.0	110.0	sterile water solution 1 000_ml bag	Diluent / Flush / Irrigant	(92, 287]	Units > 1
STERILE WATER SOLP 1,000 ML BAG	STERILE WATER SOLP 1 000 ML BAG	Pharmacy	1.0	51.75	51.75	sterile water solution 1 000_ml bag	Diluent / Flush / Irrigant	(41, 61]	Units <= 1
STERILE WATER TPN SOLN 1,000 ML EXTEMP	STERILE WATER TPN SOLN 1 000 ML EXTEMP	IV Solutions	44.0	13.9	0.315909091	sterile water total_parenteral_nutrition solution 1 000_ml extemp	Diluent / Flush / Irrigant	(0, 4]	Units > 1
STERILE WATER TPN SOLN 1,000 ML EXTEMP	STERILE WATER TPN SOLN 1 000 ML EXTEMP	Pharmacy	67.0	13.9	0.207462687	sterile water total_parenteral_nutrition solution 1 000_ml extemp	Diluent / Flush / Irrigant	(0, 4]	Units > 1
STERNAL SAW BLADE	STERNAL SAW BLADE	Implant/Supply	1.0	133.0	133.0	sternal saw blade	Supply	(92, 287]	Units <= 1
STETHOSCOPE, ADLT DISP	STETHOSCOPE ADLT DISP	Implant/Supply	1.0	30.0	30.0	stethoscope adult disposable	Supply	(17, 41]	Units <= 1
STETHOSCOPE, ADLT DISP	STETHOSCOPE ADLT DISP	Pharmacy	1.0	30.0	30.0	stethoscope adult disposable	Supply	(17, 41]	Units <= 1
STETHOSCOPE DISPOSABLE	STETHOSCOPE DISPOSABLE	Implant/Supply	1.0	50.0	50.0	stethoscope disposable	Supply	(41, 61]	Units <= 1
STETHOSCOPE ESOPHAGEAL 18FR	STETHOSCOPE ESOPHAGEAL 18FR	Implant/Supply	1.0	12.0	12.0	stethoscope esophageal 18fr	Supply	(4, 17]	Units <= 1
STETHOSCOPE ESOPHAGEAL 18FR(	STETHOSCOPE ESOPHAGEAL 18FR 	Implant/Supply	1.0	33.0	33.0	stethoscope esophageal 18fr	Supply	(17, 41]	Units <= 1
STHANOL LOCK 70 % SOLN WCH00-0008-64	STHANOL LOCK 70 % SOLN WCH00 0008 64	Pharmacy	1.0	28.05	28.05	ethanol lock 70% solution wch00 0008 64	Pharmacy	(17, 41]	Units <= 1
HC STIM HRT PACING POST IV INF	STIM HRT PACING POST IV INF	Cardiology	1.0	4923.0	4923.0	stimulation heart pacing post intravenous_infusion	Cardiology	(2496, 9320]	Units <= 1
STMETHICONE-80MG U/D	STMETHICONE 80MG U/D	Pharmacy	1.0	3.85	3.85	simethicone 80_mg unit dose	Pharmacy	(0, 4]	Units <= 1
STOCK ANTIEMB KN LG REG LF	STOCK ANTIEMB KN LG REG LF	Implant/Supply	1.0	52.51	52.51	stocking anti_embolism knee large regular lf	Supply	(41, 61]	Units <= 1
STOCK ANTIEMB KN MD REG LF	STOCK ANTIEMB KN MD REG LF	Implant/Supply	1.0	23.0	23.0	stocking anti_embolism knee medium regular lf	Supply	(17, 41]	Units <= 1
STOCKINETTE IMPERV 12X48IN 89821 - CSC	STOCKINETTE IMPERV 12X48IN 89821 CSC	Implant/Supply	1.0	28.0	28.0	stockinette impervious 12x48 inches 89821 central_supply service	Supply	(17, 41]	Units <= 1
HB - STOOL CULTURE	STOOL CULTURE	Laboratory	1.0	126.0	126.0	stool culture	Laboratory	(92, 287]	Units <= 1
HC STOPCOCK 3 - WAY	STOPCOCK 3 WAY	Implant/Supply	1.0	16.0	16.0	stopcock 3_way	Supply	(4, 17]	Units <= 1
STOPCOCK 3WAY	STOPCOCK 3WAY	Implant/Supply	2.0	55.02	48.66	stopcock 3way	Supply	(41, 61]	Units > 1
STOPCOCK 4 WAY LARGE BORE OWEN	STOPCOCK 4 WAY LARGE BORE OWEN	Implant/Supply	1.0	14.0	14.0	stopcock 4 way large bore owen	Supply	(4, 17]	Units <= 1
STOPCOCK 4WAY SPINLOCK CA10	STOPCOCK 4WAY SPINLOCK CA10	Implant/Supply	1.0	4.0	4.0	stopcock 4way spinlock ca10	Supply	(0, 4]	Units <= 1
HB STOPCOCK IV 3W M LL ON/OFF HND	STOPCOCK IV 3W M LL ON/OFF HND	Implant/Supply	1.0	3.0	3.0	stopcock intravenous 3w m leur lock on/off handle	Supply	(0, 4]	Units <= 1
STOPCOCK,  IV 3WY MLL	STOPCOCK IV 3WY MLL	Implant/Supply	1.0	4.0	4.0	stopcock intravenous 3 way m leur lock	Supply	(0, 4]	Units <= 1
STOPCOCK, IV 3WY MLL	STOPCOCK IV 3WY MLL	Pharmacy	1.0	4.0	4.0	stopcock intravenous 3 way m leur lock	Supply	(0, 4]	Units <= 1
STRAP OR TABLE STRETCHER CA	STRAP OR TABLE STRETCHER CA	Implant/Supply	1.0	9.0	9.0	strap or table stretcher ca	Supply	(4, 17]	Units <= 1
HB STRIP SKN CLSR STRSTRP L3INXW1	STRIP SKN CLSR STRSTRP L3INXW1	Implant/Supply	1.0	3.0	3.0	strip skin closure steristrip length 3 inches by width 1	Supply	(0, 4]	Units <= 1
