ORIG_DESC	NORM_DESC	CHRG_CLS	FTR1	FTR2	FTR3	FTR4
THROMBIN HUM RECOM 20000U	thrombin human recomb 20000u	Laboratory	thrombin	recomb	human	20000u
THROMBIN KIT 20000U 20 000 UNIT TOPICAL	thrombin kit 20000u 20 000_units topical	Pharmacy	000_units	kit		
THROMBIN RECOM	thrombin recomb	Laboratory	thrombin	recomb		
THROMBIN TIME	thrombin time	Laboratory	thrombin	time		
THROMBIN TOPICAL 5000U	thrombin topical 5000u	Pharmacy	thrombin	5000u	topical	
THROMBIN-5000UNITS SPRAY KIT	thrombin 5000units spray kit	Supply	thrombin	spray	5000units	kit
THROMBIN5000UPW	thrombin5000upw	Blood Products	thrombin5000upw			
THROMBO	thrombo	Laboratory	thrombo			
THROMBOELASTIOGRAPHIC ACT COAG	thromboelastiographic activity coag	Laboratory	thromboelastiographic	coag	act	
THROMBOELASTIOGRAPHIC FIBRINOL	thromboelastiographic fibrinol	Laboratory	thromboelastiographic	fibrinol		
THROMBOPLAST	thromboplastin	Laboratory	thromboplastin			
THROMBOPLASTIN (PTT) PARTIAL	thromboplastin partial_prothrombaplastin_time partial	Laboratory	partial	partial_prothrombaplastin_time	thromboplastin	
THROMBOPLASTIN INHIBITION	thromboplastin inhibition	Laboratory	inhibition	thromboplastin		
THROMBOPLASTIN TIME PART PTT	thromboplastin time part partial_prothrombaplastin_time	Laboratory	part	ptt	thromboplastin	time
THROMBOPLASTIN TIME PARTIAL	thromboplastin time partial	OR / Anesthesia / Recovery Room	partial	thromboplastin	time	NULL
THROMBPLASTIN TIME PRTL	thromboplastin time prtl	OR / Anesthesia / Recovery Room	prtl	thromboplastin	time	
THROXINE FR	thyroxine free	OR / Anesthesia / Recovery Room	thyroxine	free		
THYF-TGHA	thyf tgha	Laboratory	thyf	tgha		
TIB / FIP 2 VW RT	tibial/fisp 2 view respiratory_therapy	Radiology	rt	fisp	tibial	view
TIBC	tibc	Laboratory	tibc			
TIBIA&FIBULA 2 VIEW LT RDG	tibia&fibula 2 view left rdg	Radiology	tibia&fibula	lt	rdg	view
TIGECYCLINE 1 MG INJ	tigecycline 1_mg injection	Pharmacy	1_mg	tigecycline	inj	
TILL-HLA HR CL I&II ABC DRB1	till hla hour chloride i&ii abac drb1	Laboratory	cl	hr		
TILL-HLA HR CLASS II EACH LOCUS	till hla hour class ii each locus	Laboratory	ii	class	hr	
TIME MAC ADD'L 1/2 HOUR	time monitored_anesthesia_care additional 1/2 hour	Nursing Services	additional	hour	time	
TIME OR CASE INTMJR 0-60MIN	time operation_room case intmjr 0 60min	OR / Anesthesia / Recovery Room	or	time		
TIME OR CASE INTMJR ADD 15MIN	time operation_room case intmjr additional 15_minutes	OR / Anesthesia / Recovery Room	additional	or	15min	time
TIME OR CASE MNR 0-60	time operation_room case mnr 0 60	OR / Anesthesia / Recovery Room	case	mnr	or	time
TIME OR CASE MNR ADD 15MIN	time operation_room case mnr additional 15_minutes	OR / Anesthesia / Recovery Room	additional	or	15min	time
TIMOLOL OPH SOL 0.5% 5ML	timolol oph solution 0.5% 5_ml	Pharmacy	sol	5_ml		
TIOTROPIUM 2.5 MCG/ACT AERS	tiotropium 2.5 mcg_gram_aerosol/activity aers	Pharmacy	activity			
TIP BILICHEK DISP.	tip bilichek dispensed_1_5%	Supply	dispensed_1_5%	bilichek	tip	
TIP ORAL SUCT	tip oral suction	Supply	oral	suct	tip	
TIP SPRAY FIBRIJETSA-3671-100	tip spray fibrijetsa 3671 100	Supply	spray	tip	fibrijetsa	
TIP SUCTION YANK ALLEG K82	tip suction yank alleg k82	Supply	suction	tip		
TIPS FORCEPS CODMAN 8135100S	tips forceps codman 8135100s	Supply	8135100s	tips	codman	forceps
TISSUE ADHESIVE	tissue adhesive	Supply	adhesive	tissue		
TISSUE HEMOGENIZATION CULTR	tissue hemogenization culture	Laboratory	hemogenization	tissue	culture	
TISSUE HO	tissue hospital	Laboratory	ho	tissue		
TISSUE PREP FOR QUAL DRUG ANALYSIS	tissue preparation for qualitative drug analysis	Laboratory	prep	tissue	analysis	drug
TISSUE PREPA	tissue prepare	Laboratory	tissue	prepare		
TISSUE PROC-COMPLICATED	tissue procedure complicated	Laboratory	tissue	complicated	procedure	
TITANIUM MATRIX MIDFACE ORBITAL MESH BENDING TEMPLATE	titanium matrix midface orbital mesh bending template	Supply	orbital	bending	matrix	midface
TITANIUM MATRIXMANDIBLE ANGLE RECONSTRUCTION PLATES 7X23 HOLES	titanium matrixmandible angle reconstruction plates 7x23 holes	Supply	angle	matrixmandible	holes	titanium
TITANIUMMATRIXNEURO SCREWS 4MM	titaniummatrixneuro screws 4mm	OR / Anesthesia / Recovery Room	titaniummatrixneuro	screws	4mm	
TIZANIDINE 4 MG TABLET	tizanidine 4_mg tablet	Pharmacy	tizanidine	tablet	4_mg	
TLSO - THOR LUMBO SAC ORTH	tlso thoracic lumbo sac orthopedics	Radiology	sac	orth	tlso	thoracic
TLSO 2 PCE MOLDED W/INTF	tlso 2 pce molded w intf	Supply	tlso	intf	molded	w
TOBRAMYCIN (PF) 300 MG/5 M	tobramycin partial_fill 300_mg/5 m	Pharmacy	partial_fill	tobramycin	300_mg/5	
TOBRAMYCIN 1.2GM VL/80MG; TOBRAMYCIN 1200 MG/30 ML VIAL	tobramycin 1.2_gm vial/80_mg tobramycin 1200_mg/30_ml vial	Pharmacy	vial			
TOBRAMYCIN 40 MG/ML SOLN 2 ML VIAL	tobramycin 40_mg/ml solution 2_ml vial	Pharmacy	vial	2_ml	soln	
TOBRAMYCIN 80 MG VIAL	tobramycin 80_mg vial	Pharmacy	vial	tobramycin	80_mg	
TOBRAMYCIN PER 300 MG	tobramycin per 300_mg	Pharmacy	tobramycin	300_mg	per	
TOBRAMYCIN RA	tobramycin ra	Pharmacy	tobramycin	ra		
TOBRAMYCIN RANDOM	tobramycin random	Laboratory	tobramycin	random		
TOBRAMYCIN RANDOM LVL	tobramycin random level	Laboratory	tobramycin	random	lvl	
TOLTERODINE-LA 4MG CAP	tolterodine la 4_mg capillary	Pharmacy	capillary	4_mg	tolterodine	la
TOLVAPTAN (SAMSCA) 30MG TABLET	tolvaptan samsca 30_mg tablet	Pharmacy	30_mg	samsca	tablet	tolvaptan
TOOMEY SYRING	toomey syringe	Supply	syring	toomey		
TOPEX (BENZOCAINE) 20% ANE	topex benzocaine 20% ane	Pharmacy	ane	benzocaine	20%	topex
TOPROL-XL 25MG ER	toprol xcel 25_mg emergency_room	Pharmacy	er	xcel	toprol	25_mg
TOTAL BLOOD GASES W / KIT	total blood gases w kit	Laboratory	total	blood	gases	kit
TOTAL IRON BINDING CAP	total iron binding capsule	Laboratory	capsule	total	binding	iron
TOTAL LUNG LAVAGE	total lung lavage	Supply	lavage	total	lung	
TOTAL PARENT	total parent	Laboratory	total	parent		
TOTAL PROTEIN CSE QN	total protein case quantitative	Laboratory	case	qn	protein	total
TOTAL PROTEIN URINE QN	total protein urine quantitative	Laboratory	qn	protein	total	urine
TOTAL VITAL CAPACITY	total vital capacity	Laboratory	total	capacity	vital	
TOUCH PREP INITIAL SITE	touch preparation initial site	Pharmacy	touch	prep	initial	site
TOURNIQUET CUFF 18IN X 4IN (REPROCESSED/STRL)	tourniquet cuff 18 inches x 4 inches reprocessed/sterile	Supply	sterile	cuff	inches	
TOURNIQUET HEMACLEAR MEDIUM YELLOW ST	tourniquet hemaclear medium yellow straight_040	Supply	medium			
TOWEL 18 X 26	towel 18 x 26	Supply	x	towel		
TOWEL 24X17IN COTTON RADIOPAQUE HIGH ABSORBENT WOVEN DELINT WHITE ALLEGIANCE DISPOSABLE SURGICAL STERILE LATEX FREE	towel 24x17 inches cotton radiopaque high absorbent woven delint white allegiance disposable surgical sterile latex free	Supply	inches	disposable	free	high
TOWEL BLU 6PK REGARD 236353 - CSC	towel blue 6 pack regard 236353 central_supply service	OR / Anesthesia / Recovery Room	blu	regard	towel	csc
TOWEL BLUE STERILE #28700 - 0	towel blue sterile 28700 0	Supply	blue	sterile	towel	
TOWEL BLUE STERILE #28700-0	towel blue sterile 28700 0	Supply	blue	sterile	towel	
TOWEL BLUE SURGICAL 27 X 12IN 4 PK	towel blue surgical 27 x 12 inches 4 pack	Supply	blue	surgical	inches	pk
TOWEL BLUE SURGICAL 27 X 12IN 4 PK	towel blue surgical 27 x 12 inches 4 pack	Supply	surgical	inches	pk	
TOWEL OR BLU STRL ORB044	towel operation_room blue sterile orb044	Supply	strl	or		
TOWEL STERILE	towel sterile	Supply	sterile	towel		
TOWEL. PACK CLOTH (40)	towel pack cloth 40	Supply	cloth	towel	pack	
TOXICOLOGY URINE SCREEN	toxicology urine screen	Laboratory	toxicology	screen	urine	
TOXOPLASMA GONDII DNA (PCR)	toxoplasma gondii deoxyribonucleic_acid pcr	Laboratory	gondii	pcr	dna	toxoplasma
TOXU SCR	toxu screen	Laboratory	toxu	screen		
TPA/CATH CLEARANCE	tpa/catheter clearance	Supply	catheter	clearance	tpa	
TPN 1000ML TPN	total_parenteral_nutrition 1000_ml total_parenteral_nutrition	Pharmacy	tpn	1000_ml		
TPN ADULT	total_parenteral_nutrition adult	OR / Anesthesia / Recovery Room	tpn	adult		
TPN ADULT 1L-BAG	total_parenteral_nutrition adult 1l bag	OR / Anesthesia / Recovery Room	total_parenteral_nutrition	bag	adult	1l
TPN ADULT INJECTION	total_parenteral_nutrition adult injection	OR / Anesthesia / Recovery Room	tpn	injection	adult	NULL
TPN NEONATE/INFANT (NSCU)	total_parenteral_nutrition neonatal /infant nscu	Supply	tpn	neonatal	infant	nscu
TPN PEDIATRIC	total_parenteral_nutrition pediatric	Pharmacy	tpn	pediatric		
TPN-AD CONTINUOUS HYPERALIMENTA	total_parenteral_nutrition additional continuous hyperalimentation	Pharmacy	total_parenteral_nutrition	hyperalimentation	continuous	additional
TPN-STARTER (NEONATAL)	total_parenteral_nutrition starter neonatal	Pharmacy	total_parenteral_nutrition	neonatal	starter	
TRACE ELEMENTS (PEDS) CR-CU-MN-SE-ZN INJ 52 ML VIAL	trace elements pediatrics chest_radiograft cu midnight set zinc injection 52_ml vial	Supply	vial	inj	set	zinc
TRACH CARE	tracheostomy care	Respiratory Therapy	trach	care		
TRACH CLEANING TRAY	tracheostomy cleaning tray	Supply	trach	tray	cleaning	
TRACH CUFFED 10.0 10DCT	tracheostomy cuffed 10 10dct	Supply	trach	cuffed	10dct	
TRACH SUC SYS 10FR	tracheostomy suction system 10fr	Supply	trach	suc	10fr	system
TRACH TAKEDOWN OR DOWNSIZE	tracheostomy takedown operation_room downsize	Supply	trach	downsize	takedown	or
TRACH TUBE	tracheostomy tube	Supply	trach	tube		
TRACH TUBE CHNG PRIOR FIS	tracheostomy tube change prior fis	Supply	trach	tube	chng	
TRACH TUBE LOW/PRESS 6DCT	tracheostomy tube lower/pressure 6dct	Supply	trach	pressure	tube	lower
TRACH TUBE LOW/PRESS 8DCT	tracheostomy tube lower/pressure 8dct	Supply	trach	pressure	tube	lower
TRACH TUBE/PASSY MUIR	tracheostomy tube/passy muir	Supply	trach	tube	muir	passy
TRACHEOSTOMY TUBE CHANGE	tracheostomy tube change	Supply	tracheostomy	tube	change	
TRACHTAPE ENDOTRACH WELCON	trachtape endotracheal welcon	Supply	welcon	endotracheal	trachtape	
TRACY CARE BY	tracy care by	Room and Board	tracy	care		
TRAMADOL 25 MG TAB	tramadol 25_mg tablet	OR / Anesthesia / Recovery Room	tab	tramadol	25_mg	
TRAMADOL 50 MG ORAL TAB	tramadol 50_mg oral tablet	Pharmacy	50_mg	oral	tab	tramadol
TRAMADOL 50 MG TABS	tramadol 50_mg tablets	OR / Anesthesia / Recovery Room	50_mg	tabs	tramadol	
TRAMADOL 50MG TAB	tramadol 50_mg tablet	OR / Anesthesia / Recovery Room	50_mg	tab	tramadol	
TRAMADOL TAB 50MG	tramadol tablet 50_mg	Pharmacy	50_mg	tab	tramadol	
TRAMADOL TAB/50MG/TAB	tramadol tablet/50_mg/tablet	Pharmacy	tablet/50_mg/tablet	tramadol		
TRANEXAMIC ACI	tranexamic acid	Laboratory	tranexamic	acid		
TRANEXAMIC ACID 1 000MG/10ML	tranexamic acid 1 000_mg/10_ml	Pharmacy	tranexamic	acid	000_mg/10_ml	
TRANEXAMIC ACID 100 MG/ML	tranexamic acid 100_mg/ml	Pharmacy	tranexamic	100_mg/ml	acid	
TRANEXAMIC ACID 100 MG/ML SOLN	tranexamic acid 100_mg/ml solution	Pharmacy	tranexamic	100_mg/ml	acid	soln
TRANEXAMIC ACID 100 MG/ML SOLN 10	tranexamic acid 100_mg/ml solution 10	Pharmacy	tranexamic	100_mg/ml	acid	soln
TRANEXAMIC ACID 1000 MG/10ML SOLN 10 ML VIAL	tranexamic acid 1000_mg/10_ml solution 10_ml vial	Pharmacy	vial	acid	10_ml	soln
TRANEXAMIC ACID INJ 1000M	tranexamic acid injection dbdsmsdfvsbjlsdkg	Pharmacy	tranexamic	dbdsmsdfvsbjlsdkg	inj	acid
TRANS BLOOD PRODUCTS 60-239MIN	transdermal blood products 60 239min	Supply	products	transdermal	blood	239min
TRANS BLOOD/BLOOD COMP	transdermal blood/blood component	Laboratory	comp	transdermal	blood	
TRANSCRAN DOPPLER COMP US	transcranial doppler component ultrasound	Radiology	us	doppler	comp	transcranial
TRANSCUTANEOUS CO2 MONITOR/DAY	transcutaneous carbon_dioxide monitor/day	Monitoring	CO2	transcutaneous	monitor	day
TRANSDERM NITRO 5 PATCH	transdermal nitroglycerine 5 patch	Pharmacy	nitro	transdermal	patch	
TRANSDUCER KIT SINGLE CUSTOM	transducer kit single custom	Supply	single	custom	transducer	kit
TRANSDUCER NEONATAL/PEDIATRIC	transducer neonatal/pediatric	Supply	neonatal	transducer	pediatric	
TRANSDUCER OXISNSR DISP SUPPLY	transducer oxisnsr disposable supply	Supply	oxisnsr	disp	transducer	supply
TRANSDUCER PRESR DISPLAY DLP	transducer presr display dlp	Supply	presr	dlp	transducer	display
TRANSDUCER SAFE SET	transducer safe set	Supply	safe	set	transducer	
TRANSDUCER TRIFUCATED	transducer trifucated	Supply	transducer	trifucated		
TRANSFER BAG SUPPLY	transfer bag supply	Supply	transfer	supply	bag	
TRANSFER CODE	transfer code	Laboratory	transfer	code		
TRANSFERRIN	transferrin	Laboratory	transferrin			
TRANSFSN BLOOD COMPONENT 3-	transfusion blood component 3	Nursing Services	transfusion	component	blood	
TRANSFUS	transfusion	Nursing Services	transfusion			
TRANSFUS BLOO	transfusion blood	Nursing Services	transfusion	bloo		
TRANSFUSE BLOOD PRODUCTS	transfuse blood products	Laboratory	products	transfuse	blood	
TRANSFUSION BLD PROD/DAY	transfusion blood prod/day	Nursing Services	transfusion	prod	bld	day
TRANSFUSION BLD/COMP	transfusion blood/component	Nursing Services	transfusion	component	blood	
TRANSFUSION BLOOD	transfusion blood	Nursing Services	transfusion	blood		
TRANSFUSION BLOOD OR BLOOD COMPONE	transfusion blood or blood components	Nursing Services	transfusion	blood	or	
TRANSFUSION BLOOD OR C	transfusion blood operating_room c	Nursing Services	transfusion	c	blood	or
TRANSFUSION LEUKO-RED RBC-LPC	transfusion leukocyte red red_blood_cell lpc	Blood Products	transfusion	leukocyte	red	red_blood_cell
TRANSFUSION REACTION R	transfusion reaction r	Laboratory	transfusion	r	reaction	
TRANSFUSION REACTION R	transfusion reaction r	Monitoring	transfusion	r	reaction	
TRANSFUSN BLOOD COMPONENT<3	transfusion blood component less_than 3	Nursing Services	transfusion	less_than	component	blood
TRAP MUCOUS SPECIMEN	trap mucous specimen	Implant	mucous	specimen	trap	
TRAP MUCOUS SPECIMEN	trap mucous specimen	Supply	mucous	specimen	trap	
TRAUMA ACT 1 WO CRIT CARE-LVL 1 CE	trauma activity 1 without critical care level 1 ce	Plan Benefit	level	without	crit	care
TRAUMA ACTIVATION	trauma activation	Laboratory	activation	trauma		
TRAY 16F FOLE	tray 16 fole	Supply	fole	tray		
TRAY BASIC BIOPSY	tray basic biopsy	Supply	biopsy	tray	basic	
TRAY BIOPSY	tray biopsy	Supply	biopsy	tray		
TRAY BIOPSY CUSTOM	tray biopsy custom	Supply	biopsy	tray	custom	
TRAY BIOPSY DISP	tray biopsy disposable	OR / Anesthesia / Recovery Room	biopsy	tray	disp	NULL
TRAY BONE MARROW 11G	tray bone marrow 11_gm	Supply	11_gm	marrow	tray	bone
TRAY CATH 2 TEM SNSR 1	tray catheter 2 temp sensor 1	Supply	snsr	cath	tray	temp
TRAY CATH FOL URMTR 16	tray catheter foley urmtr 16	Supply	foley	urmtr	cath	tray
TRAY CATH FOLEY 16 KENDALL6153	tray catheter foley 16 kendall6153	Supply	foley	cath	tray	kendall6153
TRAY CATH LBRSL 8FR 35	tray catheter lbrsl 8fr 35	Supply	lbrsl	cath	8fr	tray
TRAY CATH PICC INST NE	tray catheter peripherally_inserted_central_catheter inst ne	Supply	cath	tray	picc	
TRAY CATH U-METER W-TEMP L	tray catheter up meter with temperature liter	Supply	cath	liter	tray	meter
TRAY CATH URET PLAS LTX 15FR	tray catheter ureth plastic latex_free_16_french 15fr	Supply	cath	tray	plastic	
TRAY CATH URETH 14 FR	tray catheter urethral 14 free	Supply	cath	tray	free	ureth
TRAY CATH URETHRAL (DISP)	tray catheter urethral dispensed_1_5%	Supply	cath	tray	dispensed_1_5%	urethral
TRAY CENTRAL DRESSING	tray central dressing	Supply	central	tray	dressing	
TRAY CENTRAL DRESSING W/HAN	tray central dressing w han	Supply	central	tray	dressing	
TRAY CENTRAL LINE SUPPLY	tray central line supply	Supply	central	line	tray	supply
TRAY CHEST TU 8FR	tray chest tube 8fr	Supply	chest	8fr	tray	tube
TRAY CHEST TUBE INSERTION	tray chest tube insertion	Supply	chest	tray	tube	insertion
TRAY COUDE ADV BARDEX IC 16FR	tray coude advanced bardex icar 16fr	Monitoring	tray			
TRAY CSP V	tray csp view	Supply	tray	csp	v	
MICR-SMEAR ACID FAST STAIN	micro smear acid fast stain	Laboratory	micro	stain	acid	fast
MICR-SMEAR GRAM STAIN	micro smear gram stain	Laboratory	micro	stain	gram	smear
MICRO DEF AER ID CHRG	miscroscopic def aero id charge	Supply	micro	chrg	id	
MICRO GRID DISP YELLOW	miscroscopic grid disposable yellow	Supply	disp	micro	grid	yellow
MICRO NEB SETUP	miscroscopic nebulizer setup	Supply	setup	micro	neb	
MICRO NEB SUBSEQUENT	miscroscopic nebulizer subsequent	Supply	subsequent	micro	neb	
MICROALBUMIN	microalbumin	Laboratory	microalbumin			
MICROALBUMIN (MALB MALBCR	microalbumin malb malbcr	OR / Anesthesia / Recovery Room	malb	microalbumin	malbcr	
MICROALBUMIN URINE	microalbumin urine	Laboratory	urine	microalbumin		
MICROBE SUSCEPTIBLE ENZYME	microbe susceptible enzyme	Laboratory	microbe	susceptible	enzyme	
MICROBE SUSCEPTIBLE MIC 1	microbe susceptible microclave 1	Laboratory	microbe	susceptible	mic	
MICROBIAL IDENTIFICATI	microbial identification	Laboratory	identification	microbial		
MICROFIBRILLAR COLL HEMOSTA 53276-1010-2	microfibrillar collection hemostatic 53276 1010 2	Laboratory	hemostatic	microfibrillar	coll	
MICROINTRODUCER 4F STD MINISTICKMAX NITINOL TUNGSTEN	microintroducer 4 standard ministickmax nitinol tungsten	Supply	std			
MICROPUNCTURE IS 4F 21G 10CM	micropuncture is 4 21_gm 10cm	Supply	21_gm	10cm	micropuncture	
MICROPUNCTURE SET	micropuncture set	Supply	set	micropuncture		
MIDAS BUR - ACORN - M-3 (9AC60) MFG#9AC60	midas bur acorn m 3 9ac60 mfg 9ac60	Supply	bur	mfg	9ac60	acorn
MIDAS BUR - TRANSNASAL 4.5MM RND CRS DMD (TN45RCD) MFG#TN45RCD	midas bur transnasal 4.5mm rnd crs dmd tn45rcd mfg tn45rcd	Supply	transnasal	4.5mm	tn45rcd	crs
MIDAZ VL 1MG	midaz vial 1_mg	Pharmacy	vial	1_mg	midaz	
MIDAZOL HCL 1MG INJ	midazolam hydrochloride 1_mg injection	OR / Anesthesia / Recovery Room	1_mg	injection	midazolam	hcl
MIDAZOL HCL 1MG-1MG/ML 5 ML IN	midazolam hcl 1_mg 1_mg/ml 5_ml inhibition	Pharmacy	1_mg	midazolam	hcl	5_ml
MIDAZOLA PF	midazolam partial_fill	Supply	pf	midazolam		
MIDAZOLAM (PF) 2 MG/2 ML (	midazolam partial_fill 2_mg/2_ml	Pharmacy	partial_fill	midazolam	2_mg/2_ml	
MIDAZOLAM (VERSED) 100MG/NS 100ML	midazolam versed 100_mg/normal_saline 100_ml	Pharmacy	100_ml	100_mg/normal_saline	midazolam	versed
MIDAZOLAM (VERSED) INJECTION 5 MG	midazolam versed injection 5_mg	Pharmacy	injection	5_mg	midazolam	versed
MIDAZOLAM 1 MG INJ	midazolam 1_mg injection	OR / Anesthesia / Recovery Room	1_mg	inj	midazolam	
MIDAZOLAM 1 MG/ML 1 MG/ML SOLN	midazolam 1_mg/ml 1_mg/ml solution	Pharmacy	soln	midazolam	1_mg/ml	
MIDAZOLAM 1 MG/ML PF INJ	midazolam 1_mg/ml partial_fill injection	Pharmacy	pf	inj	midazolam	1_mg/ml
MIDAZOLAM 100 MG/100 ML NS PRE	midazolam 100_mg/100_ml normal_saline pre	Pharmacy	pre	100_mg/100_ml	midazolam	ns
MIDAZOLAM 100MG IN DXT	midazolam 100_mg inhibition dxt	Pharmacy	100_mg	inhibition	dxt	midazolam
MIDAZOLAM 10MG/2ML	midazolam 10_mg/2_ml	Pharmacy	midazolam	10_mg/2_ml		
MIDAZOLAM 10MG/2ML SYR	midazolam 10_mg/2_ml syringe	Pharmacy	syr	midazolam	10_mg/2_ml	
MIDAZOLAM 1MG	midazolam 1_mg	Pharmacy	1_mg	midazolam		
MIDAZOLAM 1MG I FOR 2MG	midazolam 1_mg i for 2_mg	Pharmacy	1_mg	2_mg	midazolam	
MIDAZOLAM 1MG I FOR 5MG 1	midazolam 1_mg i for 5_mg 1	Pharmacy	1_mg	5_mg	midazolam	
MIDAZOLAM 1MG INJ	midazolam 1_mg injection	Pharmacy	1_mg	inj	midazolam	
MIDAZOLAM 1MG-MG/ML 2ML VL	midazolam 1_mg mg/ml 2_ml vial	OR / Anesthesia / Recovery Room	1_mg	ml	2_ml	vial
MIDAZOLAM 1MG/100MG INJ	midazolam 1_mg/100_mg injection	Pharmacy	inj	1_mg/100_mg	midazolam	
MIDAZOLAM 1MG/ML 2ML	midazolam 1_mg/ml 2_ml	Pharmacy	2_ml	midazolam	1_mg/ml	
MIDAZOLAM 1MG/ML 2ML; MIDAZOLAM HCL 1 MG/ML 2 ML VIAL	midazolam 1_mg/ml 2_ml midazolam hcl 1_mg/ml 2_ml vial	Pharmacy	vial	2_ml	midazolam	hcl
MIDAZOLAM 1MG/ML 5 ML VIAL	midazolam 1_mg/ml 5_ml vial	Pharmacy	vial	5_ml	midazolam	1_mg/ml
MIDAZOLAM 1MG/ML INJ	midazolam 1_mg/ml injection	OR / Anesthesia / Recovery Room	inj	midazolam	1_mg/ml	
MIDAZOLAM 1MG/ML NASAL	midazolam 1_mg/ml nasal	Pharmacy	nasal	midazolam	1_mg/ml	
MIDAZOLAM 2 MG/2ML SOLN	midazolam 2_mg/2_ml solution	OR / Anesthesia / Recovery Room	soln	midazolam	2_mg/2_ml	NULL
MIDAZOLAM 2 MG/2ML SOLN 0641-6057-25	midazolam 2_mg/2_ml solution 641 6057 25	Pharmacy	soln	midazolam	2_mg/2_ml	
MIDAZOLAM 2 MG/2ML SOLUT	midazolam 2_mg/2_ml solution	OR / Anesthesia / Recovery Room	solution	midazolam	2_mg/2_ml	
MIDAZOLAM 2 MG/ML SYRUP	midazolam 2_mg/ml syrup	Pharmacy	syrup	2_mg/ml	midazolam	
MIDAZOLAM 2MG/2ML INJ	midazolam 2_mg/2_ml injection	OR / Anesthesia / Recovery Room	inj	midazolam	2_mg/2_ml	
MIDAZOLAM 2MG/2ML INJECTABLE VIAL	midazolam 2_mg/2_ml injectable vial	Pharmacy	vial	injectable	midazolam	2_mg/2_ml
MIDAZOLAM 2MG=2ML INJ	midazolam 2_mg 2_ml injection	OR / Anesthesia / Recovery Room	2_mg	2_ml	inj	midazolam
MIDAZOLAM 5 MG INJ	midazolam 5_mg injection	OR / Anesthesia / Recovery Room	inj	5_mg	midazolam	
MIDAZOLAM 5 MG/ML INJECTION SOLUTION	midazolam 5_mg/ml injection solution	OR / Anesthesia / Recovery Room	injection	5_mg/ml	midazolam	solution
MIDAZOLAM 5 MG/ML SOLN	midazolam 5_mg/ml solution	OR / Anesthesia / Recovery Room	5_mg/ml	midazolam	soln	NULL
MIDAZOLAM 50 MG/10ML SOLN 1 0641-6060-10	midazolam 50_mg/10_ml solution 1 641 6060 10	Pharmacy	soln	midazolam	50_mg/10_ml	
MIDAZOLAM 5MG/ML 1ML INJ	midazolam 5_mg/ml 1_ml injection	Pharmacy	inj	5_mg/ml	midazolam	1_ml
MIDAZOLAM HCL 1MG/ML 2	midazolam hcl 1_mg/ml 2	Pharmacy	midazolam	hcl	1_mg/ml	
MIDAZOLAM HCL 50 MG/10ML	midazolam hcl 50_mg/10_ml	Pharmacy	midazolam	hcl	50_mg/10_ml	
MIDAZOLAM HCL PER 1 MG	midazolam hcl per 1_mg	Pharmacy	1_mg	midazolam	hcl	per
MIDAZOLAM INFUSION 1 MG/ML IN NS	midazolam infusion 1_mg/ml in normal_saline	Pharmacy	ns	1_mg/ml	midazolam	infusion
MIDAZOLAM INJ	midazolam injection	Pharmacy	inj	midazolam		
MIDAZOLAM INJ (50MG/10) 1MG T	midazolam injection 50_mg/10 1_mg tab	Pharmacy	1_mg	inj	midazolam	tab
MIDAZOLAM INJ 2MG	midazolam injection 2_mg	Pharmacy	2_mg	inj	midazolam	
MIDAZOLAM INJ 2MG/2ML VIAL	midazolam injection 2_mg/2_ml vial	Pharmacy	vial	inj	midazolam	2_mg/2_ml
MIDAZOLAM NSL KIT	midazolam nsl kit	Pharmacy	nsl	midazolam	kit	
MIDAZOLAM VL 1MG/ML 2ML	midazolam vial 1_mg/ml 2_ml	Pharmacy	vial	2_ml	midazolam	1_mg/ml
MIDAZOLAM VL 1MG/ML 2ML 1 MG/ML SOLN	midazolam vial 1_mg/ml 2_ml 1_mg/ml solution	Pharmacy	vial	2_ml	midazolam	soln
MIDAZOLAM VL 1MG/ML 5ML; MIDAZOLAM 5 MG/5 ML (PRESERVATIVE F	midazolam vial 1_mg/ml 5_ml midazolam 5_mg/5_ml preservative male_female	Pharmacy	vial	midazolam	5_ml	
MIDAZOLAM/NS 100MG/250ML IVPB	midazolam/normal_saline 100_mg/250_ml intravenous_piggyback	Pharmacy	ivpb	100_mg/250_ml	midazolam	normal_saline
MIDLINE CATH PLACEMENT	midline catheter placement	Supply	cath	placement	midline	
MIDODRINE 10 MG TABS	midodrine 10_mg tablets	Pharmacy	tabs	midodrine	10_mg	
MIDODRINE 5 MG TAB	midodrine 5_mg tablet	OR / Anesthesia / Recovery Room	5_mg	tablet	midodrine	
MIDODRINE HCL 5MG TAB	midodrine hcl 5_mg tablet	OR / Anesthesia / Recovery Room	tab	5_mg	hcl	midodrine
MIDODRINE TAB	midodrine tablet	Pharmacy	tab	midodrine		
MIDZAOLAM 1MG I FOR 50MG	midzaolam 1_mg i for 50_mg	Pharmacy	1_mg	50_mg	midzaolam	
MILK OF MAG 30ML SUSP	milk of magnesium 30_ml suspension	Pharmacy	susp	30_ml	milk	magnesium
MILK OF MAGNESIA 30 ML	milk of magnesia 30_ml	Pharmacy	30_ml	milk	magnesia	
MILL DISPOSABLE MEDIUM	mill disposable medium	Supply	mill	medium	disposable	
