descrip,# of descs,# of rev code grps,# of charge classes,Unique charge classes,Unique rev codes grps
VENIPUNCT *,1,1,1,Nursing Services,Laboratory
ADULT FOAM ELECTRODES (PACK),1,1,1,Supply,Implant/Supply
PROTIME SUB PL FRAC EA,1,1,1,Laboratory,Laboratory
KIT VAP GUARD ORAL CARE,1,1,1,Supply,Implant/Supply
STOPCOCK 3WAY,1,1,1,Supply,Implant/Supply
*IRON BINDING CAPACITY,1,1,1,Laboratory,Laboratory
HB DNA FISH PROBE,1,1,1,Laboratory,Laboratory
HB DEXTROSE 10 % IV BOLUS INFUSION,1,1,1,Pharmacy,Pharmacy
HB FELBAMATE 600MG TABLET,1,1,1,Pharmacy,Pharmacy
CELL CNT BODY FLU,1,1,1,Laboratory,Laboratory
HB METOPROLOL XL 25MG TABLET,1,1,1,Pharmacy,Pharmacy
HC VENT MGMT INPT/OBS INIT DAY,1,1,1,Respiratory Therapy,Respiratory Services
HB AUTOMATED MIC,1,1,1,Laboratory,Laboratory
B COMPLEX-VITAMIN  C-FOLI,1,1,1,Pharmacy,Drugs Requiring Specific Identification
CALCIUM BLOOD,1,1,1,Laboratory,Laboratory
H CYTP CONCENTRATION SMEAR,1,1,1,Laboratory,Laboratory
HB OXIMETRY SPOT CHECK. MULTIPLE,1,1,1,Monitoring,Pulmonary Function
HC PACU CLASS 2 NPR 2:1,1,1,1,OR / Anesthesia / Recovery Room,Cast/Recovery/Labor Room
HC GUIDEWIRE PTCA,1,1,1,Supply,Implant/Supply
TRAY 5 MBT TIB POR KEE,1,1,1,Supply,Implant/Supply
58867000 - MASK CPAP CONTINUOUS*,1,1,1,Respiratory Therapy,Respiratory Services
HB PK CIRCULATORY SUPPORT 1/4 IN,1,1,1,Supply,Implant/Supply
GLUCOSE; QUAN BLOOD,1,1,1,Laboratory,Laboratory
HB ATROPINE ABBOJECT 1MG/10ML,1,1,1,Pharmacy,Pharmacy
BLNKT LWR BDY WARM,1,1,1,Supply,Implant/Supply
HEPARIN ASSAY RR0009,1,1,1,Laboratory,Laboratory
11482222 - BUMETANIDE 0.25MG/ML 10ML,1,1,1,Pharmacy,Pharmacy
PLATELET PHER LEUKOREDUCED,1,1,1,Blood Products,Blood
KETAMINE 10 MG/ML SOLN 20 ML VIAL,1,1,1,Pharmacy,Pharmacy
HB KIT ARTIFICAL HEART,1,1,1,Supply,Implant/Supply
ABD COPM+DECU/ER,1,1,1,Radiology,Radiology
HB CATHETER SUCTION GLOVE KIT 5/6,1,1,1,Supply,Implant/Supply
HB URINALYSIS W/ MICROSCOPIC,1,1,1,Laboratory,Laboratory
LOW PRESSURE TUBING,1,1,1,Supply,Implant/Supply
HB FUNGUS CULTURE,1,1,1,Laboratory,Laboratory
HB CANN VEN MALLE SNGL STAGE 36FR,1,1,1,Supply,Implant/Supply
HB INTRODUCER SHTH 5FR 15CM 45CM,1,1,1,Supply,Implant/Supply
HB NEEDLE BUTTERFLY 2 3G,1,1,1,Supply,Implant/Supply
HB ANES MATERIALS ADDL 15 MIN,1,1,1,OR / Anesthesia / Recovery Room,Anesthesia
BAG PRSS INFUS W/HK 500ML 4005,1,1,1,Supply,Implant/Supply
HB STAPLER SKN MF PREM ROT HD 35,1,1,1,Supply,Implant/Supply
PF-CNSLT SURGERY W/ FRZN SECT,1,1,1,Professional Fee,Laboratory
HB TUBE TRACH 3.5 ID X 40MM L PED,1,1,1,Supply,Implant/Supply
OXYGEN SUBSEQUENT,1,1,1,Respiratory Therapy,Implant/Supply
HB RH C29,1,1,1,Laboratory,Laboratory
GLUCOSE RANDOM,1,1,1,Laboratory,Laboratory
HC VENIPUNCTURE-CAPILLARY,1,1,1,Nursing Services,Laboratory
QUETIATINE FUMARANE 200MG TAB; QUETIAPINE FUMARATE 200 MG TAB,1,1,1,Pharmacy,Drugs Requiring Specific Identification
LABETALOL 5 MG/ML INJ 4 ML,1,1,1,Pharmacy,Pharmacy
RED BLOOD CELLS LEUKO RED,1,1,1,Blood Products,Blood
89155000 - MODIFIED BARIUM SWALLOW,1,1,1,Radiology,PT/OT/Speech
HB MIRALAX POWDER,1,1,1,Pharmacy,Pharmacy
46110000 - RB 5 SOUTH ROUTINE,1,1,1,Room and Board,Room & Board
HB OXYCODONE 5MG TAB,1,1,1,Pharmacy,Pharmacy
BLD SAW SAG/OSC 70X25X1MM BR2108-100,1,1,1,Supply,Implant/Supply
HB CLONIDINE 100MCG/ML INJ,1,1,1,Pharmacy,Pharmacy
HB ADHESIVE SKN CLSR DRMBND ADVANCED . 7ML,1,1,1,Supply,Implant/Supply
64202001 - COLORECTAL CANCER SCREEN;FECAL,1,1,1,Laboratory,Laboratory
HB PACK THRPTC INST HOT,1,1,1,Supply,Implant/Supply
HB ENTERAL FEEDING PUMP,1,1,1,Capital Equipment,Implant/Supply
PROZAC 20MG CAP; FLUOXETINE 20 MG CAP,1,1,1,Pharmacy,Drugs Requiring Specific Identification
FAT EMULSION 20% EMUL 250 ML BAG ,1,1,1,Pharmacy,Pharmacy
DIPHTHERIA-TETANUS TOXOID-,1,1,1,Pharmacy,Pharmacy
HB DEXTROSE 25% IV SOLN,1,1,1,Pharmacy,Pharmacy
HB CATH PLCC SGL VASC 1.9FR 40CM,1,1,1,Supply,Implant/Supply
LIDOCAINE (PF) 100 MG/5 ML (2 %)SYRG,1,1,1,Pharmacy,Drugs Requiring Specific Identification
INDIRECT COOMBS (AB SCREEN) /BB,1,1,1,Laboratory,Laboratory
HC LIPID PANEL,1,1,1,Laboratory,Laboratory
PT (PRO TIME),1,1,1,Laboratory,Laboratory
ACETAMINOPHEN 320 MG/ML SO,1,1,1,Pharmacy,Pharmacy
HB CANNULA ARTERIAL 12 FR VENTED,1,1,1,Supply,Implant/Supply
ISOPROTERENOL IN NS (DUH EP LAB) 0.4 MG/100 ML SOLN,1,1,1,Pharmacy,Pharmacy
HB FULMOZYME INHALATION 1MG/ML,1,1,1,Plan Benefit,Pharmacy
6.5MM X 40 MAS SCREW,1,1,1,Implant,Implant/Supply
KEPPRA 250MG,1,1,1,Pharmacy,Drugs Requiring Specific Identification
COLLAGENASE OINT,1,1,1,Pharmacy,Pharmacy
HB ESTRADIOL SERUM,1,1,1,Laboratory,Laboratory
HB SET FEEDING FARRELL GASTRIC PR,1,1,1,Supply,Implant/Supply
GRAFT BONE 26MM 18MM INFUS,1,1,1,Implant,Implant/Supply
STERILE WATER FOR IRRIG 250ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
BLOOD GASES W O2 SATURATION,1,1,1,Laboratory,Laboratory
ROCURONIUM 10MG/ML SOLN 5 ML VIAL,1,1,1,Pharmacy,Pharmacy
30559000 - AWAY FROM LAB,1,1,1,Laboratory,Implant/Supply
HB EEG-NONINTRACRANIAL,1,1,1,Procedure,EKG/ECG/EEG
SET SCREWS,1,1,1,Implant,Implant/Supply
Crossmatch Electronic,1,1,1,Laboratory,Laboratory
IGG3 GAMMAGLOBULIN IMMUNOGLOBULI,1,1,1,Laboratory,Laboratory
NIFEDIPINE 10 MG CAPS,1,1,1,Pharmacy,Pharmacy
77020667 - GUIDEWIRE GLIDE SV 018/180ANG,1,1,1,Supply,Implant/Supply
ASPIRIN LOW DOSE 81 MG CHEW,1,1,1,Pharmacy,Pharmacy
SOD CHLORIDE 0.9% INJ 10; NACL 0.9% PF 10 ML VIAL (HOS,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB RANITIDINE/ZANTAC 15MG/ML SYR,1,1,1,Pharmacy,Pharmacy
US ECHOENCEPHGRM PEDI,1,1,1,Radiology,Other Imaging Services
HB SUPERVISED COUGH & SUCTION,1,1,1,Respiratory Therapy,Respiratory Services
INJECTION IV. SINGLE/INITIAL,1,1,1,Nursing Services,IV Therapy
SET IVEX-2 HP FILTERSET,1,1,1,Supply,Implant/Supply
89318002 - SWALLOW GOAL 1-20%,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
SCREW SLF DRILLING 4MM,1,1,1,Implant,Implant/Supply
DORNASE PULMOZYME 2.5 MG I,1,1,1,Plan Benefit,Pharmacy
ACID FAST STAIN FOR BACTERIA,1,1,1,Laboratory,Laboratory
SODIUM CHLORIDE 0.9% 250ML BAG,1,1,1,Diluent / Flush / Irrigant,Pharmacy
PT EVAL INTERMEDIATE,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
ANES GEN ADDL 1/4 HR GEN,1,1,1,OR / Anesthesia / Recovery Room,Anesthesia
HB APPLIER SCALP CLIP DISP,1,1,1,Supply,Implant/Supply
CHEST AP AND LATERAL VIEWS,1,1,1,Radiology,Radiology
HB GLOVES SURG BGEL 7 PF BEAD CUF,1,1,1,Supply,Implant/Supply
HB TRIGLYCERIDES,1,1,1,Laboratory,Laboratory
HB COMPREHENSIVE EMERGENCY ROOM VISIT,1,1,1,Other,Emergency Room
ABCESS DRAINAGE SYSTEM,1,1,1,Supply,Implant/Supply
SODIUM CHLORIDE 0.9 % INTRAVENOUS SOLUTION,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB US GUIDE VASC ACCESS,1,1,1,Radiology,Other Imaging Services
HC GLUCOSE BLD QUANT ,1,1,1,Laboratory,Laboratory
HB CANN RA 14FR VENOUS,1,1,1,Supply,Implant/Supply
TETRACAINE 0.5 % SOLN 15 ML BOTTLE,1,1,1,Pharmacy,Pharmacy
10543000 - SOD CHLORIDE 0.9%/250ML 50ML,1,1,1,Diluent / flush / Irrigant,Pharmacy
VANCOMYCIN HCL. 500 MG-INJ,1,1,1,Pharmacy,Drugs Requiring Specific Identification
PARTIAL THROMBOPLASTIN TI,1,1,1,Laboratory,Laboratory
CHEST PHYSIO SUBSEQ 0-10 M,1,1,1,Respiratory Therapy,Respiratory Services
HB MASK XSM SGL LEAK ELBW YEL CP,1,1,1,Supply,Implant/Supply
WARMER/DAILY CHG,1,1,1,Supply,Respiratory Services
HB T3 RIA/1,1,1,1,Laboratory,Laboratory
HB NORMAL SALINE IRRIG 500ML BOTT,1,1,1,Diluent / Flush / Irrigant,Pharmacy
VENT ADULT MGMT INITIAL 0-,1,1,1,Respiratory Therapy,Respiratory Services
HB METOCLOPRAMIDE 5MG/ML VIAL,1,1,1,Pharmacy,Pharmacy
PHYTONADIONE 2 MG/ML SYRG 0.5 ML SYRINGE,1,1,1,Pharmacy,Pharmacy
CLOTHS BATHING CHG 2%,1,1,1,Supply,Implant/Supply
HB ADAPTER CATH PLAS UROL FOLY ST,1,1,1,Supply,Implant/Supply
FLTR REDUC MICAGG 40MIC 199134,1,1,1,Supply,Implant/Supply
HB CATHETER BALLOON MONORAIL 6MM,1,1,1,Supply,Implant/Supply
SKIN BARRIER W/FLOATING FLANGE,1,1,1,Supply,Implant/Supply
ACID FAST STAIN,1,1,1,Laboratory,Laboratory
TBO-FILGRASTIM 480 MCG/0.8,1,1,1,Pharmacy,Pharmacy
LACTIC ACID ASSAY,1,1,1,Laboratory,Laboratory
HB CATHETER EMB FGRTY L60CM OD2FR,1,1,1,Supply,Implant/Supply
HB SPECIAL STAINS GRP II,1,1,1,Laboratory,Laboratory
REAGENT STRIP,1,1,1,Supply,Implant/Supply
ROOM E335 K,1,1,1,Room and Board,Room & Board
FUROSEMIDE/LASIX 20MG TAB UD,1,1,1,Pharmacy,Pharmacy
MULTIVITAMIN-IRON DROP,1,1,1,Pharmacy,Pharmacy
LAB GLYC HGB,1,1,1,Laboratory,Laboratory
COVER EQUIP OR SOL WRMR DRP,1,1,1,Supply,Implant/Supply
HB - HIGH FLOW OXYGEN EQUIPMT CHNGE,1,1,1,Respiratory Therapy,Implant/Supply
POT CHLORIDE 10% 20MEQ/15ML UD,1,1,1,Pharmacy,Pharmacy
HEMATOCRIT WHOLE BLOOD,1,1,1,Laboratory,Laboratory
HC HEPATITIS B SURFACE ANTIGEN,1,1,1,Laboratory,Laboratory
PROTHROMBIN TM,1,1,1,Laboratory,Laboratory
HCHG POC STICK GLUCOSE HCHG POC STICK GLUCOSE,1,1,1,Monitoring,Laboratory
CBC AUTO,1,1,1,Laboratory,Laboratory
HC CREATINE KINASE MB FRACTION,1,1,1,Laboratory,Laboratory
HC CAPILLARY GLUCOSE NOVA METER,1,1,1,Monitoring,Laboratory
HB TROCAR XCEL BLADELESS 5MMX75MM,1,1,1,Supply,Implant/Supply
11482052 - BUMETANIDE 1 MG,1,1,1,Pharmacy,Pharmacy
HB CNSLT SURGERY W/FRZN SECT,1,1,1,Laboratory,Laboratory
HB US GUIDE NEEDLE PLCMT,1,1,1,Radiology,Other Imaging Services
MEDICAL PRIVATE; ROOM 311/PR,1,1,1,Room and Board,Room & Board
15700012 - WARFARIN SODIUM TABLET 2.5MG,1,1,1,Pharmacy,Pharmacy
OT EVAL/CONSULT,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
60615999 - GSH-POC BS GLUCOSE VL STAT,1,1,1,Monitoring,Implant/Supply
STERILE WATER FOR INJECTION SOLP,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB BATTERY PACK DISP STERILE,1,1,1,Supply,Implant/Supply
HB MASK CPAP FULL FACE SMALL,1,1,1,Supply,Implant/Supply
IGF BINDING PROTEIN 1,1,1,1,Laboratory,Laboratory
OPN HEART PERFUS 1ST 2HRS CVP,1,1,1,OR / Anesthesia / Recovery Room,OR Services
HC PHASE 1 EXERCISE,1,1,1,Cardiology,Other Therapeutic Services
SUT SOFSILK 0 TIES 18IN X12 BLK S176,1,1,1,Supply,Implant/Supply
HC-LAB-IONIZED CA (WHOLE BLOOD),1,1,1,Laboratory,Laboratory
C CENTRAL/PERIPH BLOOD DRA,1,1,1,Nursing Services,Laboratory
BETAMETHASONE ACET & SOD PHOS 6 (3-3) MG/ML SUSP,1,1,1,Pharmacy,Drugs Requiring Specific Identification
CALCIUM TOT,1,1,1,Laboratory,Laboratory
HB TUBING SILICONE 4FR,1,1,1,Supply,Implant/Supply
HB AMOX/CLAVULANATE 400MG/5ML SUS,1,1,1,Pharmacy,Pharmacy
METHEMOGLOBIN,1,1,1,Laboratory,Laboratory
HB MEDICAL GAS ADMINISTRATION,1,1,1,Respiratory Therapy,Implant/Supply
HB SILDENAFIL CITRATE 10 MG/ML,1,1,1,Plan Benefit,Pharmacy
IV D5W / 0.45% NACL 1000 M,1,1,1,Pharmacy,Pharmacy
NEO FER-IN-SOL 15MG/0.6ML LIQ,1,1,1,Pharmacy,Pharmacy
EPSTEIN BARR VCA (QEBVPL),1,1,1,Laboratory,Laboratory
ONDANS HCL 1MG-2MG/ML 2ML INJ,1,1,1,Pharmacy,Drugs Requiring Specific Identification
OXYBUTYNIN CR 5MG TAB,1,1,1,Pharmacy,Pharmacy
TRANSPAC MONITORING KIT INFAN,1,1,1,Supply,Implant/Supply
HB DRAPE SLUSH ORS320 WITH DISK,1,1,1,Supply,Implant/Supply
HB SEALANT HMSTTC FLO-SEAL THROM,1,1,1,Supply,Implant/Supply
US HEAD,1,1,1,Radiology,Other Imaging Services
ACETYLCYSTEINE 200MG/ML 4ML,1,1,1,Pharmacy,Pharmacy
FENTANYL 50 MCG/HR PATCH 72HR,1,1,1,Pharmacy,Pharmacy
SOD CHLORIDE STER 0.9% SOLN 5ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
RECOVERY ROOM 1ST HR,1,1,1,OR / Anesthesia / Recovery Room,Cast/Recovery/Labor Room
HB CONNECTOR PRFSN L1/4INXW1/4IN,1,1,1,Supply,Implant/Supply
CYCLOPENTOLATE-PHENYLEPHRINE 0.2-1% DROP 2 ML D,1,1,1,Pharmacy,Pharmacy
DEFOGGER ENDO FOG BX20 EA1,1,1,1,Supply,Implant/Supply
CATH BALLOON PTA LVL1,1,1,1,Supply,Implant/Supply
HC POC BLOOD GLUCOSE/REAGE,1,1,1,Monitoring,Laboratory
GOWN SURG SPECIALTY XL XLO,1,1,1,Supply,Implant/Supply
SEROTONIN RELEASE ASSAY,1,1,1,Laboratory,Laboratory
DEX 5% IV 500ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
STANDARD COGNITIVE PERF TEST PER HR,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
11791262 - CODLIVEROIL/ZINC OXD OINT113GM,1,1,1,Pharmacy,Pharmacy
CONTIN POS AIRWAY PRESS,1,1,1,Respiratory Therapy,Respiratory Services
KCL 20MEQ/100ML PREMIX; KCL IV PREMIX 20 MEQ/100 ML BAG 0.,1,1,1,Pharmacy,Drugs Requiring Specific Identification
HB OR PROCEDURE RM ADD 15 MIN,1,1,1,OR / Anesthesia / Recovery Room,OR Services
NEONATAL FLEXTEND WITH TTS CUFF TRACHEOSTOMY TU,1,1,1,Supply,Implant/Supply
86810005 - SELF CARE,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
PHYTONADIONE 1MG/0.5ML INJ,1,1,1,Pharmacy,Pharmacy
ALARIS PCU PUMP,1,1,1,Capital Equipment,Implant/Supply
HB CHLOROTHIAXIDE SODIUM 500MG VL,1,1,1,Pharmacy,Pharmacy
SENSOR O2 OXIMAX FINGER ADLT,1,1,1,Supply,Implant/Supply
ECMO CIRCUIT CHANGE,1,1,1,OR / Anesthesia / Recovery Room,Respiratory Services
ANTIMICROBIAL BREAKPOINT/MIC,1,1,1,Laboratory,Laboratory
DISP: 0.580 ML; 100 MG/5 ML; USED NDC QTY: 1.000 PCK OF 50.000 ML BOTTLE CEFIXIME 100 MG/5 ML ORAL SUSPENSION,1,1,1,Pharmacy,Pharmacy
HB VIMPAT 200MG/20ML VIAL,1,1,1,Pharmacy,Pharmacy
HB CELLCEPT SUSP 200MG/ML,1,1,1,Pharmacy,Pharmacy
FUROSEMIDE 10 MG/ML SOLN 2 0409-6102-02,1,1,1,Pharmacy,Pharmacy
AMOXIL 500MG CAP,1,1,1,Pharmacy,Pharmacy
HB SLEEVE CMPRS SCD CALF LARGE,1,1,1,Supply,Implant/Supply
VITAL CAPACITY/PEAK FLOW,1,1,1,Respiratory Therapy,Pulmonary Function
CBC PLT W/AUTO DIFF,1,1,1,Laboratory,Laboratory
LACTIC ACID (WBLA),1,1,1,Laboratory,Laboratory
SOD CHLORIDE 0.9% 10 ML FLUSH,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB VITAMIN B12,1,1,1,Pharmacy,Laboratory
HC CHEST 2 VIEW,1,1,1,Radiology,Radiology
TUBING IV PRIMARY,1,1,1,Supply,Implant/Supply
HB INTRAOP NEURO TESTING PER HR,1,1,1,Procedure,Other Diagnostic Services
RETRACTOR RING LONE STAR 3307G,1,1,1,Supply,Implant/Supply
HYDROCODONE/APAP 10/325; HYDROCODONE/APAP 10-325MG TABLET,1,1,1,Pharmacy,Drugs Requiring Specific Identification
EPINEPHR 1MG-1ML INJ,1,1,1,Pharmacy,Drugs Requiring Specific Identification
BUDESONIDE 0.25 MG/2 ML NBSP 2 ML VIAL,1,1,1,Pharmacy,Pharmacy
SODIUM CHL (QUAD) 4MEQ/1ML PED,1,1,1,Pharmacy,Pharmacy
CALCIUM GLUCONATE 10% INJ 10ML,1,1,1,Pharmacy,Pharmacy
HB TRAP MUCUS 40ML SPEC KT GRAD S,1,1,1,Supply,Implant/Supply
66063000 - EOSINOPHIL URINE,1,1,1,Laboratory,Laboratory
HC COMPREHENSIVE PANEL,1,1,1,Laboratory,Laboratory
METOPROLOL TARTRATE 12.5 MG TABLET,1,1,1,Pharmacy,Pharmacy
TPN ADULT,1,1,1,Pharmacy,Pharmacy
HB CATHETER UMBIL ARGL PU L12IN 0,1,1,1,Supply,Implant/Supply
WATER FOR INJ 10ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
TISSUE ADHESIV 0.7G TB,1,1,1,Supply,Implant/Supply
KETAMINE 500MG/10ML VL,1,1,1,Pharmacy,Pharmacy
EPINEPHRINE 1 MG/ML SOLN 3,1,1,1,Pharmacy,Pharmacy
HB SYRINGE EAR 1OZ BLB STRL LTXFR,1,1,1,Supply,Implant/Supply
HB KIT CUSTOM DRAINAGE BAG,1,1,1,Supply,Implant/Supply
HB CATHETER ANGIOP ZMED II L100CM,1,1,1,Supply,Implant/Supply
NEONATE FFP THAWED,1,1,1,Blood Products,Blood
HB PACK CSC 14 CUSTOM,1,1,1,Supply,Implant/Supply
HB SILDENAFIL 2.5 MG/ML ORAL,1,1,1,Plan Benefit,Pharmacy
HB HEPATITIS BC ANTIBODY/O,1,1,1,Laboratory,Laboratory
93000004 - IP-WOUND CARE VISIT,1,1,1,Nursing Services,Implant/Supply
HEPARIN ASSAY RR0010,1,1,1,Laboratory,Laboratory
HC BLOOD DRAW-VENIPUNCTURE,1,1,1,Nursing Services,Laboratory
GUIDE WIRE,1,1,1,Supply,Implant/Supply
HCHG CULTURE URINE HCHG CULTURE URINE,1,1,1,Laboratory,Laboratory
B-TYPE NATRIURETIC PEPTIDE,1,1,1,Laboratory,Laboratory
OT THERAPEUTIC ACTIV PAT EA 15M,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
NS 50ML ADD-A-,1,1,1,Diluent / Flush / Irrigant,Pharmacy
LARGE CASE CART,1,1,1,Supply,OR Services
CANN ART 12FR,1,1,1,Supply,Implant/Supply
HB ORA-SWEET PO SYRP,1,1,1,Supply,Pharmacy
HB ALDOSTERONE,1,1,1,Laboratory,Laboratory
URETERAL CATHETER BAG,1,1,1,Supply,Implant/Supply
CHG GLUCOSE BLOOD BY MONITORING DEV,1,1,1,Monitoring,Laboratory
ENOXAPARIN INJ,1,1,1,Pharmacy,Drugs Requiring Specific Identification
MULTIVITAMIN-ZINC-COENZYME,1,1,1,Pharmacy,Pharmacy
ONDANSETRON 4 MG TBDL ,1,1,1,Pharmacy,Pharmacy
BLOOD CULTURE (BLD),1,1,1,Laboratory,Laboratory
HB CATHETER SUCTION 10FR WHISTLE,1,1,1,Supply,Implant/Supply
36415 VENIPUNCTURE,1,1,1,Nursing Services,Laboratory
COSEAL SPRAY SET,1,1,1,Supply,Implant/Supply
PULSE OX MULTIP,1,1,1,Monitoring,Pulmonary Function
CAFFEINE CITRATED 60 MG/3 ML (20 MG/ML) ORAL SOLUTION,1,1,1,Pharmacy,Pharmacy
LEVOCARNITINE 200MG/ML INJ,1,1,1,Pharmacy,Pharmacy
20800462-D5W SOLP 100 ML BAG,1,1,1,Diluent / Flush / Irrigant,Pharmacy
SPECIMEN TRAP STR CP EA1,1,1,1,Supply,Implant/Supply
GELFORM 12X7MM SPONGE UD,1,1,1,Pharmacy,Pharmacy
TOBRAMYCIN PEAK,1,1,1,Laboratory,Laboratory
MULTIVITAMIN WITH IRON 0.25 ML LIQD 0.25 ML SYRINGE,1,1,1,Pharmacy,Drugs Requiring Specific Identification
RANITIDINE 1MG/1ML IN NS,1,1,1,Pharmacy,Pharmacy
DAPSONE 100 MG TAB,1,1,1,Pharmacy,Pharmacy
NEWBORN INTENSIVE CARE L4,1,1,1,Room and Board,Room & Board
COMP METABOLIC PANEL ,1,1,1,Laboratory,Laboratory
HB NEEDLE BUTTERFLY 21G,1,1,1,Supply,Implant/Supply
US GUID VASC ACCESS,1,1,1,Radiology,Other Imaging Services
HB APREPITANT 125MG CAPSULE,1,1,1,Pharmacy,Pharmacy
Hepatic Function Panel,1,1,1,Laboratory,Laboratory
IP COUGH STIMULATING THERAP,1,1,1,Respiratory Therapy,Respiratory Services
CMV QUANTITATIVE PCR,1,1,1,Laboratory,Laboratory
TRANSFERRIN SERUM,1,1,1,Laboratory,Laboratory
SYRINGE EAR BULB 2 OZ,1,1,1,Supply,Implant/Supply
PARENTERAL AMINO ACID 10% 10% SOLP 500 ML FLEX CONT,1,1,1,Pharmacy,Pharmacy
POC BLOOD GAS WITH MEASURED 02 SAT,1,1,1,Laboratory,Laboratory
CBC W AUTOMATED DIFF (CBCD,1,1,1,Laboratory,Laboratory
FORMULA: ELECARE 30 KCAL/O,1,1,1,Supply,Pharmacy
POTASSIUM CHLOR 20 MEQ/50,1,1,1,Pharmacy,Pharmacy
NOREPINEPHRINE 8MG/NS 250 ML K,1,1,1,Pharmacy,Pharmacy
SENSOR O2 PULSE FOREHEAD DGT,1,1,1,Supply,Implant/Supply
MEPILEX AG 6IN X 6IN,1,1,1,Supply,Implant/Supply
BLOOD GAS,1,1,1,Laboratory,Laboratory
NS 100ML BAG,1,1,1,Diluent / Flush / Irrigant,Pharmacy
ADULT ED ADMIT CH,1,1,1,Other,Emergency Room
MRI C SPINE W+W/O CONTRAST,1,1,1,Radiology,MRI
GAMUNEX 5GM/50ML 10% IVIG,1,1,1,Pharmacy,Drugs Requiring Specific Identification
HE SILDENAFIL CITRATE 10 MG/ML PO SUSR,1,1,1,Plan Benefit,Pharmacy
BLADE SURG CLPR STD 1 PASS,1,1,1,Supply,Implant/Supply
SOD POLYSTYRENE SULF 15GM SUSP,1,1,1,Pharmacy,Pharmacy
HB CULTURE RESPIRATORY,1,1,1,Laboratory,Laboratory
ENTERAL TUBE INTAKE:,1,1,1,Supply,Implant/Supply
MONITORING LINE,1,1,1,Supply,Implant/Supply
HCHG STABLE ISOTOPE SOL HCHG STABLE ISOTOPE SOL,1,1,1,Laboratory,Laboratory
SYRINGE PUMP,1,1,1,Capital Equipment,Implant/Supply
SUBSEQUENT VENTILATOR DAY,1,1,1,Respiratory Therapy,Respiratory Services
HB CATHETER UMBIL ARGL PU 12IN 5F,1,1,1,Supply,Implant/Supply
GUIDEWIRE STARTER .35 FCJ 150CM LONG,1,1,1,Supply,Implant/Supply
POTASSIUM CHLORIDE 20 MEQ/100ML BAG,1,1,1,Pharmacy,Pharmacy
COIL DETACHABLE SOFT TARGET 360 5X15,1,1,1,Implant,Implant/Supply
CELL COUNTAND DIFF BODY FLUID,1,1,1,Laboratory,Laboratory
COMP PATELLAR 41MM,1,1,1,Implant,Implant/Supply
CATH DIAGNOSTIC LVL 3,1,1,1,Supply,Implant/Supply
CATH DIAGNOSTIC LVL 1,1,1,1,Supply,Implant/Supply
HB ACTIGALL CAPSULES 300MG,1,1,1,Pharmacy,Pharmacy
THROMBOPLASTIN TM PRTL PLS,1,1,1,Laboratory,Laboratory
HB CATHETER BALN OCCL L60CM OD4FR,1,1,1,Supply,Implant/Supply
HB VINCRISTINE 1MG/ML 1ML LYPHOME,1,1,1,Pharmacy,Pharmacy
LOVERSOL 240 MG/ML SOLUTION,1,1,1,Pharmacy,Drugs Requiring Specific Identification
CALC CARB 500MG CHW,1,1,1,Pharmacy,Pharmacy
PM-D10W + NACL 0.225% + KCL 5MEQ INJ BAG 250ML,1,1,1,Pharmacy,Pharmacy
ISUCROSE N.F. 24% SOLUTION AMP 1ML,1,1,1,Pharmacy,Pharmacy
TIP SUCTION YANKAUER,1,1,1,Supply,Implant/Supply
ORTHOTIC MGMT AND TRAINING,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
CARE/ NURSERY-ICU LEVEL 3,1,1,1,Room and Board,Room & Board
CHEST WALL MANIP INITIAL,1,1,1,Respiratory Therapy,Respiratory Services
POTASSIUM PHOSPHATE 3 MMOL/ML SOLN 15 ML VIAL,1,1,1,Pharmacy,Pharmacy
66001000 - UA AUTO W/O MICROSCOPIC,1,1,1,Laboratory,Laboratory
HB ACETAMINOPHEN 160MG/5ML TYLEN,1,1,1,Pharmacy,Pharmacy
HB CATH PICC DBL VASCU 4FR 60CM,1,1,1,Supply,Implant/Supply
ERYTHROMYCIN BASE 0.5% OPHTH OINT 1G,1,1,1,Pharmacy,Pharmacy
TACROLIMUS 5 MG (0.5 MG/ML,1,1,1,Pharmacy,Pharmacy
5F FEED TUBE,1,1,1,Supply,Implant/Supply
ROOM M369 L,1,1,1,Room and Board,Room & Board
SPNG GZ 2 6X6-3/4 STRL,1,1,1,Supply,Implant/Supply
TRIGLYCERIDES FLUID,1,1,1,Laboratory,Laboratory
