Original Description,Normalized Description,Charge Class,Flag,Feature 1,Feature 2,Feature 3,Feature 4
GLUC-6-PHOS DEHYDRO QT (QG,glucose 6 phosphate dehydro quantitative qg,Laboratory,RETROSPECTIVE,quantitative,phosphate,glucose,
GLUCERNA SHAKE 8-OZ,glucerna shake 8 ounce,Supply,RETROSPECTIVE,ounce,glucerna,shake,
GLUCOSE  QUANTITATIVE (GLU,glucose quantitative glucose,Laboratory,RETROSPECTIVE,quantitative,glucose,,
GLUCOSE BLOOD BY MONITORING DEV,glucose blood by monitoring device,Monitoring,RETROSPECTIVE,device,monitoring,blood,glucose
GLYCOPYRRO 1MG/5ML I,glycopyrrolate 1_mg/5_ml i,Pharmacy,RETROSPECTIVE,1_mg/5_ml,glycopyrrolate,,
GRAM STAIN,gram stain,Laboratory,RETROSPECTIVE,stain,gram,,
GRAM STAIN ONLY,gram stain only,Laboratory,RETROSPECTIVE,stain,gram,,
HALOPERIDOL UP TO 5MG,haloperidol up to 5_mg,Pharmacy,RETROSPECTIVE,haloperidol,5_mg,,
HANDPIECE ARGON BENDABEAM,handpiece argon bendabeam,Supply,RETROSPECTIVE,bendabeam,handpiece,argon,
HANDPIECE LIGASURE IMPACT,handpiece ligasure impact,Supply,RETROSPECTIVE,impact,handpiece,ligasure,
HAPTOGLOBIN QT (HAPTO),haptoglobin quantitative hapto,Laboratory,RETROSPECTIVE,quantitative,haptoglobin,hapto,
HB 5% DEXTROSE/WATER 1000ML,5% dextrose/water 1000_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,5%,water,dextrose,1000_ml
HB ABDOMEN 1 POSITION,abdomen 1 position,Radiology,RETROSPECTIVE,position,abdomen,,
HB ABO TYPING C30,abo typing c30,Laboratory,RETROSPECTIVE,typing,c30,abo,
HB ACETAMINOPHEN 10 MG/ML IV SOLN,acetaminophen 10_mg/ml intravenous solution,Pharmacy,RETROSPECTIVE,soln,iv,10_mg/ml,acetaminophen
HB ACETAMINOPHEN 160MG/5ML TYLEN,acetaminophen 160_mg/5_ml tylenol,Pharmacy,RETROSPECTIVE,tylenol,160_mg/5_ml,acetaminophen,
HB ACETAMINOPHEN 80 MG PO TBDP,acetaminophen 80_mg by_mouth tbdp,Pharmacy,RETROSPECTIVE,80_mg,po,tbdp,acetaminophen
HB ADDITIONAL KARYOTYPE,additional karyotype,Laboratory,RETROSPECTIVE,karyotype,additional,,
HB ANALYSIS 20-25 CELLS,analysis 20 25 cells,Laboratory,RETROSPECTIVE,cells,analysis,,
HB ANES MATERIALS 1ST 15 MIN,anesthesia materials 1st 15_minutes,OR / Anesthesia / Recovery Room,RETROSPECTIVE,materials,min,anesthesia,1st
HB ANES MATERIALS ADD'L 15 MIN,anesthesia materials additional 15_minutes,OR / Anesthesia / Recovery Room,RETROSPECTIVE,materials,min,anesthesia,additional
HB ANTIBODY SCREEN C32,antibody screen c32,Laboratory,RETROSPECTIVE,screen,antibody,c32,
HB BAG DRAIN BECKER 700ML CSF EXT,bag drain becker 700_ml cerebrospinal_fluid extension,Supply,RETROSPECTIVE,bag,drain,ext,
HB BASIC METABOLIC PANEL,basic_metabolic_panel,Laboratory,RETROSPECTIVE,metabolic,panel,basic,
HB BRAF FULL GENE SEQUENCE ANALYSIS,braf full gene sequence analysis,Laboratory,RETROSPECTIVE,analysis,,,
HB BUPIVACAINE 0.5% VIAL,bupivacaine 0.5% vial,Pharmacy,RETROSPECTIVE,vial,0.50%,bupivacaine,
HB CATHETER BACTISEAL KIT,catheter bactiseal kit,Supply,RETROSPECTIVE,catheter,bactiseal,kit,
HB CBC W/AUTO DIFFERENTIAL,complete_blood_count with automated differential,Laboratory,RETROSPECTIVE,cbc,differential,automated,
HB CEFAZOLIN NA 1GM VIAL,cefazolin sodium 1_gm vial,Pharmacy,RETROSPECTIVE,1_gm,vial,cefazolin,na
HB CHEST 1 VIEW,chest 1 view,Radiology,RETROSPECTIVE,chest,view,,
HB CHEST- 2 VIEWS,chest 2 views,Radiology,RETROSPECTIVE,chest,views,,
HB CISATRACURIUM 2MG/ML 10ML VL,cisatracurium 2_mg/ml 10_ml vial,Pharmacy,RETROSPECTIVE,vial,10_ml,2_mg/ml,cisatracurium
HB CLARITIN REDITABS,claritin reditabs,Pharmacy,RETROSPECTIVE,claritin,reditabs,,
HB COMPLETE BLOOD COUNT ONLY,complete_blood_count only,Laboratory,RETROSPECTIVE,count,complete,blood,
HB CONNECTOR LUERLOCK 1.5MM DIAME,connector luerlock 1.5mm diameter,Supply,RETROSPECTIVE,connector,1.5mm,luerlock,diameter
HB COSYNTROPIN 0.25MG VL ORGANO,cosyntropin 0.25_mg vial organo,Pharmacy,RETROSPECTIVE,vial,cosyntropin,organo,0.25_mg
HB CREATININE BLOOD,creatinine blood,Laboratory,RETROSPECTIVE,creatinine,blood,,
HB CSF CULTURE,cerebrospinal_fluid culture,Laboratory,RETROSPECTIVE,culture,csf,,
HB CT HEAD WO CONTRAST,computed_tomography head without contrast,Radiology,RETROSPECTIVE,ct,head,without,contrast
HB DEXMEDETOMIDINE 4 MCG/ML PREMADE INFUSION,dexmedetomidine 4 mcg/ml premade infusion,Pharmacy,RETROSPECTIVE,dexmedetomidine,mcg,infusion,ml
HB DIPHENHYDRAMINE 12.5MG/5ML,diphenhydramine 12.5_mg/5_ml,Pharmacy,RETROSPECTIVE,diphenhydramine,12.5_mg/5_ml,,
HB DIPHENHYDRAMINE HCL 50MG/ML 1M,diphenhydramine hydrochloride 50_mg/ml 1m,Pharmacy,RETROSPECTIVE,diphenhydramine,1m,50_mg/ml,hydrochloride
HB DOTAREM (GADOTERATE MEGLUMINE),dotarem gadoterate meglumine,Pharmacy,RETROSPECTIVE,meglumine,gadoterate,dotarem,
HB DRAPE LEICA MINI MICROSCOPE,drape leica mini microscope,Supply,RETROSPECTIVE,leica,mini,microscope,drape
HB ELECTRODE 3FR X 105CM BUZZBY,electrode 3fr x 105cm buzzby,Supply,RETROSPECTIVE,electrode,,,
HB ELECTRONIC CROSSMATCH C16,electronic crossmatch c16,Laboratory,RETROSPECTIVE,crossmatch,electronic,c16,
HB EMG 2 EXTREMITIES,electromyogram 2 extremities,Radiology,RETROSPECTIVE,emg,extremities,,
HB ESR-AUTO,erythrocyte_sedimentation_rate automated,Laboratory,RETROSPECTIVE,erythrocyte_sedimentation_rate,automated,,
HB ESTRADIOL SERUM,estradiol serum,Laboratory,RETROSPECTIVE,serum,estradiol,,
HB FENTANYL 50ML INJ 0.05MG/ML,fentanyl 50_ml injection 0.05_mg/ml,Pharmacy,RETROSPECTIVE,50_ml,inj,fentanyl,0.05_mg/ml
HB FOLLICLE STIMULATING HORMONE/5,follicle stimulating hormone/5,Laboratory,RETROSPECTIVE,follicle,hormone/5,stimulating,
HB FOUND ONE SEQUENCING,found one sequencing,Laboratory,RETROSPECTIVE,sequencing,found,one,
HB GENTAMICIN 40MG/ML VIAL,gentamicin 40_mg/ml vial,Pharmacy,RETROSPECTIVE,vial,40_mg/ml,gentamicin,
HB GLOMERULAR FILTRATION RATE,glomerular filtration rate,Laboratory,RETROSPECTIVE,glomerular,rate,filtration,
HB GLUCOSE BLOOD,glucose blood,Laboratory,RETROSPECTIVE,blood,glucose,,
HB GLUCOSE CSF,glucose cerebrospinal_fluid,Laboratory,RETROSPECTIVE,csf,glucose,,
HB GLYCOPYRROLATE 0.2MG/ML 1ML,glycopyrrolate 0.2_mg/ml 1_ml,Pharmacy,RETROSPECTIVE,1_ml,0.2_mg/ml,glycopyrrolate,
HB GRAM STAIN,gram stain,Laboratory,RETROSPECTIVE,stain,gram,,
HB GRANISETRON HCL 4 MG/4ML IV SOLN,granisetron hydrochloride 4_mg/4_ml intravenous solution,Pharmacy,RETROSPECTIVE,soln,iv,hydrochloride,
HB HYDROXYZINE HCL 10MG/5ML SYRP,hydroxyzine hydrochloride 10_mg/5_ml syrup,Pharmacy,RETROSPECTIVE,10_mg/5_ml,syrup,hydroxyzine,hydrochloride
HB IMMUNOHISTOCHEMISTRY 1ST,immunohistochemistry 1st,Laboratory,RETROSPECTIVE,immunohistochemistry,1st,,
HB INTRODUCER 46CM PERITONEAL SHE,introducer 46cm peritoneal she,Supply,RETROSPECTIVE,introducer,46cm,peritoneal,
HB INTRODUCER 61CM PERITONEAL SHE,introducer 61cm peritoneal she,Supply,RETROSPECTIVE,peritoneal,introducer,61cm,
HB INTRODUCER PICC 18 GA SAFETY,introducer peripherally_inserted_central_catheter 18 gauge safety,Supply,RETROSPECTIVE,safety,gauge,introducer,picc
HB IV PUSH INITIAL SUBSTANCE,intravenous push initial substance,Nursing Services,RETROSPECTIVE,push,initial,iv,substance
HB KIT FOLEY CATH,kit foley catheter,Supply,RETROSPECTIVE,foley,cath,kit,
HB KIT IV ABV 5 YR PREOP,kit intravenous abv 5 yr preoperative,Supply,RETROSPECTIVE,iv,kit,,
HB KIT PICC INSERTION,kit peripherally_inserted_central_catheter insertion,Supply,RETROSPECTIVE,picc,insertion,kit,
HB LEUTINIZING HORMONE/5,leutinizing hormone/5,Laboratory,RETROSPECTIVE,leutinizing,hormone/5,,
HB LIDOCAINE HCL 1% EPI 1:100 000,lidocaine hydrochloride 1% epinephrine 1 100 0,Pharmacy,RETROSPECTIVE,epinephrine,1%,lidocaine,hydrochloride
HB LIDOCAINE/EPI 0.5%+1;200 000,lidocaine/epinephrine 0.5% and 1 200 0,Pharmacy,RETROSPECTIVE,0.50%,epinephrine,lidocaine,
HB MAJOR SURGERY ADD 15 MIN,major surgery additional 15_minutes,OR / Anesthesia / Recovery Room,RETROSPECTIVE,major,min,surgery,additional
HB MAJOR SURGERY FIRST 15 MIN,major surgery first 15_minutes,OR / Anesthesia / Recovery Room,RETROSPECTIVE,major,min,surgery,first
HB MIDAZOLAM 10MG/5ML SYRUP CUP,midazolam 10_mg/5_ml syrup cup,Pharmacy,RETROSPECTIVE,10_mg/5_ml,syrup,midazolam,cup
HB MIDAZOLAM HCL 2 MG/2ML IJ SOLN,midazolam hydrochloride 2_mg/2_ml injection solution,Pharmacy,RETROSPECTIVE,ij,soln,midazolam,hydrochloride
HB NEOSTIGMINE 1MG/ML VIAL,neostigmine 1_mg/ml vial,Pharmacy,RETROSPECTIVE,vial,neostigmine,1_mg/ml,
HB OR PROCEDURE RM ADD 15 MIN,operation_room procedure room additional 15_minutes,OR / Anesthesia / Recovery Room,RETROSPECTIVE,additional,min,or,procedure
HB OR PROCEDURE RM FIRST 15 MIN,operation_room procedure room first 15_minutes,OR / Anesthesia / Recovery Room,RETROSPECTIVE,min,or,procedure,rm
HB OT STANDARD EVAL,occupational_therapy standard evaluation,PT / OT / Speech Therapy,RETROSPECTIVE,evaluation,ot,standard,
HB OXYCODONE 5MG/5ML CUP,oxycodone 5_mg/5_ml cup,Pharmacy,RETROSPECTIVE,cup,oxycodone,5_mg/5_ml,
HB POC BEDSIDE TESTING-GLUCOSE,point_of_care bedside testing glucose,Monitoring,RETROSPECTIVE,bedside,poc,testing,glucose
HB POC HEMATOCRIT,point_of_care hematocrit,Monitoring,RETROSPECTIVE,hematocrit,poc,,
HB POWDER WOUND STATSEAL,powder wound statseal,Supply,RETROSPECTIVE,wound,powder,statseal,
HB PROPOFOL 10MG/ML IV BOLUS EMUL,propofol 10_mg/ml intravenous bolus emulsion,Pharmacy,RETROSPECTIVE,propofol,emul,iv,
HB PROPOFOL 10MG/ML IV EMUL,propofol 10_mg/ml intravenous emulsion,Pharmacy,RETROSPECTIVE,emul,propofol,10_mg/ml,iv
HB PT STANDARD EVAL,patient standard evaluation,PT / OT / Speech Therapy,RETROSPECTIVE,evaluation,pt,standard,
HB RAD EXAM NECK SOFT TISSUE,radiology examination neck soft tissue,Radiology,RETROSPECTIVE,tissue,soft,,
HB RANITIDINE HCL 50 MG/2ML IJ SOLN,ranitidine hydrochloride 50_mg/2_ml injection solution,Pharmacy,RETROSPECTIVE,ij,soln,hydrochloride,
HB REMIFENTANIL 5MG VIAL,remifentanil 5_mg vial,Pharmacy,RETROSPECTIVE,vial,remifentanil,5_mg,
HB RENAL PANEL,renal panel,Laboratory,RETROSPECTIVE,renal,panel,,
HB RH C29,rhesus c29,Laboratory,RETROSPECTIVE,rh,c29,,
HB ROOM RATE ICU,room rate intensive_care_unit,Room and Board,RETROSPECTIVE,rate,icu,room,
HB SENNOSIDES 15 MG PO CHEW,sennosides 15_mg by_mouth chew,Pharmacy,RETROSPECTIVE,chew,po,15_mg,sennosides
HB SENNOSIDES 15 MG PO CREW,sennosides 15_mg by_mouth crew,Pharmacy,RETROSPECTIVE,crew,po,15_mg,sennosides
HB SENSOR NEURO NEUROPEN 15.5DF L,sensor neurology neuropen 15.5df l,Supply,RETROSPECTIVE,sensor,,,
HB SKULL (1-3 VIEWS),skull 1 3 views,Radiology,RETROSPECTIVE,skull,views,,
HB SPINAL FLUID COUNT- DIFF,spinal fluid count_differential,Laboratory,RETROSPECTIVE,count,spinal,diff,fluid
HB SUBDERMAL NEEDLE,subdermal needle,Supply,RETROSPECTIVE,needle,subdermal,,
HB SUCCINYLCHOLINE CL 20MG/ML10ML,succinylcholine chloride 20_mg/ml10_ml,Pharmacy,RETROSPECTIVE,cl,succinylcholine,20_mg/ml10_ml,
HB T4 FREE BY DIALYSIS,t4 free by dialysis,Laboratory,RETROSPECTIVE,t4,dialysis,free,
HB THROMBIN (RECMBINNT) 20000 UNIT EX S,thrombin recombinant 20000_units ex s,Pharmacy,RETROSPECTIVE,thrombin,recombinant,ex,20000_units
HB THROMBIN (RECOMBINANT) 5000 UNIT EX,thrombin recombinant 5000_units ex,Pharmacy,RETROSPECTIVE,thrombin,recombinant,ex,5000_units
HB THYROID STIMULATING HORMONE (TSH),thyroid stimulating hormone thyroid-stimulating_hormone,Laboratory,RETROSPECTIVE,thyroid,hormone,stimulating,thyroid-stimulating_hormone
HB TOOL DISSECT LEGEND 9CM 7.5MM,tool dissect legend 9cm 7.5mm,Supply,RETROSPECTIVE,tool,7.5mm,dissect,9cm
HB TOOL DISSECT OD7.0MM ACORN FLU,tool dissect od7.0mm acorn flush,Supply,RETROSPECTIVE,flu,,,
HB TOT PROTEIN; CSF,total protein cerebrospinal_fluid,Laboratory,RETROSPECTIVE,protein,total,csf,
HB TROCAR DISPOSABLE SPLIT,trocar disposable split,Supply,RETROSPECTIVE,trocar,disposable,split,
HB TWISTED SUBDERMAL NEEDLE,twisted subdermal needle,Supply,RETROSPECTIVE,needle,twisted,subdermal,
HB VANCOMYCIN 5GM VIAL LEDERLE,vancomycin 5_gm vial lederle,Pharmacy,RETROSPECTIVE,vial,lederle,5_gm,vancomycin
HB VANCOMYCIN SINGLE LEVEL,vancomycin single level,Laboratory,RETROSPECTIVE,single,vancomycin,level,
HB ZOFRAN 4MG/2ML IV SOLN,zofran 4_mg/2_ml intravenous solution,Pharmacy,RETROSPECTIVE,zofran,soln,4_mg/2_ml,iv
HEPARIN PORCINE 1000 UNITS,heparin porcine 1000_units,Pharmacy,RETROSPECTIVE,heparin,1000_units,porcine,
HEPARIN SODIUM 1 000 UNITS,heparin sodium 1 000_units,Diluent / Flush / Irrigant,RETROSPECTIVE,heparin,000_units,sodium,
HEPATITIS B CORE AB,hepatitis b core antibody,Laboratory,RETROSPECTIVE,core,b,antibody,hepatitis
HEPATITIS B SURFACE AB,hepatitis b surface antibody,Laboratory,RETROSPECTIVE,b,antibody,surface,hepatitis
HIGH FLOW THERAPY,high flow therapy,Respiratory Therapy,RETROSPECTIVE,high,therapy,flow,
HLA X-MATCH 1ST SER SAMP (,hla x match 1st serum sample,Laboratory,RETROSPECTIVE,serum,1st,,
HSV 1 2 IGM,hsv 1 2 igm,Laboratory,RETROSPECTIVE,igm,hsv,,
HYDRALAZINE 20MG INJ,hydralazine 20_mg injection,Pharmacy,RETROSPECTIVE,injection,20_mg,hydralazine,
HYDRALAZNE 20MG INJ,hydralazine 20_mg injection,Pharmacy,RETROSPECTIVE,injection,20_mg,hydralazine,
HYDROCORTISONE SUCCINATE SODIUM UP TO 100 MG,hydrocortisone succinate sodium up to 100_mg,Pharmacy,RETROSPECTIVE,hydrocortisone,100_mg,succinate,sodium
HYDROMORPH UP TO 4MG,hydromorphone up to 4_mg,Pharmacy,RETROSPECTIVE,hydromorphone,4_mg,up,to
HYDROMORPHONE 1MG/ML 1ML,hydromorphone 1_mg/ml 1_ml,Pharmacy,RETROSPECTIVE,hydromorphone,1_ml,1_mg/ml,
HYDROMORPHONE 2 MG INJ,hydromorphone 2_mg injection,Pharmacy,RETROSPECTIVE,hydromorphone,injection,2_mg,
HYDROMORPHONE UP TO 4 MG INJ,hydromorphone up to 4_mg injection,Pharmacy,RETROSPECTIVE,hydromorphone,injection,4_mg,
HYOSCYAMINE 0.125 MG SUBL,hyoscyamine 0.125_mg sublingual,Pharmacy,RETROSPECTIVE,hyoscyamine,0.125_mg,sublingual,
HYPERFIBRINOLYSIS (APTEM),hyperfibrinolysis aptem,Laboratory,RETROSPECTIVE,hyperfibrinolysis,aptem,,
IBUPROFEN 800MG TAB,ibuprofen 800_mg tablet,Pharmacy,RETROSPECTIVE,800_mg,tablet,ibuprofen,
ICU INTERMEDIATE,intensive_care_unit intermediate,Room and Board,RETROSPECTIVE,intermediate,intensive_care_unit,,
ICU ROOM,intensive_care_unit room,Room and Board,RETROSPECTIVE,intensive_care_unit,room,,
IMMUNAS NON INFECT (MIT3),immunoassay non infect mit3,Laboratory,RETROSPECTIVE,immunoassay,non,mit3,infect
INFECT AGENT RESP VIRUS 12 TO 25 T12 TO 25 TARGET,infect agent respiratory virus 12 to 25 t12 to 25 target,Pharmacy,RETROSPECTIVE,resp,target,,
INFLUENZA A  AG  IF,influenza a ag if,Laboratory,RETROSPECTIVE,influenza,ag,,
INFLUENZA B  AG  IF,influenza b ag if,Laboratory,RETROSPECTIVE,influenza,b,ag,
INFUS NSS 0.9%100ML BAG,infusion normal_saline_sterile 0.9%100_ml bag,Diluent / Flush / Irrigant,RETROSPECTIVE,0.9%100_ml,infusion,normal_saline_sterile,bag
INHALATION TREATMENT,inhalation treatment,Respiratory Therapy,RETROSPECTIVE,inhalation,treatment,,
INSULIN 5 UNITS INJ,insulin 5_units injection,Pharmacy,RETROSPECTIVE,5_units,injection,insulin,
INSULIN ASPART 5 UNITS,insulin aspart 5_units,Pharmacy,RETROSPECTIVE,aspart,5_units,insulin,
INSULIN GLARGINE 1UNIT,insulin glargine 1unit,Pharmacy,RETROSPECTIVE,insulin,1unit,glargine,
INSULIN HUMAN LISPRO 5 UNI,insulin human lispro 5_units,Pharmacy,RETROSPECTIVE,5_units,lispro,insulin,human
INSULIN LISPRO 50U-100U/ML 1U,insulin lispro 50u 100_units/ml 1u,Pharmacy,RETROSPECTIVE,lispro,insulin,,
INSULIN REG HUM 5U- 00U/ML UNI,insulin regular human 5u 00_units/ml up,Pharmacy,RETROSPECTIVE,regular,insulin,human,
INSULIN UNT INJ,insulin unit injection,Pharmacy,RETROSPECTIVE,injection,insulin,unit,
INTERMEDIATE ICU,intermediate intensive_care_unit,Room and Board,RETROSPECTIVE,intermediate,intensive_care_unit,,
INTERVENTN BRUSHING/WASHING,intervention brushing/washing,Supply,RETROSPECTIVE,brushing,washing,intervention,
INTRO SHEATH PERC KIT W/ H,intro sheath perc kit with h,Supply,RETROSPECTIVE,sheath,kit,,
IOHEXOL 300 MG/ML SOLUTION,iohexol 300_mg/ml solution,Pharmacy,RETROSPECTIVE,iohexol,solution,300_mg/ml,
IV 0.9% NACL 100 ML,intravenous 0.9% sodium_chloride 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,100_ml,intravenous,sodium_chloride
IV 0.9% NACL 1000 ML,intravenous 0.9% sodium_chloride 1000_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,intravenous,1000_ml,sodium_chloride
IV 0.9% NACL 250 ML,intravenous 0.9% sodium_chloride 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,250_ml,intravenous,sodium_chloride
IV 0.9% NACL 50 ML,intravenous 0.9% sodium_chloride 50_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,50_ml,intravenous,sodium_chloride
IV 0.9% NACL 500 ML,intravenous 0.9% sodium_chloride 500_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,500_ml,intravenous,sodium_chloride
IV D5W 100 ML,intravenous dextrose_5%_in_water 100_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,100_ml,intravenous,dextrose_5%_in_water,
IV D5W 250 ML,intravenous dextrose_5%_in_water 250_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,250_ml,intravenous,dextrose_5%_in_water,
IV D5W 50 ML,intravenous dextrose_5%_in_water 50_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,50_ml,intravenous,dextrose_5%_in_water,
IV D5W 500 ML,intravenous dextrose_5%_in_water 500_ml,Diluent / Flush / Irrigant,RETROSPECTIVE,500_ml,intravenous,dextrose_5%_in_water,
IV DEX 05% 250CC,intravenous dextrose 05% 250_cc,Diluent / Flush / Irrigant,RETROSPECTIVE,250_cc,5%,dextrose,intravenous
IV DEX 05% NACL .45% 1000,intravenous dextrose 05% sodium_chloride 0.45% 1000,Diluent / Flush / Irrigant,RETROSPECTIVE,dextrose,intravenous,sodium_chloride,
IV HYDRAT EA ADD HR,intravenous hydration each additional hour,Nursing Services,RETROSPECTIVE,hydration,intravenous,hour,additional
IV NACL .9% 1000CC,intravenous sodium_chloride 0.9% 1000_cc,Diluent / Flush / Irrigant,RETROSPECTIVE,0.90%,1000_cc,intravenous,sodium_chloride
KETAMINE 500MG/5ML,ketamine 500_mg/5_ml,Pharmacy,RETROSPECTIVE,ketamine,500_mg/5_ml,,
KETOROLAC (TORADOL) INJECTION 30 MG,ketorolac toradol injection 30_mg,Pharmacy,RETROSPECTIVE,30_mg,toradol,injection,ketorolac
KETOROLAC 15MG INJ,ketorolac 15_mg injection,Pharmacy,RETROSPECTIVE,injection,15_mg,ketorolac,
KIT FECAL MGMT SYSTEM FLEXISE (7606),kit fecal management system flexise 7606,Supply,RETROSPECTIVE,mgmt,system,kit,
KIT MULTI LUMEN 4 FR,kit multiple lumen 4 fr,Supply,RETROSPECTIVE,fr,multiple,lumen,kit
KIT START IV SPLIT TAIL DRSG REGARD,kit start intravenous split tail dressing regard,Supply,RETROSPECTIVE,dressing,intravenous,kit,
KT PNEUMOTHORAX,kit pneumothorax,Supply,RETROSPECTIVE,pneumothorax,kit,,
LAB BLOOD TYPING ABO,laboratory blood typing abo,Laboratory,RETROSPECTIVE,laboratory,abo,blood,typing
LAB BLOOD TYPING RH,laboratory blood typing rhesus,Laboratory,RETROSPECTIVE,rhesus,laboratory,blood,typing
LAB GLYC HGB,laboratory glycol hemoglobin,Laboratory,RETROSPECTIVE,hemoglobin,laboratory,glycol,
LACRI-LUBE OPHT OINT 3.5GM,lacri lube ophth ointment 3.5_gm,Supply,RETROSPECTIVE,ointment,lube,ophth,lacri
LACTIC ACID ASSAY,lactic acid assay,Laboratory,RETROSPECTIVE,acid,assay,lactic,
LACTULOSE 20GM/30ML,lactulose 20_gm/30_ml,Pharmacy,RETROSPECTIVE,20_gm/30_ml,lactulose,,
LACTULOSE 30ML UM,lactulose 30_ml um,Pharmacy,RETROSPECTIVE,um,30_ml,lactulose,
LDH (LDH),lactic_dehydrogenase lactic_dehydrogenase,Laboratory,RETROSPECTIVE,lactic_dehydrogenase,,,
LEVOTHYROXINE 100 MCG SOLR,levothyroxine 100 microgram solution,Pharmacy,RETROSPECTIVE,mcg,solution,levothyroxine,
LEVOTHYROXINE 100 MCG TABLET,levothyroxine 100 microgram tablet,Pharmacy,RETROSPECTIVE,microgram,tablet,levothyroxine,
LEVOTHYROXINE 200 MCG TABS,levothyroxine 200 microgram tablets,Pharmacy,RETROSPECTIVE,tabs,mcg,levothyroxine,
LEVOTHYROXINE 75 MCG TABS,levothyroxine 75 microgram tablets,Pharmacy,RETROSPECTIVE,tabs,mcg,levothyroxine,
LIDOCAINE 1% 20 ML INJ,lidocaine 1% 20_ml injection,Pharmacy,RETROSPECTIVE,injection,1%,lidocaine,20_ml
LIDOCAINE 1% 50ML,lidocaine 1% 50_ml,Pharmacy,RETROSPECTIVE,50_ml,1%,lidocaine,
LIDOCAINE HCL 10 MG,lidocaine hydrochloride 10_mg,Pharmacy,RETROSPECTIVE,10_mg,lidocaine,hydrochloride,
LIDOCAINE PF 2% SOLUTION 5 ML VIAL,lidocaine partial_fill 2% solution 5_ml vial,Pharmacy,RETROSPECTIVE,vial,partial_fill,solution,5_ml
LIDOCAINE VISCOUS 2% SOLN,lidocaine viscous 2% solution,Pharmacy,RETROSPECTIVE,2%,viscous,lidocaine,soln
LIPASE,lipase,Laboratory,RETROSPECTIVE,lipase,,,
LIPASE  SERUM,lipase serum,Laboratory,RETROSPECTIVE,serum,lipase,,
LIPASE (LIPAS),lipase lipas,Laboratory,RETROSPECTIVE,lipas,lipase,,
LIPID PANEL,lipid panel,Laboratory,RETROSPECTIVE,lipid,panel,,
LISINOPRIL 5MG TAB,lisinopril 5_mg tablet,Pharmacy,RETROSPECTIVE,5_mg,tablet,lisinopril,
LIVER FUNCTION PANEL (LFPP,liver function panel lfpp,Laboratory,RETROSPECTIVE,function,liver,lfpp,panel
LODIXANOL 320 MG IODINE/ML SOLUTION,lodixanol 320_mg iodine/ml solution,Pharmacy,RETROSPECTIVE,ml,solution,,
LORAZEPAM 2MG INJ,lorazepam 2_mg injection,Pharmacy,RETROSPECTIVE,2_mg,lorazepam,injection,
LOVERSOL 240 MG/ML SOLUTION,loversol 240_mg/ml solution,Pharmacy,RETROSPECTIVE,loversol,solution,240_mg/ml,
MAGNES SULF. 500 MG-1G/D5W 100M,magnesium sulfate 500_mg 1_gm/dextrose_5%_in_water 100m,Pharmacy,RETROSPECTIVE,magnesium,500_mg,sulfate,
MAGNESIUM  SERUM,magnesium serum,Laboratory,RETROSPECTIVE,magnesium,serum,,
MAGNESIUM ASSAY,magnesium assay,Laboratory,RETROSPECTIVE,assay,magnesium,,
MAGNESIUM SULFATE 40 MG/ML,magnesium sulfate 40_mg/ml,Pharmacy,RETROSPECTIVE,40_mg/ml,magnesium,sulfate,
MANUAL THERAPY 15 MIN PT,manual therapy 15_minutes physical_therapy,PT / OT / Speech Therapy,RETROSPECTIVE,therapy,manual,minutes,physical_therapy
MARKER SKN W/RULER REG TIP 31145777,marker skin with ruler regular tip 31145777,Supply,RETROSPECTIVE,regular,tip,skin,
MASK ANES FACE ADLT LG,mask anesthesia face adult large,Supply,RETROSPECTIVE,anesthesia,adult,,
MASK O2 HI 3 N 1 7FT TUB ADLT,mask oxygen hi 3 n 1 7ft tubing adult,Supply,RETROSPECTIVE,tubing,adult,oxygen,
MEROPENEM  100 MG-1G INJ,meropenem 100_mg 1_gm injection,Pharmacy,RETROSPECTIVE,1_gm,100_mg,injection,meropenem
MEROPENEM  100MG-500MG INJ,meropenem 100_mg 500_mg injection,Pharmacy,RETROSPECTIVE,100_mg,injection,500_mg,meropenem
MESALAMINE CR 250 MG CPCR,mesalamine cream 250_mg cpcr,Pharmacy,RETROSPECTIVE,250_mg,mesalamine,cpcr,cream
METFORMIN 500MG TAB,metformin 500_mg tablet,Pharmacy,RETROSPECTIVE,metformin,tablet,500_mg,
METHYLPREDNISOLONE (SOLUME,methylprednisolone solume,Pharmacy,RETROSPECTIVE,methylprednisolone,solume,,
METOCLOPRAM 10MG INJ,metoclopramide 10_mg injection,Pharmacy,RETROSPECTIVE,injection,10_mg,metoclopramide,
METOPROLOL 25MG TAB,metoprolol 25_mg tablet,Pharmacy,RETROSPECTIVE,metoprolol,tablet,25_mg,
