Original Description,Normalized Description,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,CHRG_CLS,Voting Algorithm,Confidence Score,Match_Jaro,Match_DLevenshtein,Match_Logistic,Match_DeepNN,Match_Voted
GLYCOSYLAATED A1C,glycosylated a1c,Laboratory,0.75,Laboratory,0.81,Laboratory,0.96,Laboratory,0.972820187827,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.873205046957,1,1,1,1,1
GOWN SRG XL XLNG IMPR,gown srg xcel xlong impra,Diluent / Flush / Irrigant,0.71,Supply,0.39,Supply,0.904077648471,Supply,0.999867927746,Supply,Supply,"DLevenshtein, Logistic_OvR, DeepNN",0.573486394054,0,1,1,1,1
GRANISETRON HCL 100MCG INJ,granisetron hcl 100mcg injection,Pharmacy,0.78,Pharmacy,0.93,Pharmacy,0.969909374283,Pharmacy,0.998975032679,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.919721101741,1,1,1,1,1
GROSS/MICRO II,gross/miscroscopic ii,Room and Board,0.71,Supply,0.46,Laboratory,0.92,Laboratory,0.99959230485,Laboratory,Laboratory,"Logistic_OvR, DeepNN",0.479898076213,0,0,1,1,1
GUIDNCE ABSCSS DRAIN/CATH,guidance abscess drain/catheter,Laboratory,0.71,Radiology,0.37,Supply,0.96,Supply,0.999930526575,Supply,Radiology,"Logistic_OvR, DeepNN",0.489982631644,0,1,0,0,0
H IAAD EIA LAV-1 AG W/LAV-,iaad eia lav 1 silver w lav,Supply,0.64,Supply,0.37,Pharmacy,0.591175991539,Pharmacy,0.813133579367,Pharmacy,Laboratory,"Logistic_OvR, DeepNN",0.351077392727,0,0,0,0,0
H PUMP INFUSION DAILY,pump infusion daily,Capital Equipment,0.85,Capital Equipment,0.93,Capital Equipment,0.96,Capital Equipment,0.998581233041,Capital Equipment,Capital Equipment,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.93464530826,1,1,1,1,1
HANDPIECE LIGASURE IMPACT,handpiece ligasure impact,Laboratory,0.74,Supply,0.43,Supply,0.92,Supply,0.99151284981,Supply,Supply,"DLevenshtein, Logistic_OvR, DeepNN",0.585378212452,0,1,1,1,1
HB - ECHOCARDIOGRAPHY TRANSTHORACIC 2D M-MODE; COMPLETE WITH DOPPLER,echocardiography transthoracic 2 m mode complete w doppler,Cardiology,0.72,Cardiology,0.37,Cardiology,0.567506032911,Cardiology,0.945246285843,Cardiology,Cardiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.650688079688,1,1,1,1,1
HB - UMBILICAL CATHETERIZATION,umbilical catheterization,Laboratory,0.71,Respiratory Therapy,0.46,Supply,0.92,Supply,0.990906876279,Supply,Procedure,"Logistic_OvR, DeepNN",0.47772671907,0,0,0,0,0
HB - VENT SUPPORT-CONV; SUBSQUENT DAY,ventilator support conv subsequent day,Respiratory Therapy,0.85,Respiratory Therapy,0.88,Respiratory Therapy,0.96,Respiratory Therapy,0.999957821171,Respiratory Therapy,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.922489455293,1,1,1,1,1
HB - XRAY COOKIE SWALLOW FLUORO,x-ray cookie swallow fluroscopy,Radiology,0.68,Radiology,0.36,Supply,0.92,Supply,0.97396064628,Supply,Radiology,"Logistic_OvR, DeepNN",0.47349016157,1,1,0,0,0
HB 5%DEXTROSE/ NORMAL SALINE 1000,5%dextrose/normal saline 1000,Diluent / Flush / Irrigant,0.85,Diluent / Flush / Irrigant,0.81,Diluent / Flush / Irrigant,0.96,Diluent / Flush / Irrigant,0.944408097017,Diluent / Flush / Irrigant,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.891102024254,0,0,0,0,0
HB ACETAMINOPHEN 80 MG PO TBDP,acetaminophen 80_mg by_mouth tbdp,Pharmacy,0.85,Pharmacy,0.93,Pharmacy,0.954804136581,Pharmacy,0.995996771889,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.932700227118,1,1,1,1,1
HB ACTH STIM PANEL,acth stimulating_thyroid_stimulating panel,Laboratory,0.75,Laboratory,0.81,Laboratory,0.907572463722,Laboratory,0.999249282611,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.866705436583,1,1,1,1,1
HB ADAPTER CIRCT W/O SX PRT DL,adapter circuit without suction port double_lumen,Radiology,0.73,Supply,0.42,Supply,0.911854415012,Supply,0.999334638047,Supply,Supply,"DLevenshtein, Logistic_OvR, DeepNN",0.582797263265,0,1,1,1,1
HB ALTERNATING SURFACE BED,alternating surface bed,Nursing Services,0.72,Nursing Services,0.43,Supply,0.52178359963,Supply,0.847718181651,Supply,Capital Equipment,"Logistic_OvR, DeepNN",0.34237544532,0,0,0,0,0
HB APPLICATOR CHLORAPREP SINGLE S,applicator chloraprep single s,Respiratory Therapy,0.71,Supply,0.41,Supply,0.906926913441,Supply,0.999773564148,Supply,Supply,"DLevenshtein, Logistic_OvR, DeepNN",0.579175119397,0,1,1,1,1
HB BACLOFEN 5MG/ML SUSP,baclofen 5_mg/ml suspension,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.96,Pharmacy,0.754611951529,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.861152987882,1,1,1,1,1
HB CDS SHUNT SURGERY,cds shunt surgery,Laboratory,0.76,OR / Anesthesia / Recovery Room,0.88,Supply,0.392776461741,Supply,0.6991884914,Supply,OR / Anesthesia / Recovery Room,"Logistic_OvR, DeepNN",0.272991238285,0,1,0,0,0
HB COMPLETE BLOOD COUNT ONLY,complete blood count only,Cardiology,0.72,Laboratory,0.81,Laboratory,0.92,Laboratory,0.997500910364,Laboratory,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",0.681875227591,0,1,1,1,1
HB COPPER 100 MCG/ML DILUTION IN SW FOR TPN,copper 100 mcg/ml dilution in sw for total_parenteral_nutrition,Pharmacy,0.85,Pharmacy,0.93,Pharmacy,0.963444867168,Pharmacy,0.985964135751,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.93235225073,1,1,1,1,1
HB COSYNTROPIN 0.25MG VL ORGANO,cosyntropin 0.25_mg vial organo,Laboratory,0.72,Plan Benefit,0.41,Pharmacy,0.925726901474,Pharmacy,0.981098937964,Pharmacy,Pharmacy,"Logistic_OvR, DeepNN",0.47670645986,0,0,1,1,1
HB COVER EQUIP OR SOL WRMR DRP,cover equipment operation_room solution wrmr drape,Procedure,0.69,Capital Equipment,0.42,Supply,0.530677201204,Supply,0.905919450119,Supply,Supply,"Logistic_OvR, DeepNN",0.359149162831,0,0,1,1,1
HB DBC N (SMH ACUTE) 174-NURSERY/LEVEL IV,dbc n smh acute 174 nursery/level intravenous,Laboratory,0.73,Room and Board,0.47,Room and Board,0.368267327136,Room and Board,0.997716025143,Room and Board,Room and Board,"DLevenshtein, Logistic_OvR, DeepNN",0.45899583807,0,1,1,1,1
HB DISTILLED WATER PO LIQD,distilled water by_mouth liquid,Diluent / Flush / Irrigant,0.7,Diluent / Flush / Irrigant,0.45,Supply,0.481017025099,Supply,0.91720471443,Supply,Diluent / Flush / Irrigant,"Logistic_OvR, DeepNN",0.349555434882,1,1,0,0,0
HB DRAPE LEICA MINI MICROSCOPE,drape leica mini microscope,Supply,0.75,Laboratory,0.38,Supply,0.96,Supply,0.999180767059,Supply,Supply,"Jaro, Logistic_OvR, DeepNN",0.677295191765,1,0,1,1,1
HB DRESSING FOAM MPLX BORDR W3INX,dressing foam mepilex border w3inx,Supply,0.76,Supply,0.46,Supply,0.919101562034,Supply,0.999995772442,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.784774333619,1,1,1,1,1
HB EMLA 30G,emla 30_gm,Nursing Services,0.69,Laboratory,0.42,Supply,0.496735651517,Supply,0.992687241982,Supply,Pharmacy,"Logistic_OvR, DeepNN",0.372355723375,0,0,0,0,0
HB ESR-AUTO,erythrocyte_sedimentation_rate automated,Blood Products,0.78,Laboratory,0.81,Laboratory,0.946135609855,Laboratory,0.998604402745,Laboratory,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",0.68868500315,0,1,1,1,1
HB ESTRADIOL SERUM,estradiol serum,Laboratory,0.78,Laboratory,0.81,Laboratory,0.929890757188,Laboratory,0.999408802812,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.87982489,1,1,1,1,1
HB EVOKED POT POST TIBIAL NERVE,evoked pot post tibial nerve,Procedure,0.79,Procedure,0.88,Supply,0.443511560569,Supply,0.887609958557,Procedure,Procedure,"Jaro, DLevenshtein",0.4175,1,1,0,0,1
HB HOLDER INSTRUMENT SANI STOR 24 IN STRAP,holder instrument sanitizer storage 24 in strap,Monitoring,0.71,OR / Anesthesia / Recovery Room,0.43,Supply,0.938206683961,Supply,0.999987030744,Supply,Supply,"Logistic_OvR, DeepNN",0.484548428676,0,0,1,1,1
HB INPT CVC MONITORING,inpatient central_venous_catheter monitoring,Supply,0.77,Monitoring,0.88,Monitoring,0.29917114069,Procedure,0.272597539538,Monitoring,Monitoring,"DLevenshtein, Logistic_OvR",0.294792785173,0,1,1,0,1
HB IOM MEP UPPER & LOWER E,iom mep upper and_insert lower e,Implant,0.72,Procedure,0.81,Supply,0.568218170077,Supply,0.710967449415,Supply,Procedure,"Logistic_OvR, DeepNN",0.319796404873,0,1,0,0,0
HB LIDOCAINE 4% CREAM 5GM TUBE,lidocaine 4% cream 5_gm tube,Pharmacy,0.77,Pharmacy,0.81,Pharmacy,0.76,Pharmacy,0.690435683434,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.757608920859,1,1,1,1,1
HB LIDOCAINE HCL 1% EPI 1:100 000,lidocaine hcl 1% epic 1 100 0,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.941738283761,Pharmacy,0.998919136089,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.917664354963,1,1,1,1,1
HB LINER SX MDVC 1000CC W/FLTR LI,liner suction mdvc 1000_cc w filter li,Diluent / Flush / Irrigant,0.69,Pharmacy,0.33,Supply,0.926255295604,Supply,0.999968464831,Supply,Supply,"Logistic_OvR, DeepNN",0.481555940109,0,0,1,1,1
HB NM 99M TC DTPA TO 25 MCI,nm 99m total_care dtpa to 25 mass_casualty_incident,Pharmacy,0.71,Pharmacy,0.35,Monitoring,0.36526973222,Supply,0.549575367017,Pharmacy,Pharmacy,"Jaro, DLevenshtein",0.265,1,1,0,0,1
HB OT SELF CARE TRAIN EA 15 MIN,occupational_therapy self care train each 15 minutes,Supply,0.73,PT / OT / Speech Therapy,0.81,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.999899647815,PT / OT / Speech Therapy,PT / OT / Speech Therapy,"DLevenshtein, Logistic_OvR, DeepNN",0.692474911954,0,1,1,1,1
HB POC BEDSIDE TESTING-GLUCOSE,point_of_care bedside testing glucose,Monitoring,0.75,Monitoring,0.81,Monitoring,0.954775596387,Monitoring,0.999998256971,Monitoring,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.878693463339,1,1,1,1,1
HB POSITIONER Z-FLO 12X20 YELLOW,positioner z flo 12x20 yellow,Supply,0.72,Supply,0.48,Supply,0.76,Supply,0.982391405343,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.735597851336,1,1,1,1,1
HB PRE-ICU TRANSPORT,pre intensive_care_unit transport,Other,0.79,Other,0.96,Room and Board,0.385874040732,Other,0.527121948588,Other,Other,"Jaro, DLevenshtein, DeepNN",0.569280487147,1,1,0,1,1
HB PUMP LVL 2,pump level 2,Capital Equipment,0.7,OR / Anesthesia / Recovery Room,0.43,Capital Equipment,0.92,Capital Equipment,0.985333465291,Capital Equipment,Capital Equipment,"Jaro, Logistic_OvR, DeepNN",0.651333366323,1,0,1,1,1
HB REMIFENTANIL 5MG VIAL,remifentanil 5_mg vial,Pharmacy,0.75,Plan Benefit,0.48,Pharmacy,0.948077286546,Pharmacy,0.98715379369,Pharmacy,Pharmacy,"Jaro, Logistic_OvR, DeepNN",0.671307770059,1,0,1,1,1
HB RH C29,rhesus c29,Pharmacy,0.69,Room and Board,0.38,Laboratory,0.9183483699,Laboratory,0.99440021803,Laboratory,Laboratory,"Logistic_OvR, DeepNN",0.478187146983,0,0,1,1,1
HB SDS NURSING PREP FOR MR OTHER,stds nursing preparation for mr other,Procedure,0.73,Supply,0.39,Laboratory,0.259078485855,Supply,0.690173001512,Supply,Nursing Services,"DLevenshtein, DeepNN",0.270043250378,0,0,0,0,0
HB SET EXT BIFURCATED 4IN,set extension bifurcated 4 inches,Supply,0.7,Supply,0.43,Supply,0.96,Supply,0.999955708699,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.772488927175,1,1,1,1,1
HB SET FEEDING FARRELL GASTRIC PR,set feeding farrell gastric pressure,Supply,0.73,Supply,0.43,Supply,0.933115839074,Supply,0.999998247652,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.773278521681,1,1,1,1,1
HB SPINAL FLUID COUNT- DIFF,spinal fluid count difficile_clostridium,Supply,0.74,Laboratory,0.48,Laboratory,0.96,Laboratory,0.943880529295,Laboratory,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",0.595970132324,0,1,1,1,1
HB TIME ANES-CMPLX EACH 1S,time anesthesia cmplx each 1s,Diluent / Flush / Irrigant,0.7,Supply,0.38,OR / Anesthesia / Recovery Room,0.96,OR / Anesthesia / Recovery Room,0.999085205257,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,"Logistic_OvR, DeepNN",0.489771301314,0,0,1,1,1
HB TIME ANES-CMPLX EACH AD,time anesthesia cmplx each additional,Capital Equipment,0.73,Supply,0.38,OR / Anesthesia / Recovery Room,0.96,OR / Anesthesia / Recovery Room,0.999998563887,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,"Logistic_OvR, DeepNN",0.489999640972,0,0,1,1,1
HB TOOL DISSECT LEGEND 9CM 7.5MM,tool dissect legend 9cm 7.5mm,Supply,0.79,Supply,0.88,Supply,0.96,Supply,0.999798891674,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.907449722918,1,1,1,1,1
HB TOOL DISSECT OD7.0MM ACORN FLU,tool dissect od7.0mm acorn flush,Supply,0.79,Supply,0.81,Supply,0.94585127091,Supply,0.999814352128,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.88641640576,1,1,1,1,1
HB TRAY  URETH  CATH  RED,tray urethral catheter red,Supply,0.76,Supply,0.81,Supply,0.955862197433,Supply,0.999997411197,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.881464902158,1,1,1,1,1
HB TUBING IV 3 PORT NEEDLE FREE,tubing intravenous 3 port needle free,Supply,0.73,Supply,0.44,Supply,0.918418204186,Supply,0.999992800564,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.772102751187,1,1,1,1,1
HB TUMOR SETUP,tumor setup,Procedure,0.76,Procedure,0.43,Radiology,0.529149130979,Supply,0.877840772384,Procedure,Radiology,"Jaro, DLevenshtein",0.2975,0,0,1,0,0
HB ZOFRAN 4MG/2ML IV SOLN,zofran 4_mg/2_ml intravenous solution,Pharmacy,0.77,Pharmacy,0.81,Pharmacy,0.952262328189,Pharmacy,0.999477128373,Pharmacy,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.882934864141,1,1,1,1,1
HBC IV SINGLE LINE PUMP,hbc intravenous single line pump,Capital Equipment,0.85,Capital Equipment,0.81,Capital Equipment,0.76,Capital Equipment,0.776723805014,Capital Equipment,Capital Equipment,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.799180951254,1,1,1,1,1
HC 3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION,3 rendering w interpretation_&_postprocedure difficile_clostridium work station,Laboratory,0.69,Laboratory,0.33,Laboratory,0.96,Laboratory,0.985766106223,Laboratory,Cardiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.741441526556,0,0,0,0,0
HC 94760 NONINVASIVE EAR/PULSE *,non_invasive ear/pulse,Room and Board,0.69,Room and Board,0.33,Radiology,0.316436976707,Supply,0.933246493747,Room and Board,Monitoring,"Jaro, DLevenshtein",0.255,0,0,0,0,0
HC 97116 PT GAIT TRAINING EA 15 MIN,patient gait training each 15 minutes,PT / OT / Speech Therapy,0.79,PT / OT / Speech Therapy,0.81,PT / OT / Speech Therapy,0.92,PT / OT / Speech Therapy,0.987241081461,PT / OT / Speech Therapy,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.876810270365,1,1,1,1,1
HC ANES US GUIDE VASCULAR ACCESS,anesthesia ultrasound guide vascular access,Radiology,0.77,Radiology,0.93,Radiology,0.92,Radiology,0.944839695519,Radiology,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.89120992388,1,1,1,1,1
HC BAIRHUGGER SLEEVE,bairhugger sleeve,Laboratory,0.72,Supply,0.42,Supply,0.96,Supply,0.999915779568,Supply,Supply,"DLevenshtein, Logistic_OvR, DeepNN",0.594978944892,0,1,1,1,1
HC BB RBC LEUKO REDUCED,blood_bank red_blood_cell leukocyte reduced,Blood Products,0.85,Blood Products,0.93,Laboratory,0.536835194637,Blood Products,0.978571970358,Blood Products,Blood Products,"Jaro, DLevenshtein, DeepNN",0.68964299259,1,1,0,1,1
HC BLANKET WARMING UNDERBODY ADULT,blanket warming underbody adult,Supply,0.7,Supply,0.47,Supply,0.96,Supply,0.999205696383,Supply,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.782301424096,1,1,1,1,1
HC BLD GASES O2 SAT ONLY,blood gases oxygen saturation only,Monitoring,0.75,Laboratory,0.81,Laboratory,0.468464499854,Monitoring,0.916979778199,Monitoring,Laboratory,"Jaro, DeepNN",0.41674494455,0,1,1,0,0
HC BLOOD GLUCOSE TEST STRIP,blood glucose test strip,Supply,0.85,Supply,0.93,Monitoring,0.417268147488,Monitoring,0.707864648375,Supply,Supply,"Jaro, DLevenshtein",0.445,1,1,0,0,1
HC BLOOD TRANSFUSION SERVICE 1 UNIT,blood transfusion service 1_units,Nursing Services,0.85,Nursing Services,0.88,Nursing Services,0.533759997031,Nursing Services,0.54720076972,Nursing Services,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.702740191688,1,1,1,1,1
HC CAPILLARY GLUCOSE NOVA METER,capsule glucose nova meter,Monitoring,0.85,Monitoring,0.81,Monitoring,0.96,Monitoring,0.984625185161,Monitoring,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.90115629629,1,1,1,1,1
HC CK MB,creatinine_kinase mb,Laboratory,0.85,Laboratory,0.81,Laboratory,0.96,Laboratory,0.89839920182,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.879599800455,1,1,1,1,1
HC CT ANGIOGRAPHY HEAD W/CONTRAST/NONCONTRAST,computed_tomography angiography head w contrast/noncontrast,Implant,0.71,Radiology,0.41,Radiology,0.96,Radiology,0.998291137207,Radiology,Radiology,"DLevenshtein, Logistic_OvR, DeepNN",0.592072784302,0,1,1,1,1
HC CVP 2 LUMEN SAFETY CVP,central_venous_pressure 2 lumen safety central_venous_pressure,Laboratory,0.69,Laboratory,0.35,Supply,0.76,Supply,0.935287536374,Supply,Supply,"Logistic_OvR, DeepNN",0.423821884094,0,0,1,1,1
HC DISCONTINUE CENTRAL/ INTRA OSSEOUS LINE,discontinue central/intra osseous line,Pharmacy,0.73,Laboratory,0.41,Supply,0.53032627509,Supply,0.976264128961,Supply,Nursing Services,"Logistic_OvR, DeepNN",0.376647601013,0,0,0,0,0
HC DRUG SCR UA DOASCR PRESUMPTIVE CLASS A 6 SCREEN,drug screen urinalysis doascr presumptive class a 6 screen,Radiology,0.71,Supply,0.34,Laboratory,0.925070858777,Laboratory,0.999996842416,Laboratory,Laboratory,"Logistic_OvR, DeepNN",0.481266925298,0,0,1,1,1
HC EMER DEPT HIGH SEVERITY&THREAT FUNCJ,emergency department high severity&threat function,Laboratory,0.72,Respiratory Therapy,0.35,PT / OT / Speech Therapy,0.327459809759,PT / OT / Speech Therapy,0.614546417661,PT / OT / Speech Therapy,Other,"Logistic_OvR, DeepNN",0.235501556855,0,0,0,0,0
HC EVAL SWALLOW FUNC,evaluation swallow function,PT / OT / Speech Therapy,0.72,PT / OT / Speech Therapy,0.81,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.999770070565,PT / OT / Speech Therapy,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.872442517641,1,1,1,1,1
HC HEMODIALYSIS INPATIENT,hemodialysis inpatient,Supply,0.75,Supply,0.81,Dialysis,0.406246668824,Dialysis,0.838969008583,Supply,Dialysis,"Jaro, DLevenshtein",0.39,0,0,1,1,0
HC HEMOGRAM CBC WITHOUT DIFF,hemogram complete_blood_count without difficile_clostridium,Laboratory,0.78,Laboratory,0.81,Laboratory,0.940024415503,Laboratory,0.999764749576,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.88244729127,1,1,1,1,1
HC HEPATITIS C VIRUS GENOTYPE,hepatitis cap virus genotype,Laboratory,0.85,Laboratory,0.81,Laboratory,0.76,Pharmacy,0.77939590317,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR",0.605,1,1,1,0,1
HC IV INF THER INIT 1ST HR,intravenous infusion therapist initial 1st hour,Nursing Services,0.85,Nursing Services,0.93,Nursing Services,0.92,Nursing Services,0.995839830635,Nursing Services,Nursing Services,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.923959957659,1,1,1,1,1
HC LEFT HEART CATH,left heart catheter,Supply,0.74,Cardiology,0.47,Supply,0.92,Supply,0.997924461216,Supply,Cardiology,"Jaro, Logistic_OvR, DeepNN",0.664481115304,0,1,0,0,0
HC PARATHORMONE (PTH),parathormone parathyroid_hormone,Laboratory,0.77,Laboratory,0.81,Laboratory,0.96,Laboratory,0.989607155959,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.88240178899,1,1,1,1,1
HC PHOSPHORUS,phosphorus,Laboratory,0.85,Laboratory,0.96,Laboratory,0.96,Laboratory,0.941092885216,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.927773221304,1,1,1,1,1
HC PHYSICAL THERAPY EVAL TIER I,physical therapy evaluation tier i,PT / OT / Speech Therapy,0.85,PT / OT / Speech Therapy,0.93,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.999766183483,PT / OT / Speech Therapy,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.934941545871,1,1,1,1,1
HC PLATELETS PHERESIS LEUKOCYTES REDUCED EACH UNIT,platelets pheresis leukocytes reduced each unit,Blood Products,0.71,Blood Products,0.88,Blood Products,0.524467659861,Blood Products,0.99248193058,Blood Products,Blood Products,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.77673739761,1,1,1,1,1
HC POC LACTIC ACID,point_of_care lactic acid,Laboratory,0.85,Laboratory,0.96,Monitoring,0.921064194324,Monitoring,0.99997029084,Monitoring,Monitoring,"Logistic_OvR, DeepNN",0.480258621291,0,0,1,1,1
HC PTH INTACT,parathyroid_hormone intact,Laboratory,0.85,Laboratory,0.47,Laboratory,0.96,Laboratory,0.986813071311,Laboratory,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.816703267828,1,1,1,1,1
HC PUMP IMED PC1,pump imed pc1,Capital Equipment,0.71,Laboratory,0.46,Capital Equipment,0.96,Capital Equipment,0.947077436653,Capital Equipment,Capital Equipment,"Jaro, Logistic_OvR, DeepNN",0.654269359163,1,0,1,1,1
HC ROOM CHARGE MEDICAL SURGICAL,room charge medical surgical,Laboratory,0.73,Room and Board,0.48,Room and Board,0.76,Room and Board,0.784906333226,Room and Board,Room and Board,"DLevenshtein, Logistic_OvR, DeepNN",0.506226583306,0,1,1,1,1
HC SELF CARE HOME MGMNT OT,self care home management occupational_therapy,PT / OT / Speech Therapy,0.76,PT / OT / Speech Therapy,0.81,PT / OT / Speech Therapy,0.96,PT / OT / Speech Therapy,0.999682948572,PT / OT / Speech Therapy,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.882420737143,1,1,1,1,1
HC SELF-CARE GOAL STATUS,self care goal status,PT / OT / Speech Therapy,0.79,PT / OT / Speech Therapy,0.93,PT / OT / Speech Therapy,0.585894464882,PT / OT / Speech Therapy,0.991901771361,PT / OT / Speech Therapy,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.824449059061,1,1,1,1,1
HC TCD STD ICRA ART EMBOLI DETCJ W/O IV MBUBB NJX,transcranial standard intracranial arteries emoli detection without intravenous microbubble injection,Monitoring,0.71,Radiology,0.36,Radiology,0.92,Radiology,0.768346532785,Radiology,Radiology,"DLevenshtein, Logistic_OvR, DeepNN",0.512086633196,0,1,1,1,1
HC TRANSFUSION BLD/BLD COMPONENTS,transfusion blood/blood components,Nursing Services,0.85,Nursing Services,0.93,Laboratory,0.584218398176,Laboratory,0.417519582069,Nursing Services,Nursing Services,"Jaro, DLevenshtein",0.445,1,1,0,0,1
HC US GUIDE VASCU ACCESS,ultrasound guide vascular access,Radiology,0.85,Radiology,0.96,Radiology,0.96,Radiology,0.998889981599,Radiology,Radiology,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.9422224954,1,1,1,1,1
HC-(EACH ADDTL MINUTE) NITRIC OXIDE THERAPY & GAS,each additional minute nitric oxide therapy and_insert gas,Room and Board,0.73,Plan Benefit,0.44,Plan Benefit,0.945523106905,Plan Benefit,0.999998396094,Plan Benefit,Plan Benefit,"DLevenshtein, Logistic_OvR, DeepNN",0.59638037575,0,1,1,1,1
HCHG ABR-SCREENER HCHG ABR-SCREENER,auditory_brainstem_response screener minutes auditory_brainstem_response screener,PT / OT / Speech Therapy,0.75,PT / OT / Speech Therapy,0.88,PT / OT / Speech Therapy,0.471266256827,PT / OT / Speech Therapy,0.747024493562,PT / OT / Speech Therapy,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.712072687597,1,1,1,1,1
HCHG ANESTHESIA PER 15 MIN TO 1HR HCHG ANESTHESIA PER 15 MIN TO 1HR,anesthesia per 15 minutes to 1hr minutes anesthesia per 15 minutes to 1hr,Supply,0.72,OR / Anesthesia / Recovery Room,0.88,OR / Anesthesia / Recovery Room,0.92,OR / Anesthesia / Recovery Room,0.999656652098,OR / Anesthesia / Recovery Room,OR / Anesthesia / Recovery Room,"DLevenshtein, Logistic_OvR, DeepNN",0.699914163024,0,1,1,1,1
HCHG BIPAP FIRST DAY HCHG BIPAP FIRST DAY,bipap first day minutes bipap first day,Respiratory Therapy,0.74,Respiratory Therapy,0.88,Respiratory Therapy,0.92,Respiratory Therapy,0.985005126923,Respiratory Therapy,Respiratory Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",0.881251281731,1,1,1,1,1
