Original Description,Normalized Description,Changes,Predicted_Class_Jaro,Prob_Jaro,Predicted_Class_DLevenshtein,Prob_DLevenshtein,Predicted_Class_Logistic_OvR,Prob_Logistic_OvR,Predicted_Class_DeepNN,Prob_DeepNN,Voted Output,Voting Algorithm,Sum Correct,Correct_Jaro,Correct_DLevenshtein,Correct_Logistic_OvR,Correct_DeepNN,Confidence Score,Feature 1,Feature 2,Feature 3,Feature 4
PBDS PLASTIC BASIC,pbds plastic basic,pbds:pbds||plastic:plastic||basic:basic||,Laboratory,0.72,Laboratory,0.81,Supply,0.96,Supply,0.808079538627,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.442019884657,pbds,basic,plastic,
PENTAMIDINE ISETHIONATE 30,pentamidine isethionate 30,pentamidine:pentamidine||isethionate:isethionate||30:30||,Laboratory,0.73,Supply,0.42,Pharmacy,0.912421375069,Pharmacy,0.999570492042,Pharmacy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.477997966778,isethionate,pentamidine,,
PEP INITIAL,pep initial,pep:pep||initial:initial||,Respiratory Therapy,0.79,Respiratory Therapy,0.88,Laboratory,0.76,Laboratory,0.976045506938,Laboratory,"Logistic_OvR, DeepNN",2,0,0,1,1,0.434011376735,initial,pep,,
PERIDEX ORAL RINSE 15ML,peridex oral rinse 15,peridex:peridex||oral:oral||rinse:rinse||15ml:15||,Pharmacy,0.74,Pharmacy,0.47,Supply,0.92,Supply,0.966300174402,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.4715750436,peridex,oral,rinse,
PH PC02 P02 SIMUL,hydrogen_ion_concentration pc02 p02 stimulus,ph:hydrogen ion concentration||pc02:pc02||p02:p02||simul:stimulus||,Pharmacy,0.65,Laboratory,0.36,Laboratory,0.96,Laboratory,0.991457777831,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.770485925944,stimulus,p02,ph,pc02
PHENYLEPHRINE 1 000MCG/10ML(PREFILL SYR),phenylephrine 1 000_mcg/10_ml prefill syringe,phenylephrine:phenylephrine||1:1||000mcg:000_mcg||10ml:10_ml||prefill:prefill||syr:syringe||,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.937121807048,Pharmacy,0.999072077352,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.9165484711,prefill,syringe,phenylephrine,000_mcg/10_ml
PHOSPHATES ENEMA ADULT,phosphates enema adult,phosphates:phosphates||enema:enema||adult:adult||,Laboratory,0.85,Laboratory,0.81,Pharmacy,0.76,Pharmacy,0.698793120464,Laboratory,"Jaro, DLevenshtein",2,1,1,0,0,0.415,enema,adult,phosphates,
PHYS HOSP DISCHARGE DAY >30MIN,phys hosp discharge day greater_than 30min,phys:phys||hosp:hosp||discharge:discharge||day:day||greater_than:greater_than||30min:30min||,Nursing Services,0.72,Professional Fee,0.42,Monitoring,0.435433727542,Procedure,0.968543259084,Procedure,DeepNN,1,0,0,0,1,0.242135814771,phys,30min,hosp,greater_than
PHYSICIAN FEE LEVEL IV,physician fee level intravenous,physician:physician||fee:fee||level:level||iv:intravenous||,Laboratory,0.75,Room and Board,0.42,Nursing Services,0.568473823736,Nursing Services,0.877964983447,Nursing Services,"Logistic_OvR, DeepNN",2,0,0,1,1,0.361609701796,physician,fee,iv,level
PICC DRSG TRAY DTI0225 DISP,peripherally_inserted_central_catheter dressing tray dti0225 dispensed_1_5%,picc:peripherally_inserted_central_catheter||drsg:dressing||tray:tray||dti0225:dti0225||disp:dispensed_1_5%||,Laboratory,0.68,Supply,0.39,Supply,0.927211915587,Supply,0.96446367946,Supply,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.760558531682,disp,dti0225,tray,picc
PICC LINE INSERT WO PORT >5YR,peripherally_inserted_central_catheter line insert without port greater_than 5_years,picc:peripherally_inserted_central_catheter||line:line||insert:insert||wo:without||port:port||greater_than:greater_than||5yr:5_years||,Procedure,0.74,Procedure,0.45,Procedure,0.905303536852,Procedure,0.999997863033,Procedure,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.773825349971,insert,5_years,port,without
PICC LINE PLC WO SO PORT >5 YRS,peripherally_inserted_central_catheter line place without so port greater_than 5 years,picc:peripherally_inserted_central_catheter||line:line||plc:place||wo:without||so:so||port:port||greater_than:greater_than||5:5||yrs:years||,Supply,0.69,Procedure,0.39,Procedure,0.76,Procedure,0.999957206299,Procedure,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.7166524021,port,without,place,greater_than
PICS LINE,peripherally_inserted_central_catheter line,pics:peripherally_inserted_central_catheter||line:line||,Supply,0.75,Supply,0.81,Supply,0.92,Procedure,0.946325931612,Supply,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.826666666667,line,pics,,
PKU NEONATAL SCREEN,phenylketonuria neonatal screen,pku:phenylketonuria||neonatal:neonatal||screen:screen||,Room and Board,0.78,Room and Board,0.81,Laboratory,0.96,Supply,0.404537912845,Room and Board,"Jaro, DLevenshtein",2,1,1,0,0,0.3975,neonatal,pku,screen,
PM-D10W + NACL 0.225% + KCL 5MEQ INJ BAG 250ML,between_noon_and_midnight dextrose_10% and sodium_chloride 0.225% and potassuim_chloride 5_meq injection bag 250_ml,pm:between_noon_and_midnight||d10w:dextrose_10%||and:and||nacl:sodium_chloride||0.225%:0.225%||and:and||kcl:potassuim_chloride||5meq:5_meq||inj:injection||bag:bag||250ml:250_ml||,Diluent / Flush / Irrigant,0.66,Diluent / Flush / Irrigant,0.42,Diluent / Flush / Irrigant,0.96,Diluent / Flush / Irrigant,0.999562205817,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.759890551454,0.225%,between_noon_and_midnight,dextrose_10%,bag
PNEUMOCOCCAL CONJUGATE 13-VALENT VACCINE 0.5 ML,pneumococcal conjugate 13 valent vaccine 0.5_ml,pneumococcal:pneumococcal||conjugate:conjugate||13:13||valent:valent||vaccine:vaccine||0.5_ml:0.5_ml||,Laboratory,0.77,Laboratory,0.46,Pharmacy,0.76,Pharmacy,0.997362182273,Pharmacy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.439340545568,valent,pneumococcal,0.5_ml,vaccine
PNEUMOCOCCAL VACC ADULT IN,pneumococcal vaccine adult in,pneumococcal:pneumococcal||vacc:vaccine||adult:adult||in:in||,Laboratory,0.85,Laboratory,0.88,Laboratory,0.458189027905,Pharmacy,0.990601771065,Laboratory,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.729396342635,pneumococcal,adult,vaccine,
PNEUMOCYSTIS FUNGAL STAIN,pneumocystis fungal stain,pneumocystis:pneumocystis||fungal:fungal||stain:stain||,Monitoring,0.73,Laboratory,0.39,Laboratory,0.974190035758,Laboratory,0.999451906774,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.787880647511,stain,fungal,pneumocystis,
PORTABLE BEDSIDE,portable bedside,portable:portable||bedside:bedside||,Respiratory Therapy,0.73,Monitoring,0.81,Supply,0.76,Supply,0.508765143734,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.317191285934,bedside,portable,,
POT CHLORIDE 10% 20MEQ/15ML UD,pot chloride 10% 20_meq/15_ml ud,pot:pot||chloride:chloride||10%:10%||20meq:20_meq||15ml:15_ml||ud:ud||,Pharmacy,0.77,Pharmacy,0.88,Pharmacy,0.909179559625,Pharmacy,0.998978707119,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.889539566686,ud,pot,20_meq/15_ml,chloride
POTASSIUM CL ER TAB 2,potassium chloride emergency_room tablet 2,potassium:potassium||cl:chloride||er:emergency_room||tab:tablet||2:2||,Laboratory,0.85,Laboratory,0.88,Pharmacy,0.906246733244,Pharmacy,0.995684277505,Pharmacy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.475482752687,er,potassium,cl,tab
PREP ANTIMIC PVI 10PCT 4OZ,preparation antimic pvi 10pct 4oz,prep:preparation||antimic:antimic||pvi:pvi||10pct:10pct||4oz:4oz||,Supply,0.71,Supply,0.41,Pharmacy,0.411353109535,Supply,0.429991315385,Supply,"Jaro, DLevenshtein, DeepNN",3,1,1,0,1,0.516663771795,prep,pvi,4oz,antimic
PRESSURE TRANSDUCER,pressure transducer,pressure:pressure||transducer:transducer||,Supply,0.75,Supply,0.48,Supply,0.96,Supply,0.988311440033,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.794577860008,pressure,transducer,,
PROC LEV 2 BASE TIME 0-30,procedure level 2 base time 0 30,proc:procedure||lev:level||2:2||base:base||time:time||0:0||30:30||,Pharmacy,0.73,Laboratory,0.42,OR / Anesthesia / Recovery Room,0.96,OR / Anesthesia / Recovery Room,0.995209360893,OR / Anesthesia / Recovery Room,"Logistic_OvR, DeepNN",2,0,0,1,1,0.488802340223,base,time,procedure,lev
PROCAINAMIDE PER 1 G,procainamide per 1 gram,procainamide:procainamide||per:per||1:1||g:gram||,Pharmacy,0.75,Pharmacy,0.81,Pharmacy,0.912448982183,Pharmacy,0.998637509815,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.867771622999,per,procainamide,gram,
PROCE RED CELL LEUKOREDUCE,proce red cell leukoreduced,proce:proce||red:red||cell:cell||leukoreduce:leukoreduced||,Blood Products,0.85,Blood Products,0.81,Laboratory,0.76,Blood Products,0.901660823222,Blood Products,"Jaro, DLevenshtein, DeepNN",3,1,1,0,1,0.853886941074,proce,cell,leukoreduced,red
PROCHLORPERAZINE 10MG/2ML INJ,prochlorperazine 10_mg/2_ml injection,prochlorperazine:prochlorperazine||10mg:10_mg||2ml:2_ml||inj:injection||,Pharmacy,0.75,Pharmacy,0.81,Pharmacy,0.975491618388,Pharmacy,0.999979877756,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.883867874036,inj,prochlorperazine,10_mg/2_ml,
PROLACTIN,prolactin,prolactin:prolactin||,Laboratory,0.85,Laboratory,0.88,Laboratory,0.96,Laboratory,0.967785613635,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.914446403409,prolactin,,,
PROTAM10INJ,protam10inj,protam10inj:protam10inj||,Pharmacy,0.79,Pharmacy,0.81,Laboratory,0.174287052337,Laboratory,0.276754427139,Pharmacy,"Jaro, DLevenshtein",2,1,1,0,0,0.4,protam10inj,,,
PROTECTOR HEEL SHEEPSKIN MED,protector heel sheepskin medical,protector:protector||heel:heel||sheepskin:sheepskin||med:medical||,Laboratory,0.71,Supply,0.44,Supply,0.96,Supply,0.99554408289,Supply,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.798514694297,sheepskin,med,protector,heel
PROTEIN C ACTIVIT,protein cap activited,protein:protein||c:cap||activit:activited||,Laboratory,0.78,Laboratory,0.81,Laboratory,0.92,Laboratory,0.951986284557,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.865496571139,protein,cap,activited,
PROTIME SUB PL FRAC EA,protime sub pill frac each,protime:protime||sub:sub||pl:pill||frac:frac||ea:each||,Laboratory,0.85,Laboratory,0.44,Pharmacy,0.96,Pharmacy,0.997144925262,Pharmacy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.489286231316,protime,frac,sub,pill
PT GAIT TRAIN 1 OR > AREAS EA 15M,patient gait train 1 operation_room areas each 15m,pt:patient||gait:gait||train:train||1:1||or:operation_room||areas:areas||ea:each||15m:15m||,PT / OT / Speech Therapy,0.75,PT / OT / Speech Therapy,0.88,PT / OT / Speech Therapy,0.36819577116,Procedure,0.478805647659,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.666065257053,pt,or,gait,train
PTT/APTT,partial_prothrombaplastin_time/aptt,ptt:partial_prothrombaplastin_time||aptt:aptt||,Laboratory,0.79,Laboratory,0.46,Laboratory,0.96,Laboratory,0.878364868927,Laboratory,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.772091217232,partial_prothrombaplastin_time,aptt,,
PULL UP ADULT MED PKG,pull up adult medical package,pull:pull||up:up||adult:adult||med:medical||pkg:package||,Capital Equipment,0.67,Monitoring,0.41,Supply,0.96,Supply,0.986335644815,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.486583911204,pull,med,adult,pkg
PULMOZYME INHALATION SOLN 2.5ML NDC: 50242010040,pulmozyme inhalation solution 2.5_ml ndc 5.0242011E10,pulmozyme:pulmozyme||inhalation:inhalation||soln:solution||2.5ml:2.5_ml||ndc:ndc||50242010040:5.0242011E10||,Plan Benefit,0.72,Plan Benefit,0.45,Pharmacy,0.92,Pharmacy,0.854202561995,Pharmacy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.443550640499,inhalation,5.0242011e10,ndc,pulmozyme
PULSE OX DAILY,pulse oximetry daily,pulse:pulse||ox:oximetry||daily:daily||,Monitoring,0.85,Monitoring,0.88,Monitoring,0.904848139343,Monitoring,0.999072463499,Monitoring,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.908480150711,ox,daily,pulse,
PULSE OXIMETER SNSR A,pulse oximeter sensor a,pulse:pulse||oximeter:oximeter||snsr:sensor||a:a||,Monitoring,0.85,Monitoring,0.93,Supply,0.50847479743,Supply,0.670892720735,Monitoring,"Jaro, DLevenshtein",2,1,1,0,0,0.445,oximeter,snsr,pulse,
PUMP IV BRAIN,pump intravenous brain,pump:pump||iv:intravenous||brain:brain||,Capital Equipment,0.85,Capital Equipment,0.88,Capital Equipment,0.92,Capital Equipment,0.917880258369,Capital Equipment,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.891970064592,brain,pump,iv,
PYRUVATE,pyruvate,pyruvate:pyruvate||,Room and Board,0.77,Room and Board,0.45,Laboratory,0.96,Laboratory,0.998596216286,Laboratory,"Logistic_OvR, DeepNN",2,0,0,1,1,0.489649054071,pyruvate,,,
QCS=SET BURRETTE IVION C,set burrette ivion cap,set:set||burrette:burrette||ivion:ivion||c:cap||,Monitoring,0.73,Pharmacy,0.4,Supply,0.929768466639,Supply,0.99499657724,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.48119126097,burrette,cap,set,ivion
QUANT URINE CULTURE,quantitative urine culture,quant:quantitative||urine:urine||culture:culture||,Nursing Services,0.76,Laboratory,0.88,Laboratory,0.982692395635,Laboratory,0.99999972739,Laboratory,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.954230707675,quant,urine,culture,
R&B PROG/TELE,room_and_board program/telemetry,r&b:room_and_board||prog:program||tele:telemetry||,Room and Board,0.69,Laboratory,0.81,Room and Board,0.76,Room and Board,0.977712011385,Room and Board,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.809237337128,telemetry,program,r&b,
REAGENT STRIP,reagent strip,reagent:reagent||strip:strip||,Supply,0.79,Supply,0.88,Supply,0.96,Supply,0.991970164107,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.905492541027,reagent,strip,,
RED CELLS LEUKODEPLETE,red cells leukodeplete,red:red||cells:cells||leukodeplete:leukodeplete||,Blood Products,0.73,Blood Products,0.48,Blood Products,0.76,Blood Products,0.997177297353,Blood Products,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.741794324338,cells,leukodeplete,red,
REMIFENTANIL HCL 2 MG INJ,remifentanil hcl 2_mg injection,remifentanil:remifentanil||hcl:hcl||2_mg:2_mg||inj:injection||,Pharmacy,0.72,Pharmacy,0.81,Pharmacy,0.964693846694,Pharmacy,0.99954342825,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.873559318736,2_mg,remifentanil,inj,hcl
RESVR DRN BULB EVC 100ML 00707,reservoir drn bulb evc 100_ml 707,resvr:reservoir||drn:drn||bulb:bulb||evc:evc||100ml:100_ml||00707:707||,Supply,0.66,Supply,0.33,Supply,0.76,Diluent / Flush / Irrigant,0.733858056973,Supply,"Jaro, DLevenshtein, Logistic_OvR",3,1,1,1,0,0.583333333333,bulb,100_ml,evc,reservoir
RETRACTOR RIGID X-LARGE ALEXIS,retractor rigid x large alexis,retractor:retractor||rigid:rigid||x:x||large:large||alexis:alexis||,Supply,0.69,Supply,0.42,Supply,0.92,Supply,0.988293416509,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.754573354127,large,x,rigid,retractor
RETRACTOR RING LONE STAR 3307G,retractor ring lone star 3307_gm,retractor:retractor||ring:ring||lone:lone||star:star||3307g:3307_gm||,Supply,0.71,Pharmacy,0.48,Supply,0.96,Supply,0.994821988804,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.888273996268,star,ring,lone,retractor
RNTL OUTLOOK PUMP DAILY,rental outlook pump daily,rntl:rental||outlook:outlook||pump:pump||daily:daily||,Capital Equipment,0.7,Supply,0.81,Capital Equipment,0.92,Capital Equipment,0.999831610252,Capital Equipment,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.873277203417,outlook,rntl,pump,daily
ROOM 0779 I,room 779 i,room:room||0779:779||i:i||,Room and Board,0.78,Room and Board,0.88,Room and Board,0.96,Room and Board,0.99950046247,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.904875115617,room,,,
ROOM ACUTE,room acute,room:room||acute:acute||,Room and Board,0.85,Room and Board,0.88,Room and Board,0.76,Room and Board,0.989853018481,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.86996325462,acute,room,,
ROOM M303,room m303,room:room||m303:m303||,Room and Board,0.85,Room and Board,0.88,Room and Board,0.96,Room and Board,0.99950046247,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.922375115617,m303,room,,
ROOM T7W A,room t7w a,room:room||t7w:t7w||a:a||,Room and Board,0.85,Room and Board,0.88,Room and Board,0.96,Room and Board,0.99950046247,Room and Board,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.922375115617,room,t7w,,
RT SUCTION PER PROC,respiratory_therapy suction per procedure,rt:respiratory_therapy||suction:suction||per:per||proc:procedure||,Laboratory,0.73,Monitoring,0.44,Respiratory Therapy,0.580510750785,Respiratory Therapy,0.76233224318,Respiratory Therapy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.335710748491,rt,suction,procedure,per
RT SXN COUGH&DEEP BREATH,respiratory_therapy suction cough&deep breath,rt:respiratory_therapy||sxn:suction||cough&deep:cough&deep||breath:breath||,Supply,0.77,Supply,0.38,Respiratory Therapy,0.484292289739,Respiratory Therapy,0.714727049258,Respiratory Therapy,"Logistic_OvR, DeepNN",2,0,0,1,1,0.299754834749,breath,rt,sxn,cough&deep
SALINE SOLUTION STERILE,saline solution sterile,saline:saline||solution:solution||sterile:sterile||,Pharmacy,0.73,Supply,0.48,Diluent / Flush / Irrigant,0.96,Diluent / Flush / Irrigant,0.999837975049,Diluent / Flush / Irrigant,"Logistic_OvR, DeepNN",2,0,0,1,1,0.489959493762,saline,sterile,solution,
SELF CARE,self care,self:self||care:care||,PT / OT / Speech Therapy,0.79,PT / OT / Speech Therapy,0.81,PT / OT / Speech Therapy,0.76,PT / OT / Speech Therapy,0.984891839456,PT / OT / Speech Therapy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.836222959864,self,care,,
SENNOSIDES 8.8MG/5ML,sennosides 8.8_mg/5_ml,sennosides:sennosides||8.8mg:8.8_mg||5ml:5_ml||,Pharmacy,0.85,Pharmacy,0.93,Pharmacy,0.929991056562,Pharmacy,0.998667211945,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.927164567127,8.8_mg/5_ml,sennosides,,
SENSOR ADLT NEONATAL MAX-N,sensor adult neonatal max_1 n,sensor:sensor||adlt:adult||neonatal:neonatal||max:max_1||n:n||,Supply,0.73,Supply,0.81,Supply,0.96,Supply,0.998188778819,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.874547194705,neonatal,n,sensor,adlt
SENSOR FLOTRAC ADLT 84IN,sensor flotrac adult 84 inches,sensor:sensor||flotrac:flotrac||adlt:adult||84in:84 inches||,Laboratory,0.76,Supply,0.43,Supply,0.96,Supply,0.99782669285,Supply,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.79594223095,flotrac,sensor,adlt,inches
SET  IV EXT TRI-PORT,set intravenous extension tri port,set:set||iv:intravenous||ext:extension||tri:tri||port:port||,Supply,0.85,Supply,0.88,Supply,0.941505584007,Supply,0.999654614777,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.917790049696,tri,set,iv,ext
SET BEQ HIT 7050 ADVANCED 7.0,set beq hit 7050 advanced 7,set:set||beq:beq||hit:hit||7050:7050||advanced:advanced||7.0:7||,Supply,0.64,Supply,0.35,Supply,0.96,Supply,0.945431435795,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.723857858949,set,hit,advanced,beq
SET FEED EXT 60,set feed extension 60,set:set||feed:feed||ext:extension||60:60||,Supply,0.75,Supply,0.81,Supply,0.939106266685,Supply,0.999278346576,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.874596153315,feed,set,ext,
SET GEM 20 DRIP,set glucagon_emergency_management 20 drip,set:set||gem:glucagon_emergency_management||20:20||drip:drip||,Supply,0.69,Supply,0.47,Supply,0.96,Supply,0.996323388456,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.779080847114,set,gem,drip,
SET GRAVITY 20DRP CK VLV VNT,set gravity 20_drop creatinine_kinase valve vnt,set:set||gravity:gravity||20drp:20_drop||ck:creatinine_kinase||vlv:valve||vnt:vnt||,Supply,0.69,Supply,0.35,Supply,0.96,Supply,0.997915178064,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.749478794516,ck,set,vlv,gravity
SET INSYTE 20GA 1 1/4,set insyte 20ga 1 1/4,set:set||insyte:insyte||20ga:20ga||1:1||1:1||4:4||,Supply,0.69,Supply,0.41,Supply,0.96,Supply,0.997616275894,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.764404068973,1/4,insyte,set,20ga
SET IV BLD N-VENT N-NDL PORT,set intravenous blood n ventilation n needle port,set:set||iv:intravenous||bld:blood||n:n||vent:ventilation||n:n||ndl:needle||port:port||,Supply,0.85,Supply,0.88,Supply,0.913010139855,Supply,0.999948953319,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.910739773294,set,needle,n,port
SET MICROPUNCTURE TRANSITIONLESS 10CM,set micropuncture transitionless 10cm,set:set||micropuncture:micropuncture||transitionless:transitionless||10cm:10cm||,OR / Anesthesia / Recovery Room,0.72,Nursing Services,0.81,Supply,0.936871405719,Supply,0.983233106416,Supply,"Logistic_OvR, DeepNN",2,0,0,1,1,0.480026128034,set,transitionless,10cm,micropuncture
SET PRIMARY PUMP CLAVE,set primary pump clave,set:set||primary:primary||pump:pump||clave:clave||,Supply,0.77,Supply,0.88,Supply,0.96,Supply,0.995673767792,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.901418441948,pump,set,clave,primary
SET RADIAL ARTERY CATH 20GA,set radial artery catheter 20ga,set:set||radial:radial||artery:artery||cath:catheter||20ga:20ga||,Supply,0.69,Supply,0.81,Supply,0.96,Supply,0.998339196464,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.864584799116,artery,cath,set,20ga
SET TRIFURCATED W/BIONECTOR,set trifurcated w bionector,set:set||trifurcated:trifurcated||with:w||bionector:bionector||,Supply,0.72,Supply,0.4,Supply,0.902944516433,Supply,0.998352513977,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.755324257602,trifurcated,set,bionector,w
SET TUBING IRRIGATION SMART ABLATE,set tubing irrigation smart ablate,set:set||tubing:tubing||irrigation:irrigation||smart:smart||ablate:ablate||,Radiology,0.71,Supply,0.43,Supply,0.968847533085,Supply,0.998997332759,Supply,"DLevenshtein, Logistic_OvR, DeepNN",3,0,1,1,1,0.799281621948,tubing,irrigation,set,ablate
SET UNIVERSAL 3-BAG SPIKE SET,set universal 3 bag spike set,set:set||universal:universal||3:3||bag:bag||spike:spike||set:set||,Supply,0.74,Supply,0.42,Supply,0.964748430056,Supply,0.99997386645,Supply,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.781180574127,bag,universal,set,spike
SHEATH,sheath,sheath:sheath||,Supply,0.85,Radiology,0.81,Supply,0.96,Supply,0.986507524152,Supply,"Jaro, Logistic_OvR, DeepNN",3,1,0,1,1,0.932169174717,sheath,,,
SILDENAFIL CIT 100MG/4,sildenafil citrate 100_mg/4,sildenafil:sildenafil||cit:citrate||100mg:100_mg||4:4||,Plan Benefit,0.85,Plan Benefit,0.88,Plan Benefit,0.92,Plan Benefit,0.992213237787,Plan Benefit,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.910553309447,100_mg/4,sildenafil,citrate,
SILDENAFIL SUSP NG/G/ 6MG SILDEN,sildenafil suspension nasogastric/gram/6_mg sildenafil,sildenafil:sildenafil||susp:suspension||ng:nasogastric||g:gram||6mg:6_mg||silden:sildenafil||,Plan Benefit,0.85,Plan Benefit,0.81,Plan Benefit,0.978217470405,Plan Benefit,0.999999963685,Plan Benefit,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.909554358523,susp,sildenafil,nasogastric/gram/6_mg,
SILDENAFIL SUSP PO 5MG SILDENAFI,sildenafil suspension by_mouth 5_mg sildenafil,sildenafil:sildenafil||susp:suspension||po:by_mouth||5mg:5_mg||sildenafi:sildenafil||,Plan Benefit,0.85,Plan Benefit,0.88,Plan Benefit,0.973761725269,Plan Benefit,0.999999997392,Plan Benefit,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.925940430665,susp,po,5_mg,sildenafil
SIMETHICONE 20 MG/0.3 ML ORAL,simethicone 20_mg/0.3_ml oral,simethicone:simethicone||20_mg:20_mg||0.3_ml:0.3_ml||oral:oral||,Pharmacy,0.85,Pharmacy,0.88,Pharmacy,0.96,Pharmacy,0.985457202174,Pharmacy,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.918864300543,simethicone,oral,20_mg/0.3_ml,
SOD CHLORIDE 0.9% INJ 10; NACL 0.9% PF 10 ML VIAL,sodium chloride 0.9% injection 10 sodium_chloride 0.9% partial_fill 10_ml vial,sod:sodium||chloride:chloride||0.9%:0.9%||inj:injection||10:10||nacl:sodium_chloride||0.9%:0.9%||pf:partial_fill||10_ml:10_ml||vial:vial||,Diluent / Flush / Irrigant,0.85,Diluent / Flush / Irrigant,0.81,Diluent / Flush / Irrigant,0.76,Diluent / Flush / Irrigant,0.987539630331,Diluent / Flush / Irrigant,"Jaro, DLevenshtein, Logistic_OvR, DeepNN",4,1,1,1,1,0.851884907583,10_ml,sodium,0.9%,pf
